RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,08793,Tiger Woods,254.944,3059.333
2,0,01810,Phil Mickelson,127.409,2165.950
3,0,23108,Matt Kuchar,120.671,2292.750
4,0,27649,Brandt Snedeker,116.756,2218.357
5,0,24502,Adam Scott,112.220,1346.643
6,0,06527,Steve Stricker,111.729,1117.286
7,0,22405,Justin Rose,111.286,1446.713
8,0,21528,Henrik Stenson,101.857,1426.000
9,0,34046,Jordan Spieth,75.582,1436.056
10,0,28089,Jason Day,75.513,1283.726
11,0,25572,Graeme McDowell,72.362,940.706
12,0,24924,Bill Haas,71.671,1505.083
13,0,25686,Jason Dufner,69.764,1255.750
14,0,30925,Dustin Johnson,68.086,1225.550
15,0,29420,Billy Horschel,67.570,1486.534
16,0,33141,Keegan Bradley,67.425,1415.916
17,0,27214,Kevin Streelman,63.460,1332.669
18,0,28237,Rory McIlroy,59.784,777.190
19,0,10809,Jim Furyk,58.721,1056.980
20,0,26331,Charl Schwartzel,58.067,871.000
21,0,26289,Boo Weekley,58.054,1335.253
22,0,29221,Webb Simpson,56.587,1188.333
23,0,23983,Luke Donald,54.420,707.456
24,0,24024,Zach Johnson,54.319,1140.706
25,0,20396,Lee Westwood,53.507,856.110
26,0,21209,Sergio Garcia,52.622,684.087
27,0,24781,Hunter Mahan,52.410,1100.603
28,0,34098,Russell Henley,49.882,1047.520
29,0,24138,Ian Poulter,49.615,645.000
30,0,34099,Harris English,49.321,1134.373
31,0,25632,Jimmy Walker,47.427,995.976
32,0,34360,Patrick Reed,46.181,1062.160
33,0,25804,Bubba Watson,46.097,829.750
34,0,20848,Ángel Cabrera,45.903,826.247
35,0,27933,John Merrick,45.433,908.667
36,0,32150,Michael Thompson,43.581,828.040
37,0,27895,Jonas Blixt,43.436,912.160
38,0,21961,Charles Howell III,43.296,995.812
39,0,25240,D.A. Points,43.254,1038.100
40,0,32102,Rickie Fowler,43.246,821.680
41,0,30926,Chris Kirk,43.048,904.000
42,0,27936,Martin Laird,42.604,809.470
43,0,01666,Bernhard Langer,41.500,41.500
44,0,07867,Woody Austin,40.750,326.000
45,0,23320,Ryan Palmer,40.025,800.500
46,0,26300,Matt Jones,39.810,836.003
47,0,12716,Charley Hoffman,39.670,793.390
48,0,23135,Tim Clark,39.069,703.250
49,0,27436,Graham DeLaet,38.930,856.463
50,0,21731,Freddie Jacobson,38.750,658.750
51,0,34409,David Lingmerth,38.393,806.250
52,0,21099,David Lynn,37.684,716.000
53,0,25818,Scott Piercy,36.793,772.650
54,0,28259,Sangmoon Bae,36.415,837.550
55,0,20104,Ken Duke,36.080,902.000
56,0,06522,Ernie Els,35.685,570.967
57,0,19846,Brian Gay,35.450,744.440
58,0,27963,Chris Stroud,34.787,800.097
59,0,01226,Fred Couples,34.575,138.300
60,0,26596,Ryan Moore,34.364,652.917
61,0,30692,Scott Stallings,34.017,816.400
62,0,32200,Roberto Castro,32.914,822.846
63,0,32366,Kevin Chappell,32.816,689.132
64,0,01320,Bob Estes,32.656,522.500
65,0,26851,Marc Leishman,32.415,648.299
66,0,26758,David Hearn,31.659,728.160
67,0,22913,John Rollins,31.626,695.780
68,0,27408,Martin Kaymer,31.600,474.000
69,0,37273,Derek Ernst,31.447,597.500
70,0,31323,Gary Woodland,31.050,683.090
71,0,27330,Josh Teater,30.979,681.540
72,0,29479,Scott Brown,30.970,588.430
73,0,24357,K.J. Choi,30.265,665.833
74,0,27095,Nick Watney,30.118,662.596
75,0,30110,Kyle Stanley,30.074,661.626
76,0,24358,Robert Garrigus,30.065,601.290
77,0,33419,Cameron Tringale,29.705,653.500
78,0,23638,Brendon de Jonge,29.589,769.306
79,0,30927,Brendon Todd,29.250,292.500
80,0,08075,Jerry Kelly,28.975,579.500
81,0,20229,Stewart Cink,28.389,567.770
82,0,20634,Peter Lonard,27.500,27.500
