RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,25191,Gonzalo Fernandez-Castaño,403,127
2,0,32839,Hideki Matsuyama,384,48
3,0,33968,Thorbjørn Olesen,307,84
4,0,24459,Richard Sterne,276,186
5,0,25198,Francesco Molinari,244,89
6,0,19958,Miguel Angel Jiménez,227,120
7,0,23481,Marcel Siem,221,53
8,0,33204,Shane Lowry,188,89
9,0,28118,Peter Tomasulo,186,0
10,0,19904,Paul Lawrie,184,77
11,0,25369,Jamie Donaldson,164,84
12,0,22000,Chris Wood,145,141
13,0,26499,Rafa Cabrera Bello,143,54
14,0,28937,George Coetzee,135,39
15,0,33199,Matteo Manassero,128,87
16,0,35541,John Peterson,128,0
17,0,29974,Branden Grace,126,47
18,0,20376,Stephen Gallacher,120,64
19,0,24503,Jeff Klauk,115,0
20,0,27349,Alex Noren,97,97
21,0,35450,Patrick Cantlay,96,0
22,0,24083,Marcus Fraser,93,57
23,0,31138,Scott Jamieson,88,48
24,0,32139,Danny Willett,84,0
25,0,24511,Thongchai Jaidee,77,23
26,0,29476,Kyle Reifers,76,0
27,0,30978,Kiradech Aphibarnrat,74,30
28,0,39531,Ken Looper,65,0
29,0,25841,Marc Warren,62,0
30,0,10505,Shane Bertsch,59,0
30,0,29926,Danny Lee,59,0
32,0,29484,Peter Uihlein,58,0
33,0,23790,Eduardo De La Riva,56,0
34,0,32800,Franklin Corpening,56,0
35,0,29531,Richie Ramsay,54,44
36,0,35545,Blayne Barber,52,0
37,0,19825,Darren Clarke,49,0
38,0,10944,Thomas Bjørn,47,23
39,0,20574,Mathew Goggin,47,0
39,0,35879,Kelly Kraft,47,0
39,0,25892,Steve Wheatcroft,47,0
42,0,35459,Chris Williams,44,0
43,0,27821,Steven Tiley,43,0
44,0,32694,Morten Orum Madsen,42,0
44,0,28723,John Parry,42,0
46,0,31627,Todd Baek,38,0
47,0,24940,Edward Loar,35,0
48,0,28923,Oliver Fisher,34,0
49,0,34358,Jonathan Randolph,31,0
50,0,24604,Hunter Haas,28,0
51,0,37460,Jeremiah Wooding,28,0
52,0,34262,Jon Curran,25,0
53,0,27958,Ryan Blaum,23,0
53,0,27554,Scott Harrington,23,0
55,0,20771,Steven Alker,23,0
55,0,32262,Mark Brown,23,0
55,0,21284,Hiroyuki Fujita,23,23
55,0,20218,Shingo Katayama,23,0
55,0,35087,Bio Kim,23,0
60,0,26733,John Kimbell,21,0
61,0,33911,Nate Smith,18,0
62,0,29223,Sam Saunders,17,0
63,0,22110,Thaworn Wiratchant,16,16
64,0,33120,Mark Anderson,16,0
64,0,21498,Hideto Tanihara,16,0
66,0,33486,Roger Sloan,15,0
67,0,29930,Mike Hendry,13,13
68,0,24461,Thomas Aiken,12,0
69,0,26498,Matt Weibring,9,0
70,0,35469,Sebastián Vázquez,8,0
71,0,23797,Brett Rumford,8,8
72,0,19991,Peter Hedblom,6,0
72,0,20608,David Howell,6,0
74,0,24956,Mikko Ilonen,5,4
75,0,26525,Grégory Bourdy,4,0
75,0,32816,Satoshi Kodaira,4,4
75,0,29454,Bernd Wiesberger,4,0
78,0,29478,Kevin Kisner,4,0
79,0,39412,Zack Fischer,3,0
80,0,21646,David Branshaw,2,0
81,0,36689,Brooks Koepka,1,0
82,0,20935,Toru Taniguchi,1,1
83,0,28928,Gareth Wright,1,0
84,0,24957,Simon Khan,1,0
84,0,24457,Jaco Van Zyl,1,1
86,0,23290,Andrew Johnson,1,0
87,0,35957,Daniel Popovic,1,1
88,0,27929,Shiv Kapur,1,0
88,0,28258,K.T. Kim,1,0
90,0,32070,Rafael Campos,1,0
90,0,25863,Rod Perry,1,0
92,0,22764,Michael Block,1,0
93,0,02076,Peter Senior,1,0
94,0,23778,Brad Adamonis,1,0
