RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,12663,Phil Tataurangi,177.7,371063.000,58
2,0,26289,Boo Weekley,178.2,327233.000,51
3,0,01927,Dennis Paulson,181.4,437554.000,67
4,0,06613,Tommy Tolles,181.7,287853.000,44
5,0,08339,Spike McRoy,186.6,221735.000,33
6,0,21633,Steve Allan,188.4,542731.000,80
7,0,01226,Fred Couples,190.2,328726.000,48
8,0,10423,Mike Weir,193.2,473039.000,68
9,0,11032,Frank Lickliter II,193.7,488183.000,70
10,0,12823,Carlos Franco,194.2,720258.000,103
11,0,08993,Franklin Langham,196.5,268828.000,38
12,0,06197,Michael Allen,196.6,368102.000,52
12,0,02106,Chris Smith,196.6,644140.000,91
14,0,23623,Bo Van Pelt,196.8,665923.000,94
15,0,23353,J.J. Henry,198.2,649405.000,91
15,0,02133,Craig Stadler,198.2,278220.000,39
17,0,21949,Joe Ogilvie,198.3,257016.000,36
18,0,02170,Hal Sutton,198.4,307087.000,43
19,0,06004,Stephen Ames,198.7,357599.000,50
20,0,08881,Tripp Isenhour,198.8,379363.000,53
21,0,20645,John Senden,199.3,609808.000,85
22,0,01388,Robert Gamez,199.6,438428.000,61
23,0,01723,Andrew Magee,199.8,410070.000,57
24,0,23621,Rory Sabbatini,200.4,389636.000,54
25,0,21259,Jason Hill,200.5,303118.000,42
26,0,20098,Stuart Appleby,200.9,629177.000,87
27,0,24937,Jess Daley,201.1,412684.000,57
28,0,01810,Phil Mickelson,202.1,705680.000,97
29,0,20157,Retief Goosen,202.4,349725.000,48
29,0,12660,Jesper Parnevik,202.4,371623.000,51
31,0,20593,Greg Chalmers,202.9,394407.000,54
32,0,01142,Bart Bryant,203.0,372743.000,51
32,0,01577,Lee Janzen,203.0,489582.000,67
34,0,01514,Eduardo Herrera,203.4,373519.000,51
35,0,07749,Brett Quigley,204.0,514146.000,70
36,0,08793,Tiger Woods,204.6,456573.000,62
37,0,10117,Bob Heintz,204.8,287560.000,39
38,0,10107,Deane Pappas,205.5,503013.000,68
39,0,06573,Brandt Jobe,205.7,592403.000,80
40,0,10885,Robert Allenby,206.0,719405.000,97
41,0,02223,Bob Tway,206.1,452606.000,61
42,0,20105,Jeff Gove,206.2,452773.000,61
43,0,23322,Brett Wetterich,206.8,699969.000,94
44,0,06515,Shaun Micheel,206.9,573490.000,77
45,0,10962,Bradley Hughes,207.0,380017.000,51
46,0,02245,Grant Waite,207.3,626767.000,84
47,0,01724,Jeff Maggert,207.7,291652.000,39
48,0,24925,Jonathan Byrd,208.5,623115.000,83
48,0,10201,Matt Gogel,208.5,270217.000,36
50,0,21961,Charles Howell III,208.6,818419.000,109
