RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,06567,Vijay Singh,69.65,2368,34
2,0,06595,Kevin Sutherland,69.74,2650,38
3,0,24227,Justin Bolli,69.75,1395,20
4,0,12510,Chad Campbell,69.85,2305,33
5,0,19846,Brian Gay,69.93,2937,42
5,0,26420,Richard Johnson,69.93,979,14
7,0,27936,Martin Laird,69.94,1259,18
8,0,01928,Corey Pavin,70.00,840,12
9,0,02223,Bob Tway,70.10,1402,20
10,0,08537,J.P. Hayes,70.19,1123,16
10,0,24490,George McNeill,70.19,1895,27
12,0,25900,Lucas Glover,70.23,2107,30
13,0,06004,Stephen Ames,70.28,2530,36
14,0,10733,Kent Jones,70.30,1406,20
15,0,24361,Pat Perez,70.32,2391,34
16,0,08931,Glen Day,70.33,1266,18
17,0,10423,Mike Weir,70.35,2814,40
18,0,01035,Tommy Armour III,70.37,2111,30
18,0,29718,Anthony Kim,70.37,2463,35
20,0,06251,Chris DiMarco,70.39,1267,18
20,0,12782,Tim Herron,70.39,1971,28
22,0,01810,Phil Mickelson,70.43,3099,44
23,0,20160,Charlie Wi,70.46,1832,26
24,0,10860,Justin Leonard,70.48,2819,40
25,0,24912,Will MacKenzie,70.50,1128,16
26,0,23778,Brad Adamonis,70.53,2116,30
26,0,21961,Charles Howell III,70.53,2257,32
28,0,01766,Billy Mayfair,70.54,2469,35
29,0,20645,John Senden,70.56,1270,18
30,0,10505,Shane Bertsch,70.58,1835,26
31,0,23125,Brad Elder,70.60,1412,20
32,0,20623,Gavin Coles,70.63,1130,16
33,0,25842,Jon Mills,70.65,1413,20
33,0,01948,Tim Petrovic,70.65,2190,31
35,0,20766,Padraig Harrington,70.67,1484,21
35,0,28158,Steve Marino,70.67,2332,33
35,0,23621,Rory Sabbatini,70.67,2120,30
38,0,21633,Steve Allan,70.68,1343,19
39,0,20850,Daniel Chopra,70.69,2050,29
39,0,02239,Scott Verplank,70.69,2545,36
41,0,21878,Mark Wilson,70.70,2333,33
42,0,06012,Greg Kraft,70.72,1273,18
43,0,10885,Robert Allenby,70.74,3042,43
43,0,23541,Ben Crane,70.74,1910,27
43,0,24781,Hunter Mahan,70.74,1910,27
