RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,0,01876,Greg Norman,+2.21,69.88,72.09
2,0,01313,Steve Elkington,+1.66,70.25,71.91
3,0,01968,Nick Price,+1.43,70.77,72.20
4,0,01326,Nick Faldo,+1.40,70.47,71.87
4,0,02099,Scott Simpson,+1.40,70.16,71.56
4,0,06567,Vijay Singh,+1.40,70.80,72.20
7,0,06522,Ernie Els,+1.38,70.53,71.91
8,0,01677,Tom Lehman,+1.37,70.68,72.05
9,0,01569,Peter Jacobsen,+1.33,70.44,71.77
10,0,01706,Davis Love III,+1.31,70.56,71.87
11,0,02223,Bob Tway,+1.27,70.30,71.57
12,0,01226,Fred Couples,+1.26,70.83,72.09
13,0,02214,Kirk Triplett,+1.23,70.24,71.47
14,0,09011,David Duval,+1.22,70.76,71.98
14,0,10860,Justin Leonard,+1.22,70.45,71.67
14,0,01928,Corey Pavin,+1.22,70.51,71.73
14,0,06527,Steve Stricker,+1.22,70.57,71.79
18,0,01457,Jay Haas,+1.19,70.50,71.69
19,0,01201,Lennie Clements,+1.17,70.24,71.41
20,0,02133,Craig Stadler,+1.15,70.45,71.60
21,0,01887,Mark O'Meara,+1.14,70.34,71.48
21,0,02010,Loren Roberts,+1.14,70.59,71.73
23,0,02239,Scott Verplank,+1.13,70.41,71.54
24,0,01161,Mark Calcavecchia,+1.12,70.74,71.86
24,0,01418,Bill Glasson,+1.12,70.63,71.75
26,0,02246,Duffy Waldorf,+1.11,70.47,71.58
27,0,02146,Payne Stewart,+1.09,70.69,71.78
28,0,01385,Jim Gallagher Jr.,+1.07,70.81,71.88
29,0,01707,Steve Lowery,+1.05,70.54,71.59
29,0,01783,Mark McCumber,+1.05,71.08,72.13
31,0,02104,Jeff Sluman,+1.03,70.43,71.46
32,0,01143,Brad Bryant,+1.00,70.85,71.85
32,0,01320,Bob Estes,+1.00,70.52,71.52
32,0,01527,Scott Hoch,+1.00,70.56,71.56
35,0,01766,Billy Mayfair,+.98,70.48,71.46
36,0,01329,Brad Faxon,+.96,70.70,71.66
37,0,01945,Kenny Perry,+.94,70.53,71.47
38,0,01599,Steve Jones,+.93,70.43,71.36
38,0,02256,Tom Watson,+.93,70.93,71.86
40,0,06315,Pete Jordan,+.87,70.63,71.50
41,0,01724,Jeff Maggert,+.86,70.96,71.82
42,0,01823,Larry Mize,+.80,70.93,71.73
42,0,02159,Curtis Strange,+.80,70.90,71.70
44,0,06090,Jim McGovern,+.79,70.95,71.74
44,0,12660,Jesper Parnevik,+.79,70.92,71.71
46,0,01549,Mike Hulbert,+.77,70.82,71.59
47,0,01306,David Edwards,+.76,70.77,71.53
47,0,02267,D.A. Weibring,+.76,70.67,71.43
49,0,01381,Fred Funk,+.75,70.84,71.59
49,0,01577,Lee Janzen,+.75,71.19,71.94
49,0,01810,Phil Mickelson,+.75,71.17,71.92
49,0,02170,Hal Sutton,+.75,70.86,71.61
53,0,01132,Mark Brooks,+.74,70.80,71.54
53,0,01890,Brett Ogle,+.74,70.95,71.69
55,0,01837,Gil Morgan,+.73,70.66,71.39
56,0,01905,Joe Ozaki,+.72,70.58,71.30
57,0,01006,John Adams,+.69,70.62,71.31
57,0,01098,Jay Don Blake,+.69,70.70,71.39
57,0,01378,David Frost,+.69,71.35,72.04
60,0,01701,Bob Lohr,+.64,71.18,71.82
61,0,01723,Andrew Magee,+.63,70.92,71.55
62,0,01771,Blaine McCallister,+.62,71.13,71.75
63,0,02321,Fuzzy Zoeller,+.61,70.76,71.37
64,0,10809,Jim Furyk,+.53,70.81,71.34
65,0,01235,Ben Crenshaw,+.49,71.45,71.94
66,0,01361,Dan Forsman,+.43,71.18,71.61
66,0,06044,Scott Gump,+.43,71.11,71.54
68,0,01116,Michael Bradley,+.42,70.97,71.39
68,0,01633,Tom Kite,+.42,71.23,71.65
68,0,01960,Don Pooley,+.42,71.06,71.48
71,0,01175,Jim Carter,+.41,71.03,71.44
72,0,01203,Russ Cochran,+.40,70.98,71.38
72,0,02101,Joey Sindelar,+.40,71.10,71.50
74,0,07867,Woody Austin,+.38,70.95,71.33
74,0,01938,David Peoples,+.38,71.02,71.40
76,0,01042,Paul Azinger,+.37,71.34,71.71
77,0,08337,Mike Heinen,+.36,71.23,71.59
77,0,02049,Gene Sauers,+.36,71.05,71.41
77,0,02245,Grant Waite,+.36,71.01,71.37
80,0,06034,Marco Dawson,+.35,70.94,71.29
80,0,01975,Tom Purtzer,+.35,70.66,71.01
82,0,01553,John Huston,+.34,71.31,71.65
83,0,06214,Guy Boros,+.33,71.11,71.44
83,0,01475,Donnie Hammond,+.33,70.89,71.22
83,0,01690,Bruce Lietzke,+.33,71.43,71.76
83,0,01920,Craig Parry,+.33,71.17,71.50
87,0,01093,Ronnie Black,+.31,71.01,71.32
87,0,01971,Dillard Pruitt,+.31,71.10,71.41
89,0,01334,Keith Fergus,+.29,71.17,71.46
90,0,01024,Billy Andrade,+.27,71.52,71.79
91,0,06124,Patrick Burke,+.25,71.16,71.41
91,0,02008,Lee Rinker,+.25,71.14,71.39
93,0,01156,Curt Byrum,+.22,71.38,71.60
93,0,01185,Brandel Chamblee,+.22,71.40,71.62
93,0,01943,Chris Perry,+.22,71.43,71.65
96,0,06613,Tommy Tolles,+.21,71.14,71.35
97,0,01374,Robin Freeman,+.20,71.20,71.40
97,0,01748,Doug Martin,+.20,71.11,71.31
99,0,02225,Howard Twitty,+.19,71.14,71.33
99,0,06577,John Wilson,+.19,71.34,71.53
101,0,01725,John Mahaffey,+.18,71.40,71.58
102,0,01219,John Cook,+.17,71.37,71.54
103,0,01142,Bart Bryant,+.16,71.28,71.44
103,0,01331,Rick Fehr,+.16,71.24,71.40
105,0,06643,Paul Goydos,+.13,71.24,71.37
106,0,01060,Dave Barr,+.12,71.28,71.40
106,0,07235,John Morse,+.12,71.75,71.87
108,0,01196,Brian Claar,+.08,71.43,71.51
109,0,01072,Chip Beck,+.06,71.49,71.55
110,0,01353,Bruce Fleisher,+.05,71.25,71.30
111,0,01891,David Ogrin,+.03,71.48,71.51
112,0,01040,Emlyn Aubrey,+.01,71.26,71.27
113,0,01035,Tommy Armour III,-.01,71.39,71.38
113,0,08931,Glen Day,-.01,71.51,71.50
113,0,02190,Doug Tewell,-.01,71.47,71.46
116,0,01408,Kelly Gibson,-.02,71.37,71.35
117,0,06088,Steve Gotsche,-.05,71.36,71.31
118,0,01096,Phil Blackmar,-.06,71.62,71.56
119,0,02135,Mike Standly,-.08,71.54,71.46
120,0,10215,Charlie Rymer,-.09,71.47,71.38
121,0,01414,Bob Gilder,-.10,71.75,71.65
122,0,06575,Dudley Hart,-.11,71.59,71.48
123,0,02241,Bobby Wadkins,-.12,71.71,71.59
124,0,01458,Jerry Haas,-.13,71.49,71.36
125,0,20094,Jonathan Kaye,-.17,71.51,71.34
126,0,10585,Scott McCarron,-.18,71.48,71.30
127,0,08385,Omar Uresti,-.20,71.67,71.47
128,0,01307,Joel Edwards,-.22,71.72,71.50
128,0,08563,Bruce Vaughan,-.22,71.72,71.50
130,0,01388,Robert Gamez,-.23,71.72,71.49
131,0,01444,Ken Green,-.24,71.80,71.56
132,0,01261,Jay Delsing,-.25,71.99,71.74
132,0,01619,Skip Kendall,-.25,71.47,71.22
132,0,02180,Harry Taylor,-.25,71.42,71.17
135,0,01607,Brian Kamm,-.26,71.94,71.68
135,0,06332,Neal Lancaster,-.26,71.86,71.60
135,0,06657,Steve Rintoul,-.26,71.82,71.56
135,0,02167,Mike Sullivan,-.26,71.93,71.67
139,0,06012,Greg Kraft,-.27,71.78,71.51
140,0,01797,Rocco Mediate,-.28,71.98,71.70
141,0,02218,Ted Tryba,-.29,71.68,71.39
142,0,01133,Billy Ray Brown,-.30,72.20,71.90
142,0,01685,J.L. Lewis,-.30,71.55,71.25
144,0,01926,Steve Pate,-.32,71.64,71.32
144,0,02111,Mike Smith,-.32,71.85,71.53
146,0,01510,Nolan Henke,-.33,71.63,71.30
147,0,01249,John Daly,-.34,72.07,71.73
148,0,01996,Mike Reid,-.36,71.94,71.58
149,0,08375,Paul Stankowski,-.37,71.93,71.56
150,0,20051,Joe Acosta Jr.,-.40,71.68,71.28
150,0,01266,Clark Dennis,-.40,71.95,71.55
152,0,06197,Michael Allen,-.42,71.79,71.37
152,0,01927,Dennis Paulson,-.42,71.79,71.37
154,0,02148,Ray Stewart,-.43,71.61,71.18
154,0,02279,Mark Wiebe,-.43,72.11,71.68
156,0,10569,Mike Brisky,-.45,72.07,71.62
156,0,01550,Ed Humenik,-.45,71.94,71.49
158,0,02094,Tony Sills,-.46,71.60,71.14
159,0,01129,Bill Britton,-.48,71.81,71.33
160,0,01925,Jerry Pate,-.49,72.00,71.51
161,0,10145,Tom Hearn,-.53,72.16,71.63
161,0,07101,Dave Stockton Jr.,-.53,71.69,71.16
163,0,06617,Brian Henninger,-.58,72.00,71.42
164,0,08537,J.P. Hayes,-.59,71.96,71.37
165,0,06386,Bill Porter,-.62,72.07,71.45
166,0,20095,Carl Paulson,-.63,71.89,71.26
167,0,08717,Kawika Cotner,-.64,71.99,71.35
168,0,06048,Dicky Thompson,-.65,71.90,71.25
169,0,01682,Wayne Levi,-.66,72.12,71.46
170,0,10213,Dicky Pride,-.72,72.54,71.82
171,0,06251,Chris DiMarco,-.73,72.19,71.46
172,0,06809,Bob Burns,-.74,72.33,71.59
173,0,01705,Tim Loustalot,-.76,72.13,71.37
173,0,10425,Jay Williamson,-.76,72.00,71.24
175,0,01468,Gary Hallberg,-.78,72.45,71.67
175,0,06791,Mark Wurtz,-.78,72.07,71.29
177,0,02242,Lanny Wadkins,-.82,71.81,70.99
178,0,02226,Tray Tyner,-.86,72.26,71.40
179,0,01986,Joey Rassett,-.89,72.20,71.31
180,0,01992,Don Reese,-.90,72.12,71.22
181,0,01014,Fulton Allem,-.91,72.55,71.64
181,0,01330,David Feherty,-.91,72.93,72.02
183,0,01864,Larry Nelson,-.92,72.38,71.46
184,0,07721,Pat Bates,-1.04,72.43,71.39
185,0,06641,Jeff Leonard,-1.14,72.33,71.19
186,0,07569,Mark Carnevale,-1.17,72.74,71.57
187,0,01200,Keith Clearwater,-1.38,72.86,71.48
188,0,02131,Mike Springer,-1.64,73.52,71.88
