RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,28237,Rory McIlroy,53.05,87,164
2,0,30925,Dustin Johnson,52.94,108,204
3,0,25804,Bubba Watson,52.34,112,214
4,0,27649,Brandt Snedeker,50.81,125,246
5,0,21209,Sergio Garcia,50.58,87,172
6,0,30110,Kyle Stanley,49.80,125,251
7,0,24358,Robert Garrigus,49.65,142,286
8,0,24140,Sean O'Hair,49.42,127,257
9,0,27330,Josh Teater,49.16,146,297
10,0,32102,Rickie Fowler,48.68,129,265
11,0,06527,Steve Stricker,48.64,107,220
12,0,32334,Charlie Beljan,48.55,84,173
13,0,23541,Ben Crane,48.35,117,242
14,0,08793,Tiger Woods,48.34,102,211
15,0,23409,James Driscoll,48.30,128,265
16,0,30692,Scott Stallings,48.18,119,247
17,0,27770,Camilo Villegas,48.16,118,245
18,0,23983,Luke Donald,48.04,98,204
19,0,21961,Charles Howell III,47.99,143,298
20,0,01810,Phil Mickelson,47.89,125,261
21,0,33141,Keegan Bradley,47.74,127,266
22,0,24361,Pat Perez,47.73,126,264
23,0,28475,Jeff Overton,47.60,149,313
24,0,29221,Webb Simpson,47.52,115,242
25,0,23623,Bo Van Pelt,47.31,123,260
26,0,24502,Adam Scott,47.22,85,180
27,0,20691,Greg Owen,47.19,126,267
28,0,32366,Kevin Chappell,46.86,127,271
29,0,06567,Vijay Singh,46.69,141,302
30,0,25686,Jason Dufner,46.46,118,254
31,0,32698,Bobby Gates,46.42,123,265
32,0,26329,Louis Oosthuizen,46.32,88,190
33,0,25632,Jimmy Walker,46.22,153,331
34,0,29420,Billy Horschel,46.20,79,171
35,0,20766,Padraig Harrington,46.03,87,189
36,0,24024,Zach Johnson,46.02,133,289
37,0,20574,Mathew Goggin,46.00,92,200
38,0,33120,Mark Anderson,45.89,106,231
39,0,19970,Robert Karlsson,45.68,74,162
40,0,34021,Bud Cauley,45.48,146,321
41,0,21528,Henrik Stenson,45.24,76,168
42,0,12716,Charley Hoffman,45.23,128,283
43,0,34174,John Huh,45.21,137,303
44,0,20645,John Senden,45.20,113,250
45,0,11123,Chris Couch,45.16,84,186
45,0,01249,John Daly,45.16,56,124
47,0,20098,Stuart Appleby,44.95,98,218
48,0,20396,Lee Westwood,44.64,75,168
49,0,25562,Andres Romero,44.61,91,204
50,0,32150,Michael Thompson,44.58,107,240
51,0,27936,Martin Laird,44.53,110,247
52,0,29289,S.Y. Noh,44.44,140,315
53,0,27895,Jonas Blixt,44.35,102,230
54,0,33122,Russell Knox,44.29,93,210
55,0,27095,Nick Watney,44.22,134,303
56,0,25818,Scott Piercy,44.19,133,301
