RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,29926,Danny Lee,96' 9",96.750,1
2,0,29518,Brendan Steele,76' 1",76.083,1
3,0,29222,Billy Hurley III,69' 11",69.917,1
4,0,21878,Mark Wilson,67' 2",67.167,1
5,0,29461,Jamie Lovemark,65' 9",65.750,1
6,0,24138,Ian Poulter,65' 8",131.250,2
7,0,34264,Hudson Swafford,65' 3",130.417,2
8,0,31193,Jim Renner,64' 2",64.167,1
9,0,33141,Keegan Bradley,58' 4",58.333,1
10,0,28307,Matt Every,56' 11",113.833,2
11,0,27644,Brian Harman,55' 11",55.917,1
12,0,34021,Bud Cauley,55' 5",55.417,1
13,0,22371,Aaron Baddeley,53' 4",53.333,1
13,0,28500,Martin Flores,53' 4",53.333,1
15,0,35541,John Peterson,52' 7",52.583,1
16,0,26329,Louis Oosthuizen,52' 6",105.000,2
16,0,28486,Michael Putnam,52' 6",52.500,1
18,0,25240,D.A. Points,52' 2",52.167,1
19,0,07867,Woody Austin,52' 1",52.083,1
20,0,23621,Rory Sabbatini,49' 11",249.417,5
21,0,29221,Webb Simpson,48' 1",48.083,1
22,0,27936,Martin Laird,47' 7",47.583,1
23,0,29425,Andrew Svoboda,47' 6",47.500,1
24,0,30926,Chris Kirk,44' 9",44.750,1
25,0,24358,Robert Garrigus,44' 3",44.250,1
26,0,27141,J.B. Holmes,43' 6",43.500,1
27,0,24924,Bill Haas,41' 10",41.833,1
28,0,24494,Erik Compton,41' 1",41.083,1
29,0,23409,James Driscoll,40' 2",80.250,2
30,0,25345,Carl Pettersson,39' 10",39.833,1
31,0,33461,Morgan Hoffmann,39' 8",39.667,1
32,0,32333,Kevin Tway,39' 7",39.583,1
33,0,25562,Andres Romero,38' 11",38.917,1
34,0,24361,Pat Perez,38' 1",38.083,1
35,0,20104,Ken Duke,37' 8",37.667,1
36,0,30110,Kyle Stanley,37' 7",37.583,1
37,0,20098,Stuart Appleby,37' 0",37.000,1
38,0,24781,Hunter Mahan,35' 2",35.167,1
39,0,22046,Geoff Ogilvy,34' 6",172.333,5
40,0,06567,Vijay Singh,34' 4",34.333,1
41,0,21753,Brian Davis,33' 11",33.917,1
42,0,27895,Jonas Blixt,33' 5",33.417,1
43,0,25274,Steven Bowditch,33' 0",33.000,1
44,0,25396,Kevin Na,32' 11",32.917,1
45,0,27330,Josh Teater,31' 11",31.917,1
46,0,32334,Charlie Beljan,31' 5",62.833,2
47,0,34360,Patrick Reed,31' 0",31.000,1
48,0,33419,Cameron Tringale,30' 5",30.417,1
49,0,23108,Matt Kuchar,29' 8",29.667,1
50,0,27933,John Merrick,29' 5",29.417,1
51,0,26289,Boo Weekley,28' 11",57.750,2
52,0,32102,Rickie Fowler,28' 10",28.833,1
53,0,23638,Brendon de Jonge,28' 9",28.750,1
54,0,33418,Shawn Stefani,28' 0",28.000,1
55,0,27436,Graham DeLaet,27' 7",27.583,1
56,0,25900,Lucas Glover,26' 2",104.583,4
57,0,28475,Jeff Overton,24' 0",24.000,1
58,0,02206,David Toms,22' 2",22.167,1
59,0,33122,Russell Knox,21' 5",42.750,2
59,0,28780,Nicholas Thompson,21' 5",21.417,1
61,0,24490,George McNeill,21' 0",21.000,1
62,0,32448,James Hahn,20' 2",20.167,1
63,0,28237,Rory McIlroy,19' 2",19.167,1
64,0,30925,Dustin Johnson,17' 8",17.667,1
65,0,26758,David Hearn,17' 2",17.167,1
66,0,25632,Jimmy Walker,14' 11",14.917,1
67,0,28092,D.H. Lee,10' 8",10.667,1
68,0,25191,Gonzalo Fernandez-Castaño,10' 0",10.000,1
69,0,20396,Lee Westwood,8' 1",8.083,1
70,0,31202,William McGirt,4' 10",4.833,1
