RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,25572,Graeme McDowell,84' 5",46613,46,475,2301001985
2,0,28307,Matt Every,83' 3",64933,65,469,3302001729
3,0,32150,Michael Thompson,81' 7",58738,60,457,3303001679
4,0,28237,Rory McIlroy,80' 7",46414,48,452,1901001724
5,0,29926,Danny Lee,80' 4",66492,69,450,3204001452
6,0,30927,Brendon Todd,80' 3",87678,91,453,4904002071
7,0,30926,Chris Kirk,80' 2",82734,86,452,3304001929
8,0,27770,Camilo Villegas,79' 9",80389,84,446,0202002225
9,0,21731,Freddie Jacobson,79' 8",77448,81,448,3703001768
10,0,23108,Matt Kuchar,79' 6",72512,76,447,2502001910
11,0,27649,Brandt Snedeker,79' 3",62734,66,445,1102001597
12,0,28259,Sangmoon Bae,79' 1",61664,65,444,3702001602
13,0,25562,Andres Romero,78' 10",68121,72,447,4503001675
14,0,20098,Stuart Appleby,78' 8",79294,84,444,4602001644
14,0,24502,Adam Scott,78' 8",52852,56,443,2301001802
16,0,01810,Phil Mickelson,78' 7",47134,50,440,2903001582
17,0,20593,Greg Chalmers,78' 6",68761,73,441,1502001908
17,0,21528,Henrik Stenson,78' 6",35793,38,439,4401001666
19,0,20645,John Senden,78' 4",76114,81,440,3204001827
20,0,22371,Aaron Baddeley,78' 3",55391,59,438,1702001682
21,0,34098,Russell Henley,78' 2",70363,75,440,4304001622
21,0,20396,Lee Westwood,78' 2",40344,43,438,2104002123
23,0,25364,Paul Casey,77' 11",41134,44,438,1901001314
24,0,35539,Luke Guthrie,77' 9",70891,76,437,0501001614
25,0,21209,Sergio Garcia,77' 7",37259,40,437,2501001707
26,0,32334,Charlie Beljan,77' 1",61974,67,432,3102001652
27,0,24490,George McNeill,77' 0",64698,70,435,3801001542
28,0,26758,David Hearn,76' 11",75721,82,433,3904001656
28,0,29221,Webb Simpson,76' 11",68269,74,432,0501001680
30,0,33461,Morgan Hoffmann,76' 9",82860,90,432,4804002026
31,0,23320,Ryan Palmer,76' 8",61658,67,431,3101001802
32,0,32640,Troy Merritt,76' 6",50508,55,428,3902001852
32,0,25632,Jimmy Walker,76' 6",67019,73,430,0104002039
34,0,28092,D.H. Lee,76' 4",41227,45,429,0503001741
35,0,34046,Jordan Spieth,76' 3",72255,79,428,4701001789
36,0,29479,Scott Brown,76' 0",75676,83,428,4702001776
36,0,23983,Luke Donald,76' 0",40110,44,425,4401001738
38,0,29518,Brendan Steele,75' 11",63801,70,425,4702001815
39,0,35300,Andrew Loupe,75' 10",45503,50,428,2801001470
40,0,24138,Ian Poulter,75' 9",37271,41,423,4701001879
41,0,22621,Ben Curtis,75' 6",57974,64,425,1504001810
41,0,23621,Rory Sabbatini,75' 6",58916,65,422,2803001731
41,0,27963,Chris Stroud,75' 6",65246,72,426,3202002656
44,0,24494,Erik Compton,75' 5",67877,75,423,1503001727
44,0,28475,Jeff Overton,75' 5",59707,66,426,4701002068
46,0,27436,Graham DeLaet,75' 4",57869,64,423,4102001782
47,0,21753,Brian Davis,75' 3",73105,81,425,3903002188
47,0,25396,Kevin Na,75' 3",70462,78,425,2903001545
49,0,29289,S.Y. Noh,75' 2",67678,75,422,0501001668
49,0,25834,Daniel Summerhays,75' 2",79402,88,423,3204002239
49,0,02206,David Toms,75' 2",48693,54,421,3803001514
52,0,27556,Ted Potter Jr.,75' 1",54069,60,421,3701001375
53,0,36689,Brooks Koepka,75' 0",37781,42,420,0102001870
54,0,25444,Justin Hicks,74' 11",80886,90,419,4501001499
54,0,31560,Brian Stuard,74' 11",66521,74,422,4502001772
56,0,30852,Ryo Ishikawa,74' 10",55698,62,421,4602001535
56,0,24781,Hunter Mahan,74' 10",64628,72,418,3201001490
56,0,34431,Robert Streb,74' 10",57499,64,422,1601001737
56,0,23623,Bo Van Pelt,74' 10",60188,67,421,3901001481
60,0,23541,Ben Crane,74' 8",69895,78,420,3402001679
60,0,29420,Billy Horschel,74' 8",61810,69,419,4802001761
62,0,24912,Will MacKenzie,74' 7",65320,73,420,4601001756
63,0,30925,Dustin Johnson,74' 6",36667,41,419,3201001683
63,0,26596,Ryan Moore,74' 6",55457,62,419,4804001983
65,0,22293,Heath Slocum,74' 4",55300,62,416,2902001423
66,0,08075,Jerry Kelly,74' 3",58791,66,417,3204001539
67,0,24846,Ricky Barnes,74' 1",69357,78,415,0103001727
67,0,24357,K.J. Choi,74' 1",59544,67,415,2301001726
67,0,27644,Brian Harman,74' 1",89751,101,418,3903001906
67,0,22405,Justin Rose,74' 1",46224,52,417,4403001734
71,0,34261,Scott Langley,73' 11",70059,79,414,3004001672
72,0,12716,Charley Hoffman,73' 9",67282,76,413,1502001599
73,0,23409,James Driscoll,73' 8",51271,58,414,0102001490
73,0,35732,Wes Roach,73' 8",44202,50,414,3901001882
73,0,33418,Shawn Stefani,73' 8",50404,57,413,2503002390
76,0,27895,Jonas Blixt,73' 7",37971,43,413,4303001539
76,0,34174,John Huh,73' 7",61815,70,412,4604001696
78,0,35139,Richard Lee,73' 6",53807,61,413,0201001784
79,0,07867,Woody Austin,73' 5",50215,57,412,3402001415
79,0,20848,Ángel Cabrera,73' 5",53739,61,414,3803001841
81,0,22046,Geoff Ogilvy,73' 4",64229,73,411,4704001566
81,0,26331,Charl Schwartzel,73' 4",47532,54,415,4704001404
83,0,32102,Rickie Fowler,73' 3",54473,62,411,4803001603
83,0,29222,Billy Hurley III,73' 3",63290,72,410,4703001637
85,0,26851,Marc Leishman,73' 2",60613,69,412,3203001435
85,0,31323,Gary Woodland,73' 2",64093,73,412,4604001631
87,0,33141,Keegan Bradley,73' 1",58788,67,412,2803001679
87,0,23135,Tim Clark,73' 1",54356,62,410,0102001591
89,0,29478,Kevin Kisner,73' 0",61323,70,412,0504001868
90,0,19846,Brian Gay,72' 10",55033,63,409,2202002205
90,0,26300,Matt Jones,72' 10",52416,60,412,2504001973
90,0,24361,Pat Perez,72' 10",65560,75,410,2401001758
93,0,25720,Chad Collins,72' 9",53277,61,410,4102001368
93,0,30944,Jason Kokrak,72' 9",53251,61,411,4703001919
95,0,20157,Retief Goosen,72' 8",68008,78,407,2301001581
95,0,27095,Nick Watney,72' 8",48830,56,407,3603001567
97,0,34099,Harris English,72' 7",64471,74,409,0504001599
97,0,27214,Kevin Streelman,72' 7",52232,60,407,4702001727
99,0,33413,Ben Martin,72' 6",54836,63,408,3303001748
100,0,25240,D.A. Points,72' 5",47795,55,404,1902001693
100,0,25349,Tim Wilkinson,72' 5",61669,71,406,1903001805
102,0,24140,Sean O'Hair,72' 4",58181,67,406,0203001461
103,0,24663,Y.E. Yang,72' 2",52809,61,404,1202001604
104,0,27408,Martin Kaymer,72' 0",41475,48,406,4803001644
104,0,26329,Louis Oosthuizen,72' 0",25914,30,403,4402001428
106,0,20229,Stewart Cink,71' 10",62040,72,402,4102001715
106,0,10860,Justin Leonard,71' 10",53423,62,406,3303001433
108,0,31202,William McGirt,71' 9",72317,84,403,3202001565
109,0,32366,Kevin Chappell,71' 7",74744,87,402,0502001528
109,0,34563,Chesson Hadley,71' 7",60968,71,402,4402001524
109,0,34360,Patrick Reed,71' 7",63531,74,404,1502001652
112,0,28500,Martin Flores,71' 6",58349,68,401,2802001492
112,0,27141,J.B. Holmes,71' 6",66043,77,402,1901001632
114,0,24024,Zach Johnson,71' 5",72017,84,400,0501001574
115,0,29535,Brice Garnett,71' 4",66782,78,401,3201001636
115,0,24358,Robert Garrigus,71' 4",62489,73,404,2804001582
117,0,29740,Brad Fritsch,71' 3",33350,39,400,4503001606
117,0,32839,Hideki Matsuyama,71' 3",54741,64,403,1402001470
117,0,29425,Andrew Svoboda,71' 3",56400,66,401,3701001695
120,0,10809,Jim Furyk,71' 2",56367,66,401,4102001807
120,0,34409,David Lingmerth,71' 2",57197,67,402,3304001469
122,0,23638,Brendon de Jonge,71' 1",78514,92,399,2902001742
123,0,25191,Gonzalo Fernandez-Castaño,71' 0",58815,69,400,4704001606
123,0,30750,Tommy Gainey,71' 0",51134,60,397,1501001445
125,0,34264,Hudson Swafford,70' 11",49359,58,399,0501001501
126,0,24924,Bill Haas,70' 9",69577,82,397,2102001721
127,0,30692,Scott Stallings,70' 8",53398,63,399,1403001525
128,0,25345,Carl Pettersson,70' 7",72008,85,396,2504002055
128,0,20160,Charlie Wi,70' 7",55084,65,400,3802001667
130,0,12510,Chad Campbell,70' 6",38909,46,396,0204001572
131,0,32333,Kevin Tway,70' 5",39712,47,394,3901001812
132,0,25804,Bubba Watson,70' 4",47272,56,395,2101001506
133,0,24507,Jason Bohn,70' 2",61433,73,395,3801001606
134,0,28132,Tyrone Van Aswegen,70' 1",54697,65,393,3802001543
135,0,10423,Mike Weir,70' 0",44533,53,392,0504001404
136,0,10885,Robert Allenby,69' 11",58742,70,392,1704001417
136,0,22378,Trevor Immelman,69' 11",56227,67,392,1902002110
136,0,01706,Davis Love III,69' 11",52876,63,391,3401001560
136,0,33419,Cameron Tringale,69' 11",82178,98,393,2503001531
140,0,26951,Johnson Wagner,69' 10",48590,58,393,3602001540
141,0,32200,Roberto Castro,69' 9",49360,59,393,4103001553
142,0,33122,Russell Knox,69' 8",69426,83,392,1301001510
142,0,23800,Bryce Molder,69' 8",53505,64,390,3203001594
144,0,28089,Jason Day,69' 7",27557,33,391,4603002119
144,0,20104,Ken Duke,69' 7",55078,66,391,0202001510
