RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,24846,Ricky Barnes,2' 0",817,1652.833
1,0,25686,Jason Dufner,2' 0",465,912.583
1,0,06522,Ernie Els,2' 0",645,1303.750
1,0,25900,Lucas Glover,2' 0",564,1136.500
1,0,26300,Matt Jones,2' 0",632,1273.083
1,0,27933,John Merrick,2' 0",843,1714.167
1,0,26679,Kevin Stadler,2' 0",762,1521.667
1,0,25834,Daniel Summerhays,2' 0",958,1947.333
1,0,25804,Bubba Watson,2' 0",602,1216.083
1,0,21878,Mark Wilson,2' 0",642,1264.667
11,0,24357,K.J. Choi,2' 1",694,1428.250
11,0,28089,Jason Day,2' 1",333,696.500
11,0,21209,Sergio Garcia,2' 1",415,862.583
11,0,20157,Retief Goosen,2' 1",827,1742.333
11,0,24924,Bill Haas,2' 1",893,1880.083
11,0,21961,Charles Howell III,2' 1",1035,2154.500
11,0,30925,Dustin Johnson,2' 1",436,903.250
11,0,24024,Zach Johnson,2' 1",888,1826.667
11,0,27408,Martin Kaymer,2' 1",514,1052.667
11,0,27466,Spencer Levin,2' 1",546,1153.167
11,0,28237,Rory McIlroy,2' 1",479,996.583
11,0,23800,Bryce Molder,2' 1",687,1432.250
11,0,26596,Ryan Moore,2' 1",657,1366.917
11,0,22913,John Rollins,2' 1",775,1623.083
11,0,26951,Johnson Wagner,2' 1",643,1358.917
11,0,25349,Tim Wilkinson,2' 1",725,1519.417
27,0,10885,Robert Allenby,2' 2",792,1715.167
27,0,22371,Aaron Baddeley,2' 2",591,1292.917
27,0,24507,Jason Bohn,2' 2",801,1711.917
27,0,33141,Keegan Bradley,2' 2",706,1523.417
27,0,24925,Jonathan Byrd,2' 2",711,1561.667
27,0,12510,Chad Campbell,2' 2",542,1177.667
27,0,32200,Roberto Castro,2' 2",642,1393.917
27,0,34021,Bud Cauley,2' 2",505,1090.833
27,0,25720,Chad Collins,2' 2",630,1383.833
27,0,22621,Ben Curtis,2' 2",690,1516.167
27,0,23638,Brendon de Jonge,2' 2",1004,2150.917
27,0,32102,Rickie Fowler,2' 2",627,1349.583
27,0,19846,Brian Gay,2' 2",623,1374.000
27,0,27644,Brian Harman,2' 2",1067,2272.667
