RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,34265,Will Wilcox,91.67
2,0,28089,Jason Day,88.24
3,0,26476,Chez Reavie,87.50
4,0,21528,Henrik Stenson,86.67
5,0,32839,Hideki Matsuyama,80.95
6,0,34046,Jordan Spieth,80.00
7,0,34098,Russell Henley,78.95
8,0,30711,Colt Knost,76.47
9,0,29478,Kevin Kisner,76.19
10,0,34431,Robert Streb,76.00
11,0,30926,Chris Kirk,75.00
11,0,25804,Bubba Watson,75.00
11,0,20396,Lee Westwood,75.00
11,0,21878,Mark Wilson,75.00
15,0,33413,Ben Martin,73.68
16,0,25364,Paul Casey,72.22
16,0,34261,Scott Langley,72.22
18,0,30736,Oscar Fraustro,71.43
18,0,35532,Tom Hoge,71.43
18,0,27936,Martin Laird,71.43
18,0,27649,Brandt Snedeker,71.43
18,0,25892,Steve Wheatcroft,71.43
23,0,26951,Johnson Wagner,70.00
24,0,26851,Marc Leishman,69.23
25,0,32102,Rickie Fowler,68.75
26,0,33141,Keegan Bradley,68.42
26,0,34174,John Huh,68.42
26,0,24490,George McNeill,68.42
29,0,25369,Jamie Donaldson,66.67
29,0,10809,Jim Furyk,66.67
29,0,26758,David Hearn,66.67
29,0,36689,Brooks Koepka,66.67
29,0,25240,D.A. Points,66.67
29,0,30946,Alex Prugh,66.67
29,0,23621,Rory Sabbatini,66.67
29,0,26289,Boo Weekley,66.67
37,0,24507,Jason Bohn,65.00
37,0,12716,Charley Hoffman,65.00
37,0,31202,William McGirt,65.00
40,0,34409,David Lingmerth,64.71
40,0,23320,Ryan Palmer,64.71
42,0,22405,Justin Rose,64.29
42,0,20645,John Senden,64.29
42,0,27963,Chris Stroud,64.29
42,0,31323,Gary Woodland,64.29
46,0,35545,Blayne Barber,63.64
46,0,32334,Charlie Beljan,63.64
46,0,29725,Tony Finau,63.64
46,0,37454,Whee Kim,63.64
46,0,30692,Scott Stallings,63.64
46,0,23623,Bo Van Pelt,63.64
52,0,25274,Steven Bowditch,63.16
52,0,32448,James Hahn,63.16
54,0,01810,Phil Mickelson,62.50
54,0,26596,Ryan Moore,62.50
54,0,29476,Kyle Reifers,62.50
57,0,33418,Shawn Stefani,61.90
58,0,24846,Ricky Barnes,61.54
58,0,21753,Brian Davis,61.54
58,0,29222,Billy Hurley III,61.54
58,0,26329,Louis Oosthuizen,61.54
58,0,34130,Sung Joon Park,61.54
58,0,26331,Charl Schwartzel,61.54
64,0,34099,Harris English,60.87
64,0,23108,Matt Kuchar,60.87
66,0,24358,Robert Garrigus,60.00
66,0,34563,Chesson Hadley,60.00
66,0,08075,Jerry Kelly,60.00
66,0,22046,Geoff Ogilvy,60.00
66,0,25632,Jimmy Walker,60.00
71,0,31560,Brian Stuard,58.82
72,0,34262,Jon Curran,58.33
72,0,25900,Lucas Glover,58.33
72,0,29926,Danny Lee,58.33
75,0,24024,Zach Johnson,57.89
75,0,26300,Matt Jones,57.89
