RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,01810,Phil Mickelson,135' 2",4597' 6",182
2,0,28237,Rory McIlroy,134' 5",8904' 4",215
3,0,33141,Keegan Bradley,130' 8",8276' 5",293
4,0,47959,Bryson DeChambeau,126' 1",803' 6",165
5,0,45157,Cam Davis,125' 11",5584' 4",362
6,0,32102,Rickie Fowler,125' 10",1327' 8",249
7,0,35461,Beau Hossler,125' 7",9818' 2",317
8,0,33948,Byeong Hun An,124' 10",6198',290
8,0,32448,James Hahn,124' 10",2695' 6",262
10,0,30944,Jason Kokrak,124' 7",5390' 2",284
11,0,33486,Roger Sloan,123' 5",6288',618
12,0,29926,Danny Lee,121' 11",4384' 9",200
13,0,21209,Sergio Garcia,118' 9",2764' 4",276
14,0,35617,Martin Trainer,118' 3",2465' 6",190
15,0,28089,Jason Day,117' 9",4020' 6",204
16,0,56278,Matthew Wolff,117' 7",7400' 8",148
17,0,51766,Wyndham Clark,116' 3",1044' 6",95
18,0,47504,Sam Burns,116' 1",4948' 9",301
19,0,36689,Brooks Koepka,115' 4",9950' 0",173
19,0,35449,Adam Long,115' 4",2629' 2",283
21,0,47483,Will Zalatoris,115' 3",7542',239
22,0,30911,Tommy Fleetwood,115' 1",6455' 9",143
23,0,39546,Keith Mitchell,114' 9",9029' 2",253
24,0,30925,Dustin Johnson,114' 8",3396' 2",204
25,0,48887,Matt Wallace,114' 5",3844' 8",121
26,0,20229,Stewart Cink,114' 4",4866' 2",305
27,0,24924,Bill Haas,114' 1",7227' 4",151
28,0,29221,Webb Simpson,113' 9",1610' 6",190
29,0,27141,J.B. Holmes,113' 2",7432' 3",419
30,0,22405,Justin Rose,112' 10",6131' 6",143
31,0,27974,Sung Kang,112' 9",2461' 8",288
32,0,46435,Austin Cook,112' 5",594' 5",361
33,0,32640,Troy Merritt,112' 0",4270',306
34,0,34255,Joseph Bramlett,111' 3",6137' 3",235
34,0,28420,Ryan Brehm,111' 3",6356' 6",147
36,0,31323,Gary Woodland,110' 10",7730' 5",160
37,0,39975,Michael Kim,110' 0",3102' 4",210
38,0,29268,Bronson Burgoon,109' 8",7533' 3",251
39,0,32139,Danny Willett,109' 7",1173',102
40,0,34363,Tyrrell Hatton,109' 2",8127' 6",166
41,0,23320,Ryan Palmer,108' 11",3408' 6",215
42,0,32757,Patton Kizzire,108' 9",449' 5",372
42,0,46970,Jon Rahm,108' 9",2627' 4",208
