RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,35461,Beau Hossler,14,1,13
2,0,46435,Austin Cook,15,7,8
2,0,29221,Webb Simpson,15,4,11
4,0,49960,Sepp Straka,19,14,5
5,0,37189,Harold Varner III,21,10,11
6,0,34174,John Huh,22,20,2
7,0,27644,Brian Harman,28,22,6
8,0,27974,Sung Kang,30,8,22
9,0,34563,Chesson Hadley,31,12,19
10,0,32139,Danny Willett,32,6,26
11,0,33120,Mark Anderson,33,24,9
12,0,33948,Byeong Hun An,39,2,37
13,0,29268,Bronson Burgoon,41,14,27
14,0,20229,Stewart Cink,43,16,27
15,0,33410,Andrew Landry,46,39,7
15,0,23623,Bo Van Pelt,46,29,17
17,0,47993,Denny McCarthy,47,25,22
18,0,34314,Sebastian Cappelen,53,22,31
19,0,26329,Louis Oosthuizen,54,41,13
19,0,35891,Cameron Smith,54,32,22
21,0,24781,Hunter Mahan,59,32,27
21,0,48887,Matt Wallace,59,13,46
23,0,33141,Keegan Bradley,60,3,57
24,0,30110,Kyle Stanley,63,42,21
25,0,31420,Anirban Lahiri,64,27,37
26,0,51766,Wyndham Clark,65,8,57
27,0,34255,Joseph Bramlett,66,19,47
27,0,29908,C.T. Pan,66,65,1
29,0,47128,Richy Werenski,68,32,36
30,0,24924,Bill Haas,69,35,34
31,0,26758,David Hearn,70,35,35
32,0,26476,Chez Reavie,72,69,3
33,0,32150,Michael Thompson,73,55,18
34,0,25632,Jimmy Walker,74,27,47
35,0,30944,Jason Kokrak,78,10,68
35,0,49771,J.T. Poston,78,46,32
37,0,27330,Josh Teater,87,50,37
38,0,39324,J.J. Spaun,89,44,45
39,0,27214,Kevin Streelman,95,51,44
40,0,29535,Brice Garnett,99,80,19
40,0,32448,James Hahn,99,21,78
42,0,28775,Nate Lashley,101,69,32
43,0,32816,Satoshi Kodaira,102,60,42
43,0,28237,Rory McIlroy,102,5,97
45,0,35449,Adam Long,103,29,74
46,0,24140,Sean O'Hair,105,55,50
47,0,45609,Tyler Duncan,106,90,16
48,0,33399,Adam Hadwin,107,39,68
49,0,46717,Viktor Hovland,110,60,50
49,0,35506,Mackenzie Hughes,110,42,68
49,0,32757,Patton Kizzire,110,44,66
52,0,34098,Russell Henley,111,74,37
53,0,30911,Tommy Fleetwood,112,31,81
54,0,25493,Nick Taylor,114,51,63
55,0,25818,Scott Piercy,116,106,10
56,0,32791,K.H. Lee,118,65,53
56,0,31560,Brian Stuard,118,103,15
58,0,19803,Ryan Armour,119,115,4
58,0,23108,Matt Kuchar,119,77,42
60,0,01810,Phil Mickelson,121,16,105
61,0,49766,Hank Lebioda,124,65,59
62,0,28679,Fabián Gómez,127,105,22
63,0,22405,Justin Rose,128,69,59
64,0,30925,Dustin Johnson,130,35,95
65,0,45157,Cam Davis,131,26,105
65,0,31646,Emiliano Grillo,131,55,76
67,0,33404,Chris Baker,132,76,56
68,0,32102,Rickie Fowler,135,18,117
69,0,34076,Joel Dahmen,137,84,53
70,0,32640,Troy Merritt,138,35,103
71,0,29926,Danny Lee,139,46,93
72,0,33448,Justin Thomas,142,81,61
73,0,30926,Chris Kirk,143,65,78
74,0,45526,Abraham Ancer,145,118,27
74,0,12716,Charley Hoffman,145,55,90
76,0,28089,Jason Day,147,54,93
77,0,39953,Chase Seiffert,149,81,68
78,0,39975,Michael Kim,151,46,105
79,0,23325,Vaughn Taylor,153,106,47
80,0,24024,Zach Johnson,155,94,61
81,0,46441,Robby Shelton,156,90,66
82,0,22056,Cameron Percy,157,69,88
82,0,23621,Rory Sabbatini,157,69,88
84,0,46970,Jon Rahm,158,77,81
85,0,35230,Nelson Ledesma,164,59,105
85,0,33667,Carlos Ortiz,164,90,74
87,0,35450,Patrick Cantlay,165,97,68
87,0,30692,Scott Stallings,165,60,105
89,0,30927,Brendon Todd,167,117,50
90,0,52375,Doug Ghim,172,86,86
91,0,49964,Aaron Wise,173,88,85
92,0,34046,Jordan Spieth,175,102,73
93,0,33486,Roger Sloan,176,46,130
94,0,34466,Peter Malnati,178,81,97
95,0,34363,Tyrrell Hatton,179,98,81
95,0,24138,Ian Poulter,179,126,53
97,0,32839,Hideki Matsuyama,180,79,101
98,0,33204,Shane Lowry,186,95,91
98,0,23320,Ryan Palmer,186,74,112
100,0,47483,Will Zalatoris,190,63,127
101,0,29970,Dylan Frittelli,191,86,105
102,0,27942,Rob Oppenheim,192,155,37
103,0,28420,Ryan Brehm,193,51,142
103,0,26499,Rafa Cabrera Bello,193,96,97
105,0,50525,Collin Morikawa,202,84,118
106,0,32070,Rafael Campos,203,88,115
106,0,24357,K.J. Choi,203,138,65
108,0,19846,Brian Gay,204,103,101
109,0,25364,Paul Casey,209,123,86
110,0,48119,Ben Taylor,213,110,103
111,0,47504,Sam Burns,216,63,153
112,0,33122,Russell Knox,219,156,63
113,0,29478,Kevin Kisner,220,98,122
114,0,27936,Martin Laird,223,100,123
115,0,34099,Harris English,224,143,81
115,0,27770,Camilo Villegas,224,146,78
117,0,23983,Luke Donald,231,112,119
117,0,39971,Sungjae Im,231,108,123
119,0,26851,Marc Leishman,233,110,123
119,0,23788,D.J. Trahan,233,142,91
121,0,40006,Erik van Rooyen,234,129,105
122,0,25900,Lucas Glover,241,165,76
123,0,35104,Tom Lewis,242,119,123
123,0,46046,Scottie Scheffler,242,123,119
125,0,21209,Sergio Garcia,245,100,145
126,0,35532,Tom Hoge,247,115,132
127,0,24502,Adam Scott,249,119,130
128,0,27141,J.B. Holmes,252,90,162
129,0,25686,Jason Dufner,256,159,97
130,0,34213,Grayson Murray,257,143,114
131,0,29725,Tony Finau,258,109,149
132,0,36871,Matthew NeSmith,259,125,134
133,0,36699,Patrick Rodgers,261,121,140
134,0,33490,Bo Hoag,262,166,96
135,0,33597,Harry Higgs,263,121,142
135,0,29420,Billy Horschel,263,136,127
137,0,25804,Bubba Watson,264,128,136
138,0,26300,Matt Jones,266,154,112
139,0,29518,Brendan Steele,268,134,134
140,0,48081,Xander Schauffele,271,139,132
141,0,46402,Talor Gooch,272,112,160
142,0,27649,Brandt Snedeker,275,133,142
143,0,39977,Max Homa,276,129,147
144,0,45486,Joaquin Niemann,279,160,119
145,0,46442,Maverick McNealy,280,151,129
146,0,27064,Jhonattan Vegas,281,126,155
147,0,56278,Matthew Wolff,284,112,172
148,0,22371,Aaron Baddeley,287,148,139
149,0,35658,Kris Ventura,288,131,157
150,0,30163,Henrik Norlander,289,151,138
151,0,37455,Si Woo Kim,295,179,116
152,0,40042,Tyler McCumber,300,143,157
153,0,32618,Rhein Gibson,303,147,156
154,0,36689,Brooks Koepka,304,134,170
154,0,39546,Keith Mitchell,304,131,173
156,0,40098,Matt Fitzpatrick,308,172,136
156,0,49298,Kramer Hickok,308,167,141
158,0,39997,Corey Conners,314,169,145
158,0,53165,Doc Redman,314,151,163
160,0,27554,Scott Harrington,316,148,168
161,0,29479,Scott Brown,322,158,164
162,0,20396,Lee Westwood,323,172,151
162,0,32254,Xinjun Zhang,323,139,184
164,0,52372,Cameron Champ,328,136,192
164,0,56762,Will Gordon,328,148,180
166,0,35617,Martin Trainer,330,139,191
167,0,25396,Kevin Na,332,185,147
168,0,51894,Vince Whaley,333,179,154
169,0,48045,Michael Gellerman,334,177,157
169,0,35310,Lanto Griffin,334,183,151
169,0,32333,Kevin Tway,334,156,178
172,0,37275,Sam Ryder,336,172,164
173,0,21961,Charles Howell III,338,189,149
173,0,33413,Ben Martin,338,169,169
175,0,34256,Andrew Putnam,341,164,177
176,0,31323,Gary Woodland,342,162,180
177,0,34264,Hudson Swafford,346,167,179
178,0,46550,Brandon Hagy,350,160,190
179,0,33419,Cameron Tringale,351,177,174
180,0,28252,Seamus Power,354,188,166
181,0,31557,Jim Herman,355,195,160
182,0,47959,Bryson DeChambeau,357,162,195
183,0,27095,Nick Watney,358,176,182
184,0,29974,Branden Grace,360,194,166
184,0,27349,Alex Noren,360,171,189
186,0,34360,Patrick Reed,361,179,182
187,0,27556,Ted Potter Jr.,363,187,176
188,0,32662,Michael Gligic,365,172,193
189,0,40026,Daniel Berger,366,196,170
189,0,36801,Mark Hubbard,366,192,174
191,0,26331,Charl Schwartzel,368,182,186
192,0,27129,Luke List,369,183,186
192,0,34431,Robert Streb,369,185,184
194,0,48822,Sebastián Muñoz,376,190,186
195,0,47347,Adam Schenk,385,191,194
196,0,24361,Pat Perez,388,192,196
