RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,0,29221,Webb Simpson,6' 6",2193.750,336
2,0,33141,Keegan Bradley,6' 11",2316.083,333
3,0,24925,Jonathan Byrd,7' 0",1836.917,263
4,0,25274,Steven Bowditch,7' 1",3535.500,497
4,0,25396,Kevin Na,7' 1",3041.000,429
4,0,22405,Justin Rose,7' 1",1586.583,223
4,0,21878,Mark Wilson,7' 1",2868.167,404
8,0,34046,Jordan Spieth,7' 2",2571.750,360
9,0,34261,Scott Langley,7' 3",3159.167,435
10,0,23983,Luke Donald,7' 4",2151.083,292
10,0,08075,Jerry Kelly,7' 4",2735.750,372
10,0,27963,Chris Stroud,7' 4",2634.917,361
10,0,02206,David Toms,7' 4",2377.500,326
10,0,33419,Cameron Tringale,7' 4",3369.833,459
15,0,34262,Jon Curran,7' 5",2612.083,352
15,0,10809,Jim Furyk,7' 5",1814.833,245
15,0,30852,Ryo Ishikawa,7' 5",2734.667,370
15,0,31193,Jim Renner,7' 5",2268.000,307
15,0,21528,Henrik Stenson,7' 5",1519.917,204
20,0,20771,Steven Alker,7' 6",2042.250,273
20,0,29222,Billy Hurley III,7' 6",2716.500,363
20,0,20691,Greg Owen,7' 6",1474.417,196
23,0,27649,Brandt Snedeker,7' 7",3262.417,428
23,0,28132,Tyrone Van Aswegen,7' 7",1541.750,203
25,0,32200,Roberto Castro,7' 8",1455.917,189
25,0,24357,K.J. Choi,7' 8",2540.417,333
25,0,20766,Padraig Harrington,7' 8",2291.167,300
25,0,27141,J.B. Holmes,7' 8",2776.500,361
25,0,33122,Russell Knox,7' 8",3026.833,395
25,0,25349,Tim Wilkinson,7' 8",2690.667,350
31,0,20472,Alex Cejka,7' 9",3390.750,436
31,0,25720,Chad Collins,7' 9",2676.500,347
31,0,28089,Jason Day,7' 9",2084.250,270
31,0,25686,Jason Dufner,7' 9",1852.000,238
31,0,06522,Ernie Els,7' 9",1690.250,218
31,0,25191,Gonzalo Fernandez-Castaño,7' 9",2820.250,362
31,0,20157,Retief Goosen,7' 9",2817.917,362
