RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,33204,Shane Lowry,20.3,61436.000,84
2,0,57366,Cameron Young,20.4,126362.000,172
3,0,28237,Rory McIlroy,20.6,106137.000,143
4,0,35450,Patrick Cantlay,21.1,110855.000,146
5,0,45609,Tyler Duncan,21.3,107253.000,140
5,0,32662,Michael Gligic,21.3,109737.000,143
7,0,40098,Matt Fitzpatrick,21.5,83470.000,108
7,0,39977,Max Homa,21.5,136236.000,176
9,0,12716,Charley Hoffman,21.6,118369.000,152
10,0,46717,Viktor Hovland,21.7,116510.000,149
10,0,36689,Brooks Koepka,21.7,89896.000,115
10,0,50525,Collin Morikawa,21.7,80332.000,103
10,0,48699,Callum Tarren,21.7,104075.000,133
14,0,47483,Will Zalatoris,21.8,105882.000,135
15,0,36326,David Lipsky,22.0,110832.000,140
16,0,30692,Scott Stallings,22.1,142508.000,179
17,0,29518,Brendan Steele,22.2,114893.000,144
18,0,33141,Keegan Bradley,22.3,114212.000,142
18,0,34076,Joel Dahmen,22.3,115787.000,144
18,0,24980,Scott Gutschewski,22.3,55439.000,69
21,0,36801,Mark Hubbard,22.4,100062.000,124
21,0,51997,Andrew Novak,22.4,102494.000,127
21,0,46414,Aaron Rai,22.4,106465.000,132
24,0,31646,Emiliano Grillo,22.5,134261.000,166
24,0,48822,Sebastián Muñoz,22.5,133537.000,165
24,0,46970,Jon Rahm,22.5,129065.000,159
24,0,35891,Cameron Smith,22.5,91465.000,113
24,0,39324,J.J. Spaun,22.5,116890.000,144
29,0,25686,Jason Dufner,22.6,51191.000,63
29,0,46442,Maverick McNealy,22.6,152108.000,187
29,0,31323,Gary Woodland,22.6,104294.000,128
32,0,55708,Hayden Buckley,22.7,155203.000,190
32,0,52372,Cameron Champ,22.7,112829.000,138
32,0,45486,Joaquin Niemann,22.7,116679.000,143
32,0,34264,Hudson Swafford,22.7,101968.000,125
36,0,19803,Ryan Armour,22.9,42057.000,51
36,0,47856,Seth Reeves,22.9,111134.000,135
38,0,45157,Cam Davis,23.0,156405.000,189
38,0,27644,Brian Harman,23.0,106812.000,129
38,0,48117,Kurt Kitayama,23.0,88538.000,107
38,0,47983,Chad Ramey,23.0,72986.000,88
38,0,47995,Davis Riley,23.0,160009.000,193
43,0,29725,Tony Finau,23.1,159427.000,192
43,0,52374,Brandon Wu,23.1,94156.000,113
45,0,37212,Paul Barjon,23.2,138883.000,166
45,0,54628,Lee Hodges,23.2,155334.000,186
45,0,49766,Hank Lebioda,23.2,115305.000,138
45,0,24502,Adam Scott,23.2,121331.000,145
45,0,46340,Alex Smalley,23.2,124397.000,149
50,0,28089,Jason Day,23.3,95751.000,114
50,0,54421,Garrick Higgo,23.3,81420.000,97
50,0,48081,Xander Schauffele,23.3,126467.000,151
50,0,33419,Cameron Tringale,23.3,139966.000,167
54,0,27895,Jonas Blixt,23.4,74870.000,89
54,0,31557,Jim Herman,23.4,47143.000,56
54,0,33490,Bo Hoag,23.4,70036.000,83
54,0,35532,Tom Hoge,23.4,132244.000,157
54,0,33122,Russell Knox,23.4,106274.000,126
54,0,32791,K.H. Lee,23.4,175700.000,209
54,0,27129,Luke List,23.4,147310.000,175
54,0,32333,Kevin Tway,23.4,127375.000,151
62,0,46601,Trey Mullinax,23.6,155685.000,183
62,0,36699,Patrick Rodgers,23.6,140818.000,166
62,0,34046,Jordan Spieth,23.6,140946.000,166
62,0,27214,Kevin Streelman,23.6,139070.000,164
66,0,49298,Kramer Hickok,23.7,131615.000,154
66,0,24024,Zach Johnson,23.7,64902.000,76
68,0,34098,Russell Henley,23.8,108867.000,127
68,0,39971,Sungjae Im,23.8,164826.000,192
70,0,34466,Peter Malnati,23.9,155660.000,181
70,0,32839,Hideki Matsuyama,23.9,134425.000,156
70,0,23325,Vaughn Taylor,23.9,55895.000,65
70,0,33448,Justin Thomas,23.9,138635.000,161
74,0,26300,Matt Jones,24.0,125308.000,145
74,0,29289,S.Y. Noh,24.0,74343.000,86
74,0,29221,Webb Simpson,24.0,90583.000,105
74,0,10381,Curtis Thompson,24.0,83011.000,96
78,0,52375,Doug Ghim,24.1,116923.000,135
78,0,35879,Kelly Kraft,24.1,88610.000,102
80,0,46402,Talor Gooch,24.2,117673.000,135
80,0,46550,Brandon Hagy,24.2,141822.000,163
80,0,29926,Danny Lee,24.2,88983.000,102
80,0,26851,Marc Leishman,24.2,131558.000,151
80,0,51634,Sahith Theegala,24.2,216484.000,248
80,0,45540,Jared Wolfe,24.2,101029.000,116
86,0,39546,Keith Mitchell,24.3,172911.000,198
86,0,49947,Taylor Moore,24.3,161909.000,185
86,0,24361,Pat Perez,24.3,100484.000,115
86,0,27139,David Skinns,24.3,111876.000,128
86,0,37189,Harold Varner III,24.3,117390.000,134
91,0,47504,Sam Burns,24.4,145882.000,166
91,0,30911,Tommy Fleetwood,24.4,81726.000,93
91,0,36871,Matthew NeSmith,24.4,151053.000,172
91,0,40250,Taylor Pendrith,24.4,128034.000,146
95,0,32448,James Hahn,24.5,137679.000,156
95,0,35461,Beau Hossler,24.5,140940.000,160
95,0,31420,Anirban Lahiri,24.5,108668.000,123
95,0,37275,Sam Ryder,24.5,144550.000,164
99,0,45522,Christiaan Bezuidenhout,24.7,74604.000,84
99,0,25900,Lucas Glover,24.7,145634.000,164
99,0,35310,Lanto Griffin,24.7,143352.000,161
99,0,47988,Nick Hardy,24.7,91715.000,103
99,0,27349,Alex Noren,24.7,98707.000,111
99,0,49771,J.T. Poston,24.7,152897.000,172
99,0,35617,Martin Trainer,24.7,127132.000,143
106,0,40115,Adam Svensson,24.8,157166.000,176
106,0,27064,Jhonattan Vegas,24.8,151108.000,169
106,0,48887,Matt Wallace,24.8,104283.000,117
109,0,32757,Patton Kizzire,24.9,183069.000,204
109,0,53165,Doc Redman,24.9,126441.000,141
109,0,23621,Rory Sabbatini,24.9,85099.000,95
109,0,51890,Greyson Sigg,24.9,139065.000,155
109,0,28114,Dawie van der Walt,24.9,89486.000,100
114,0,36884,Ben Kohles,25.0,72790.000,81
114,0,34610,Matthias Schwab,25.0,80256.000,89
114,0,50095,Austin Smotherman,25.0,137470.000,153
114,0,34431,Robert Streb,25.0,142828.000,159
114,0,27095,Nick Watney,25.0,100006.000,111
119,0,34256,Andrew Putnam,25.1,128215.000,142
119,0,54783,Dylan Wu,25.1,93135.000,103
121,0,30978,Kiradech Aphibarnrat,25.2,72497.000,80
121,0,36799,Stephan Jaeger,25.2,139902.000,154
121,0,37455,Si Woo Kim,25.2,192053.000,212
121,0,27936,Martin Laird,25.2,112663.000,124
121,0,27649,Brandt Snedeker,25.2,82467.000,91
121,0,51894,Vince Whaley,25.2,139560.000,154
121,0,49964,Aaron Wise,25.2,167150.000,184
128,0,33399,Adam Hadwin,25.3,135571.000,149
