RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,46970,Jon Rahm,75.57,133,43
2,0,35450,Patrick Cantlay,74.36,116,40
3,0,36689,Brooks Koepka,73.33,88,32
4,0,29725,Tony Finau,72.64,154,58
5,0,27064,Jhonattan Vegas,72.63,138,52
6,0,28237,Rory McIlroy,71.71,109,43
7,0,39546,Keith Mitchell,71.23,151,61
8,0,39977,Max Homa,70.09,150,64
9,0,29926,Danny Lee,69.84,88,38
10,0,39971,Sungjae Im,69.83,162,70
11,0,46601,Trey Mullinax,69.63,149,65
12,0,32839,Hideki Matsuyama,69.27,124,55
13,0,57366,Cameron Young,69.23,144,64
14,0,46717,Viktor Hovland,68.97,120,54
15,0,30944,Jason Kokrak,68.75,110,50
16,0,26300,Matt Jones,68.67,114,52
17,0,32448,James Hahn,68.62,129,59
18,0,46402,Talor Gooch,68.02,117,55
19,0,34255,Joseph Bramlett,67.92,144,68
20,0,37455,Si Woo Kim,67.69,176,84
21,0,35461,Beau Hossler,67.68,134,64
22,0,12716,Charley Hoffman,67.38,126,61
23,0,46046,Scottie Scheffler,67.35,132,64
24,0,32662,Michael Gligic,67.22,121,59
25,0,52372,Cameron Champ,67.07,110,54
26,0,48081,Xander Schauffele,67.05,118,58
27,0,34046,Jordan Spieth,67.02,126,62
27,0,33448,Justin Thomas,67.02,126,62
29,0,54421,Garrick Higgo,66.95,79,39
30,0,37212,Paul Barjon,66.83,135,67
31,0,32791,K.H. Lee,66.80,167,83
32,0,34264,Hudson Swafford,66.46,105,53
33,0,51634,Sahith Theegala,66.34,203,103
34,0,40250,Taylor Pendrith,66.32,126,64
35,0,27139,David Skinns,65.48,110,58
36,0,55708,Hayden Buckley,65.29,158,84
37,0,40098,Matt Fitzpatrick,65.22,90,48
38,0,32757,Patton Kizzire,64.77,171,93
39,0,50095,Austin Smotherman,64.71,132,72
40,0,47483,Will Zalatoris,64.67,119,65
41,0,39997,Corey Conners,64.42,134,74
42,0,47988,Nick Hardy,64.18,86,48
43,0,47856,Seth Reeves,64.02,105,59
44,0,45526,Abraham Ancer,64.00,96,54
44,0,27129,Luke List,64.00,128,72
46,0,46550,Brandon Hagy,63.55,129,74
47,0,39058,Lucas Herbert,63.49,80,46
47,0,40006,Erik van Rooyen,63.49,80,46
49,0,36801,Mark Hubbard,63.41,104,60
50,0,29518,Brendan Steele,63.40,123,71
51,0,46442,Maverick McNealy,63.25,148,86
52,0,48699,Callum Tarren,63.13,101,59
53,0,33667,Carlos Ortiz,62.92,112,66
54,0,50525,Collin Morikawa,62.86,88,52
55,0,24502,Adam Scott,62.63,119,71
56,0,45157,Cam Davis,62.61,144,86
57,0,47995,Davis Riley,62.60,154,92
58,0,45486,Joaquin Niemann,62.21,107,65
59,0,49771,J.T. Poston,62.17,143,87
60,0,21961,Charles Howell III,62.00,93,57
61,0,36699,Patrick Rodgers,61.99,137,84
62,0,48117,Kurt Kitayama,61.97,88,54
63,0,54628,Lee Hodges,61.81,157,97
63,0,35891,Cameron Smith,61.81,89,55
65,0,37189,Harold Varner III,61.71,108,67
66,0,48822,Sebastián Muñoz,61.68,132,82
67,0,23320,Ryan Palmer,61.49,91,57
68,0,49960,Sepp Straka,61.47,134,84
69,0,27974,Sung Kang,61.46,126,79
70,0,49947,Taylor Moore,61.29,152,96
71,0,32102,Rickie Fowler,61.11,99,63
72,0,29221,Webb Simpson,60.81,90,58
73,0,29970,Dylan Frittelli,60.53,138,90
74,0,49964,Aaron Wise,60.50,144,94
75,0,47504,Sam Burns,60.38,128,84
76,0,48887,Matt Wallace,60.26,94,62
77,0,40115,Adam Svensson,60.23,159,105
78,0,24925,Jonathan Byrd,60.14,83,55
78,0,45540,Jared Wolfe,60.14,89,59
80,0,51997,Andrew Novak,60.00,102,68
80,0,52374,Brandon Wu,60.00,96,64
82,0,47128,Richy Werenski,59.76,98,66
83,0,31646,Emiliano Grillo,59.73,135,91
84,0,27349,Alex Noren,59.62,93,63
85,0,35617,Martin Trainer,59.38,114,78
86,0,34098,Russell Henley,59.24,109,75
87,0,26851,Marc Leishman,59.18,116,80
88,0,37275,Sam Ryder,59.02,144,100
89,0,33490,Bo Hoag,58.77,67,47
90,0,36871,Matthew NeSmith,58.62,136,96
91,0,51766,Wyndham Clark,58.61,143,101
92,0,45609,Tyler Duncan,58.54,120,85
93,0,28252,Seamus Power,58.52,103,73
94,0,30926,Chris Kirk,58.50,117,83
95,0,31323,Gary Woodland,58.33,105,75
96,0,30911,Tommy Fleetwood,58.06,72,52
97,0,34431,Robert Streb,58.04,130,94
98,0,49298,Kramer Hickok,57.89,132,96
99,0,35532,Tom Hoge,57.83,133,97
100,0,32333,Kevin Tway,57.77,119,87
101,0,30978,Kiradech Aphibarnrat,57.76,67,49
102,0,35310,Lanto Griffin,57.52,130,96
103,0,29535,Brice Garnett,57.28,118,88
104,0,40162,Justin Lower,57.14,96,72
104,0,53165,Doc Redman,57.14,120,90
106,0,32816,Satoshi Kodaira,57.02,69,52
107,0,47347,Adam Schenk,56.96,135,102
108,0,51890,Greyson Sigg,56.84,133,101
109,0,33419,Cameron Tringale,56.61,137,105
110,0,51894,Vince Whaley,56.48,122,94
111,0,54783,Dylan Wu,56.33,89,69
112,0,24138,Ian Poulter,56.03,65,51
113,0,29420,Billy Horschel,55.77,87,69
114,0,47529,Mito Pereira,55.60,129,103
115,0,33141,Keegan Bradley,55.34,114,92
115,0,33597,Harry Higgs,55.34,114,92
117,0,24361,Pat Perez,55.19,101,82
118,0,33204,Shane Lowry,54.93,78,64
119,0,10381,Curtis Thompson,54.86,79,65
120,0,46414,Aaron Rai,54.81,114,94
121,0,28089,Jason Day,54.76,92,76
121,0,25818,Scott Piercy,54.76,115,95
123,0,20229,Stewart Cink,54.74,104,86
124,0,25900,Lucas Glover,54.47,134,112
125,0,36326,David Lipsky,54.31,126,106
125,0,46340,Alex Smalley,54.31,126,106
127,0,22056,Cameron Percy,53.92,55,47
128,0,28114,Dawie van der Walt,53.90,83,71
129,0,39324,J.J. Spaun,53.85,126,108
130,0,30692,Scott Stallings,53.79,142,122
131,0,32139,Danny Willett,53.73,72,62
132,0,36799,Stephan Jaeger,53.54,121,105
133,0,51950,Max McGreevy,53.49,92,80
133,0,27214,Kevin Streelman,53.49,138,120
135,0,33486,Roger Sloan,53.33,104,91
136,0,34076,Joel Dahmen,53.21,116,102
137,0,48084,Wesley Bryan,53.17,67,59
138,0,32366,Kevin Chappell,52.86,74,66
139,0,34174,John Huh,52.69,98,88
140,0,25198,Francesco Molinari,52.67,69,62
141,0,34360,Patrick Reed,52.44,86,78
142,0,49766,Hank Lebioda,52.31,113,103
143,0,52375,Doug Ghim,52.29,114,104
144,0,27895,Jonas Blixt,52.27,69,63
145,0,28775,Nate Lashley,51.98,105,97
146,0,22405,Justin Rose,51.82,57,53
147,0,36852,Jim Knous,51.75,59,55
148,0,56278,Matthew Wolff,51.67,62,58
149,0,31420,Anirban Lahiri,51.60,97,91
150,0,27936,Martin Laird,51.58,98,92
150,0,30163,Henrik Norlander,51.58,98,92
152,0,36884,Ben Kohles,51.43,72,68
152,0,34466,Peter Malnati,51.43,144,136
154,0,25493,Nick Taylor,51.39,111,105
155,0,27649,Brandt Snedeker,51.28,80,76
156,0,35506,Mackenzie Hughes,51.03,99,95
157,0,34563,Chesson Hadley,50.97,105,101
158,0,27644,Brian Harman,50.96,106,102
159,0,32150,Michael Thompson,50.85,119,115
160,0,23621,Rory Sabbatini,50.68,74,72
161,0,29478,Kevin Kisner,50.60,85,83
162,0,35110,Brett Drewitt,50.00,63,63
162,0,29974,Branden Grace,50.00,71,71
162,0,24980,Scott Gutschewski,50.00,63,63
165,0,34256,Andrew Putnam,49.59,120,122
166,0,23325,Vaughn Taylor,49.17,59,61
167,0,27095,Nick Watney,48.48,96,102
168,0,33399,Adam Hadwin,48.37,119,127
169,0,27770,Camilo Villegas,48.15,78,84
170,0,35879,Kelly Kraft,48.00,84,91
171,0,29908,C.T. Pan,47.79,108,118
172,0,34363,Tyrrell Hatton,47.14,66,74
173,0,32640,Troy Merritt,46.96,108,122
174,0,23108,Matt Kuchar,46.81,88,100
175,0,45522,Christiaan Bezuidenhout,46.25,74,86
176,0,33122,Russell Knox,45.98,103,121
177,0,25686,Jason Dufner,45.90,56,66
178,0,35449,Adam Long,45.83,110,130
179,0,24924,Bill Haas,45.75,97,115
180,0,34610,Matthias Schwab,45.63,73,87
181,0,29289,S.Y. Noh,45.45,75,90
182,0,46435,Austin Cook,44.77,77,95
183,0,39953,Chase Seiffert,44.55,49,61
184,0,47983,Chad Ramey,43.37,72,94
185,0,19803,Ryan Armour,43.14,44,58
186,0,26476,Chez Reavie,42.17,97,133
187,0,30927,Brendon Todd,41.12,88,126
188,0,23983,Luke Donald,40.26,62,92
189,0,47993,Denny McCarthy,39.53,102,156
190,0,39436,Joshua Creel,39.47,45,69
191,0,24024,Zach Johnson,39.02,64,100
192,0,31557,Jim Herman,36.57,49,85
193,0,31560,Brian Stuard,33.64,72,142
