RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,35891,Cameron Smith,72.57,82,113,-88,-15.00
2,0,40098,Matt Fitzpatrick,70.37,76,108,-80,-1.00
3,0,34363,Tyrrell Hatton,69.51,57,82,-62,-6.00
4,0,33204,Shane Lowry,67.86,57,84,-62,-9.00
5,0,46046,Scottie Scheffler,66.47,115,173,-122,-8.00
6,0,35450,Patrick Cantlay,66.44,97,146,-103,-10.00
6,0,33399,Adam Hadwin,66.44,99,149,-103,-30.00
8,0,45486,Joaquin Niemann,66.43,95,143,-102,-5.00
9,0,29420,Billy Horschel,66.04,70,106,-77,-12.00
10,0,48084,Wesley Bryan,65.79,50,76,-55,+3.00
11,0,56278,Matthew Wolff,65.12,56,86,-59,+20.00
12,0,46601,Trey Mullinax,65.03,119,183,-129,+10.00
13,0,28089,Jason Day,64.91,74,114,-76,-2.00
13,0,34174,John Huh,64.91,74,114,-78,E
15,0,33448,Justin Thomas,64.60,104,161,-114,-13.00
16,0,47504,Sam Burns,64.46,107,166,-113,-17.00
16,0,31646,Emiliano Grillo,64.46,107,166,-114,-10.00
18,0,46402,Talor Gooch,64.44,87,135,-97,-5.00
19,0,28237,Rory McIlroy,64.34,92,143,-100,-2.00
20,0,45522,Christiaan Bezuidenhout,64.29,54,84,-58,-10.00
21,0,26851,Marc Leishman,64.24,97,151,-106,-14.00
21,0,48081,Xander Schauffele,64.24,97,151,-102,-6.00
23,0,46442,Maverick McNealy,64.17,120,187,-135,-3.00
24,0,34610,Matthias Schwab,64.04,57,89,-61,-17.00
25,0,57366,Cameron Young,63.95,110,172,-116,+5.00
26,0,22056,Cameron Percy,63.93,39,61,-42,-10.00
27,0,36801,Mark Hubbard,63.71,79,124,-88,-11.00
28,0,39436,Joshua Creel,63.64,35,55,-35,+4.00
28,0,32662,Michael Gligic,63.64,91,143,-100,-2.00
28,0,46414,Aaron Rai,63.64,84,132,-88,-16.00
31,0,36852,Jim Knous,63.51,47,74,-49,+4.00
32,0,45157,Cam Davis,63.49,120,189,-133,-2.00
33,0,27139,David Skinns,63.28,81,128,-86,+11.00
33,0,31323,Gary Woodland,63.28,81,128,-88,+3.00
35,0,39324,J.J. Spaun,63.19,91,144,-95,-12.00
36,0,39977,Max Homa,63.07,111,176,-121,-16.00
37,0,52372,Cameron Champ,63.04,87,138,-93,-4.00
