RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,01226,Fred Couples,69.57,80,115,-84,-2.00
2,0,12680,Shigeki Maruyama,68.75,33,48,-34,-17.00
3,0,22806,Doug LaBelle II,66.67,34,51,-35,-16.00
4,0,20663,Brenden Pappas,66.36,73,110,-82,-7.00
5,0,24502,Adam Scott,65.48,55,84,-59,-5.00
6,0,23621,Rory Sabbatini,65.29,79,121,-84,-5.00
7,0,27770,Camilo Villegas,65.12,84,129,-90,-14.00
8,0,20574,Mathew Goggin,64.40,123,191,-130,-10.00
9,0,12823,Carlos Franco,64.35,74,115,-78,-6.00
10,0,27141,J.B. Holmes,64.25,115,179,-120,-2.00
11,0,24490,George McNeill,64.09,116,181,-125,+1.00
12,0,12510,Chad Campbell,63.91,85,133,-99,-17.00
13,0,10809,Jim Furyk,63.89,69,108,-72,-27.00
13,0,01810,Phil Mickelson,63.89,92,144,-96,-3.00
15,0,10423,Mike Weir,63.55,68,107,-72,-22.00
16,0,19846,Brian Gay,63.38,45,71,-46,-68.00
17,0,06004,Stephen Ames,63.22,55,87,-58,-35.00
18,0,24449,Parker McLachlin,63.16,84,133,-91,-17.00
19,0,08075,Jerry Kelly,63.04,58,92,-59,-12.00
20,0,23540,Jason Allred,62.50,65,104,-66,+7.00
20,0,06567,Vijay Singh,62.50,90,144,-95,-10.00
20,0,06527,Steve Stricker,62.50,50,80,-54,-30.00
23,0,06034,Marco Dawson,62.16,46,74,-49,-12.00
24,0,26695,Michael Letzig,62.09,95,153,-100,-1.00
25,0,22582,Kyle Thompson,62.03,49,79,-51,-6.00
26,0,06090,Jim McGovern,61.76,42,68,-46,-2.00
27,0,24361,Pat Perez,61.71,108,175,-118,-6.00
28,0,26668,Marc Turnesa,61.11,66,108,-68,-29.00
29,0,23797,Brett Rumford,60.67,54,89,-56,-19.00
30,0,26289,Boo Weekley,60.63,77,127,-80,-3.00
31,0,26679,Kevin Stadler,60.53,92,152,-100,-2.00
32,0,02206,David Toms,60.47,52,86,-55,-11.00
33,0,27649,Brandt Snedeker,60.42,58,96,-63,-4.00
34,0,23320,Ryan Palmer,60.34,70,116,-72,-22.00
35,0,20229,Stewart Cink,60.29,82,136,-92,-11.00
36,0,24140,Sean O'Hair,60.16,74,123,-81,-7.00
37,0,01706,Davis Love III,60.00,81,135,-88,E
37,0,27060,John Mallinger,60.00,66,110,-67,-14.00
39,0,12660,Jesper Parnevik,59.86,88,147,-90,-13.00
40,0,25804,Bubba Watson,59.81,128,214,-134,-7.00
41,0,20098,Stuart Appleby,59.80,61,102,-64,-16.00
42,0,23497,Tag Ridings,59.69,117,196,-122,E
43,0,20766,Padraig Harrington,59.68,37,62,-37,-7.00
44,0,25900,Lucas Glover,59.63,96,161,-101,-24.00
45,0,10505,Shane Bertsch,59.60,59,99,-60,-40.00
45,0,12716,Charley Hoffman,59.60,118,198,-124,+5.00
47,0,27936,Martin Laird,59.59,115,193,-124,-12.00
48,0,10649,Tom Scherrer,59.42,41,69,-42,-15.00
49,0,24924,Bill Haas,59.41,120,202,-126,-7.00
50,0,06575,Dudley Hart,59.26,48,81,-49,-22.00
50,0,29718,Anthony Kim,59.26,80,135,-87,-19.00
52,0,21350,Ryuji Imada,59.18,58,98,-59,-34.00
53,0,22371,Aaron Baddeley,59.09,78,132,-83,-11.00
53,0,20634,Peter Lonard,59.09,78,132,-83,-23.00
55,0,23048,Eric Axley,59.01,95,161,-102,-12.00
56,0,27095,Nick Watney,59.00,141,239,-151,+10.00
57,0,19913,Ron Whittaker,58.97,23,39,-27,-19.00
58,0,24358,Robert Garrigus,58.89,149,253,-154,+9.00
59,0,20433,Mark Hensby,58.68,71,121,-76,-12.00
60,0,25396,Kevin Na,58.64,95,162,-102,-24.00
61,0,06197,Michael Allen,58.46,76,130,-85,-13.00
62,0,10875,Todd Demsey,58.39,80,137,-86,-14.00
62,0,27933,John Merrick,58.39,87,149,-93,-9.00
64,0,06251,Chris DiMarco,58.33,56,96,-59,-32.00
65,0,30925,Dustin Johnson,58.29,116,199,-123,+12.00
66,0,23135,Tim Clark,58.11,43,74,-47,-30.00
67,0,07867,Woody Austin,57.99,98,169,-103,-33.00
68,0,21209,Sergio Garcia,57.98,69,119,-71,-9.00
69,0,24357,K.J. Choi,57.95,51,88,-51,-13.00
69,0,01945,Kenny Perry,57.95,102,176,-105,-21.00
71,0,23409,James Driscoll,57.80,100,173,-104,+2.00
72,0,01797,Rocco Mediate,57.66,64,111,-68,-14.00
73,0,22621,Ben Curtis,57.61,53,92,-57,-23.00
74,0,21961,Charles Howell III,57.51,111,193,-118,-27.00
75,0,07457,Steve Flesch,57.50,69,120,-75,-27.00
76,0,23718,Nathan Green,57.47,100,174,-102,-8.00
77,0,06522,Ernie Els,57.41,31,54,-33,E
77,0,21949,Joe Ogilvie,57.41,93,162,-97,-24.00
79,0,22378,Trevor Immelman,57.14,36,63,-37,-8.00
79,0,01948,Tim Petrovic,57.14,76,133,-78,-5.00
81,0,12652,Cameron Beckman,57.00,57,100,-60,-27.00
82,0,28158,Steve Marino,56.99,110,193,-117,-29.00
83,0,01035,Tommy Armour III,56.94,41,72,-41,-22.00
84,0,28780,Nicholas Thompson,56.88,124,218,-134,+8.00
85,0,21753,Brian Davis,56.85,83,146,-86,-50.00
86,0,01161,Mark Calcavecchia,56.84,54,95,-59,-5.00
87,0,06595,Kevin Sutherland,56.73,97,171,-103,-30.00
88,0,07749,Brett Quigley,56.39,75,133,-79,-1.00
89,0,01941,Tom Pernice Jr.,56.30,76,135,-85,-32.00
90,0,01553,John Huston,56.00,56,100,-58,-16.00
91,0,20623,Gavin Coles,55.88,19,34,-21,-26.00
92,0,20850,Daniel Chopra,55.86,81,145,-88,-3.00
92,0,25349,Tim Wilkinson,55.86,62,111,-66,-33.00
94,0,23108,Matt Kuchar,55.84,43,77,-49,-32.00
95,0,28089,Jason Day,55.80,101,181,-107,-4.00
96,0,20105,Jeff Gove,55.74,34,61,-36,-9.00
96,0,01677,Tom Lehman,55.74,34,61,-37,-12.00
98,0,08845,Scott Sterling,55.68,49,88,-55,-31.00
99,0,24925,Jonathan Byrd,55.63,89,160,-95,-10.00
100,0,08537,J.P. Hayes,55.56,45,81,-46,-7.00
100,0,23623,Bo Van Pelt,55.56,100,180,-107,-10.00
100,0,24663,Y.E. Yang,55.56,85,153,-91,+4.00
