RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,20127,Chris Riley,27.63,442,16
2,0,23135,Tim Clark,27.67,498,18
3,0,20766,Padraig Harrington,27.94,475,17
4,0,12680,Shigeki Maruyama,27.96,755,27
4,0,25396,Kevin Na,27.96,699,25
6,0,22371,Aaron Baddeley,28.00,616,22
6,0,08793,Tiger Woods,28.00,420,15
8,0,10423,Mike Weir,28.05,589,21
9,0,06373,José María Olazábal,28.07,421,15
10,0,21731,Freddie Jacobson,28.10,562,20
10,0,22046,Geoff Ogilvy,28.10,590,21
12,0,01810,Phil Mickelson,28.15,563,20
13,0,23048,Eric Axley,28.26,989,35
14,0,21209,Sergio Garcia,28.28,509,18
15,0,20104,Ken Duke,28.29,877,31
16,0,20160,Charlie Wi,28.36,709,25
17,0,19846,Brian Gay,28.42,881,31
18,0,22212,Craig Lile,28.43,654,23
19,0,21753,Brian Davis,28.46,797,28
20,0,06251,Chris DiMarco,28.48,655,23
20,0,01473,Todd Hamilton,28.48,769,27
20,0,01941,Tom Pernice Jr.,28.48,883,31
23,0,06643,Paul Goydos,28.50,513,18
24,0,20433,Mark Hensby,28.52,656,23
25,0,20157,Retief Goosen,28.54,371,13
26,0,21949,Joe Ogilvie,28.60,858,30
27,0,24925,Jonathan Byrd,28.61,658,23
28,0,06527,Steve Stricker,28.64,630,22
29,0,20623,Gavin Coles,28.65,745,26
29,0,10117,Bob Heintz,28.65,745,26
29,0,24024,Zach Johnson,28.65,573,20
29,0,02206,David Toms,28.65,573,20
33,0,24449,Parker McLachlin,28.67,774,27
34,0,01948,Tim Petrovic,28.69,918,32
34,0,06567,Vijay Singh,28.69,746,26
36,0,20378,Mathias Grönberg,28.70,861,30
36,0,21350,Ryuji Imada,28.70,861,30
38,0,20628,Arron Oberholser,28.71,488,17
39,0,23613,Rich Barcelo,28.72,718,25
40,0,23718,Nathan Green,28.75,805,28
41,0,07547,Craig Kanada,28.76,949,33
42,0,08881,Tripp Isenhour,28.77,748,26
42,0,27963,Chris Stroud,28.77,633,22
44,0,25892,Steve Wheatcroft,28.83,692,24
45,0,02223,Bob Tway,28.84,894,31
46,0,06197,Michael Allen,28.90,607,21
47,0,01724,Jeff Maggert,28.92,694,24
47,0,23325,Vaughn Taylor,28.92,723,25
49,0,12716,Charley Hoffman,28.93,868,30
49,0,22293,Heath Slocum,28.93,810,28
51,0,24502,Adam Scott,28.94,521,18
