RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,06522,Ernie Els,2' 0",700,1388.250
2,0,20472,Alex Cejka,2' 1",526,1090.667
2,0,10809,Jim Furyk,2' 1",781,1623.417
2,0,24024,Zach Johnson,2' 1",650,1374.750
2,0,27466,Spencer Levin,2' 1",1044,2217.500
2,0,22348,Nick O'Hern,2' 1",828,1727.750
2,0,26679,Kevin Stadler,2' 1",830,1747.667
8,0,24846,Ricky Barnes,2' 2",717,1531.667
8,0,01116,Michael Bradley,2' 2",664,1412.333
8,0,24357,K.J. Choi,2' 2",623,1354.333
8,0,23638,Brendon de Jonge,2' 2",966,2063.250
8,0,06251,Chris DiMarco,2' 2",883,1899.417
8,0,01313,Steve Elkington,2' 2",459,1010.417
8,0,24604,Hunter Haas,2' 2",906,1947.083
8,0,23353,J.J. Henry,2' 2",913,2000.917
8,0,22378,Trevor Immelman,2' 2",758,1615.917
8,0,23108,Matt Kuchar,2' 2",725,1565.333
8,0,27120,Troy Matteson,2' 2",891,1960.583
8,0,01797,Rocco Mediate,2' 2",532,1162.417
8,0,21949,Joe Ogilvie,2' 2",626,1350.083
8,0,25345,Carl Pettersson,2' 2",954,2096.833
8,0,20127,Chris Riley,2' 2",745,1592.500
8,0,22293,Heath Slocum,2' 2",869,1906.917
8,0,25834,Daniel Summerhays,2' 2",737,1624.750
8,0,25804,Bubba Watson,2' 2",653,1417.917
8,0,21878,Mark Wilson,2' 2",739,1617.750
27,0,21407,Arjun Atwal,2' 3",867,1979.583
27,0,22371,Aaron Baddeley,2' 3",629,1427.000
27,0,20498,Briny Baird,2' 3",553,1256.167
27,0,24925,Jonathan Byrd,2' 3",760,1696.917
27,0,20593,Greg Chalmers,2' 3",774,1764.667
27,0,22621,Ben Curtis,2' 3",676,1523.000
27,0,23983,Luke Donald,2' 3",511,1137.000
27,0,09011,David Duval,2' 3",643,1467.167
27,0,21209,Sergio Garcia,2' 3",488,1104.833
27,0,20157,Retief Goosen,2' 3",430,962.417
27,0,06643,Paul Goydos,2' 3",816,1852.917
27,0,24924,Bill Haas,2' 3",795,1795.917
27,0,12782,Tim Herron,2' 3",832,1870.250
27,0,21961,Charles Howell III,2' 3",992,2253.500
27,0,21350,Ryuji Imada,2' 3",805,1830.417
27,0,21731,Freddie Jacobson,2' 3",701,1575.417
27,0,30925,Dustin Johnson,2' 3",598,1333.583
27,0,26420,Richard Johnson,2' 3",609,1389.750
27,0,26300,Matt Jones,2' 3",679,1508.917
27,0,27974,Sung Kang,2' 3",567,1299.000
27,0,19970,Robert Karlsson,2' 3",462,1024.000
27,0,08075,Jerry Kelly,2' 3",728,1662.667
27,0,26851,Marc Leishman,2' 3",870,1984.667
27,0,24490,George McNeill,2' 3",626,1402.917
27,0,27939,Matt McQuillan,2' 3",505,1143.500
27,0,27933,John Merrick,2' 3",668,1523.250
27,0,23800,Bryce Molder,2' 3",723,1604.917
