RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,35087,Bio Kim,89' 4",89.333,1
2,0,26287,Roland Thatcher,83' 5",83.417,1
3,0,08375,Paul Stankowski,80' 10",80.833,1
4,0,34255,Joseph Bramlett,70' 10",70.833,1
5,0,01577,Lee Janzen,69' 9",69.750,1
6,0,23108,Matt Kuchar,69' 3",69.250,1
7,0,22913,John Rollins,67' 2",67.167,1
8,0,27064,Jhonattan Vegas,66' 7",133.083,2
9,0,30750,Tommy Gainey,65' 8",131.250,2
10,0,28486,Michael Putnam,65' 2",130.250,2
11,0,24290,D.J. Brigman,60' 7",60.583,1
12,0,26758,David Hearn,60' 4",120.583,2
13,0,21753,Brian Davis,59' 9",119.417,2
14,0,01766,Billy Mayfair,57' 11",231.583,4
15,0,10860,Justin Leonard,56' 10",56.833,1
16,0,21407,Arjun Atwal,55' 8",55.667,1
17,0,27936,Martin Laird,54' 9",54.750,1
18,0,31401,Zack Miller,54' 4",108.583,2
19,0,23621,Rory Sabbatini,53' 9",107.417,2
20,0,32640,Troy Merritt,53' 2",106.250,2
21,0,06527,Steve Stricker,51' 6",51.500,1
22,0,33413,Ben Martin,51' 1",51.083,1
23,0,28679,Fabián Gómez,51' 0",101.917,2
24,0,20645,John Senden,48' 5",48.417,1
25,0,06643,Paul Goydos,46' 8",93.333,2
26,0,21878,Mark Wilson,46' 0",46.000,1
27,0,20070,Matt Bettencourt,45' 8",45.667,1
28,0,28158,Steve Marino,45' 4",136.000,3
29,0,29518,Brendan Steele,45' 1",90.167,2
30,0,30946,Alex Prugh,44' 2",44.167,1
31,0,09011,David Duval,43' 8",131.000,3
32,0,26951,Johnson Wagner,41' 1",41.083,1
33,0,26300,Matt Jones,41' 0",41.000,1
34,0,25240,D.A. Points,40' 10",40.833,1
35,0,31557,Jim Herman,40' 9",81.500,2
36,0,23623,Bo Van Pelt,38' 4",38.333,1
37,0,06004,Stephen Ames,38' 0",38.000,1
37,0,29420,Billy Horschel,38' 0",75.917,2
37,0,26851,Marc Leishman,38' 0",76.000,2
40,0,20436,Garrett Willis,36' 11",36.917,1
41,0,12510,Chad Campbell,36' 5",72.750,2
42,0,22046,Geoff Ogilvy,36' 1",36.083,1
43,0,24846,Ricky Barnes,35' 10",71.667,2
44,0,02206,David Toms,35' 4",35.333,1
45,0,08075,Jerry Kelly,35' 1",35.083,1
46,0,26476,Chez Reavie,34' 10",69.667,2
46,0,33419,Cameron Tringale,34' 10",34.833,1
48,0,12602,Dean Wilson,34' 6",34.500,1
49,0,27214,Kevin Streelman,34' 4",68.583,2
50,0,25562,Andres Romero,33' 5",33.417,1
51,0,23788,D.J. Trahan,33' 1",165.417,5
52,0,20160,Charlie Wi,32' 7",32.583,1
53,0,33141,Keegan Bradley,32' 6",65.000,2
54,0,26679,Kevin Stadler,31' 4",94.083,3
55,0,24604,Hunter Haas,29' 8",29.667,1
56,0,29910,Blake Adams,29' 3",29.250,1
57,0,24980,Scott Gutschewski,28' 0",55.917,2
57,0,24361,Pat Perez,28' 0",56.000,2
59,0,30692,Scott Stallings,27' 8",27.667,1
60,0,24358,Robert Garrigus,26' 7",53.167,2
61,0,22348,Nick O'Hern,22' 3",22.250,1
62,0,32102,Rickie Fowler,21' 11",21.917,1
63,0,34072,Will Strickler,18' 10",18.833,1
64,0,08725,Tom Gillis,18' 9",18.750,1
65,0,06522,Ernie Els,17' 9",17.750,1
66,0,12716,Charley Hoffman,16' 5",16.417,1
67,0,32876,Martin Piller,16' 4",16.333,1
68,0,27797,Derek Lamely,15' 10",15.833,1
68,0,28475,Jeff Overton,15' 10",15.833,1
70,0,23673,Michael Connell,15' 6",15.500,1
71,0,06573,Brandt Jobe,15' 3",30.500,2
72,0,30926,Chris Kirk,15' 2",15.167,1
73,0,06251,Chris DiMarco,14' 9",14.750,1
74,0,28089,Jason Day,14' 7",14.583,1
75,0,24502,Adam Scott,10' 8",10.667,1
76,0,21805,Harrison Frazar,8' 5",8.417,1
77,0,22371,Aaron Baddeley,6' 9",6.750,1
78,0,21350,Ryuji Imada,6' 7",6.583,1
