RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,27649,Brandt Snedeker,41.38%,48,116,+0.08
2,0,30927,Brendon Todd,38.38%,76,198,-0.12
3,0,34256,Andrew Putnam,37.34%,59,158,-0.05
4,0,24024,Zach Johnson,36.46%,35,96,-0.14
5,0,22371,Aaron Baddeley,32.19%,47,146,+0.09
6,0,40058,Zac Blair,30.49%,50,164,+0.12
7,0,29478,Kevin Kisner,29.63%,32,108,+0.19
8,0,26596,Ryan Moore,29.17%,42,144,+0.12
9,0,45522,Christiaan Bezuidenhout,28.95%,44,152,-0.16
10,0,29908,C.T. Pan,27.97%,33,118,+0.03
11,0,55789,Taylor Montgomery,26.85%,29,108,+0.17
12,0,26476,Chez Reavie,26.47%,36,136,+0.17
13,0,36326,David Lipsky,25.36%,35,138,-0.06
14,0,47806,Raul Pereda,24.47%,23,94,-0.09
15,0,25900,Lucas Glover,24.19%,45,186,-0.24
16,0,29535,Brice Garnett,23.96%,23,96,+0.04
17,0,40162,Justin Lower,23.20%,45,194,+0.11
18,0,31646,Emiliano Grillo,22.35%,38,170,+0.03
19,0,27936,Martin Laird,22.22%,32,144,+0.34
20,0,46414,Aaron Rai,22.09%,38,172,E
21,0,46441,Robby Shelton,21.71%,33,152,+0.24
22,0,27770,Camilo Villegas,21.05%,24,114,+0.13
23,0,28775,Nate Lashley,20.95%,31,148,E
24,0,49771,J.T. Poston,20.59%,35,170,-0.03
25,0,25493,Nick Taylor,20.48%,34,166,E
26,0,33486,Roger Sloan,20.45%,27,132,-0.04
27,0,27330,Josh Teater,20.19%,21,104,-0.05
28,0,47983,Chad Ramey,19.88%,33,166,-0.06
29,0,23108,Matt Kuchar,19.86%,29,146,-0.17
30,0,39327,Ben Silverman,19.23%,30,156,-0.03
31,0,36801,Mark Hubbard,19.19%,38,198,-0.21
32,0,23320,Ryan Palmer,19.05%,16,84,-0.19
33,0,32640,Troy Merritt,18.92%,28,148,-0.25
34,0,51349,Nico Echavarria,18.75%,33,176,-0.03
35,0,34098,Russell Henley,18.49%,27,146,+0.07
36,0,51890,Greyson Sigg,18.42%,28,152,-0.04
37,0,30163,Henrik Norlander,18.18%,24,132,+0.13
38,0,37275,Sam Ryder,18.00%,27,150,-0.07
39,0,27644,Brian Harman,17.82%,31,174,-0.29
40,0,40026,Daniel Berger,17.76%,27,152,-0.04
41,0,54783,Dylan Wu,17.50%,28,160,E
42,0,36884,Ben Kohles,17.06%,29,170,-0.24
43,0,54591,Ben Griffin,16.96%,38,224,-0.18
44,0,52513,Carson Young,16.86%,29,172,-0.10
45,0,34374,Erik Barnes,16.67%,18,108,+0.22
45,0,27349,Alex Noren,16.67%,23,138,+0.04
47,0,49960,Sepp Straka,16.23%,25,154,-0.24
48,0,47993,Denny McCarthy,16.09%,28,174,-0.04
49,0,52374,Brandon Wu,16.05%,26,162,-0.27
50,0,52375,Doug Ghim,15.93%,29,182,-0.14
