RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,01226,Fred Couples,66.99,69,103,+6.00
2,0,01569,Peter Jacobsen,64.04,73,114,+29.00
3,0,10912,Craig Perks,63.50,87,137,+40.00
4,0,06595,Kevin Sutherland,63.36,83,131,+17.00
5,0,20098,Stuart Appleby,63.19,91,144,+32.00
6,0,12782,Tim Herron,63.16,108,171,+30.00
7,0,08375,Paul Stankowski,63.11,77,122,+13.00
8,0,20127,Chris Riley,62.69,84,134,+24.00
9,0,01116,Michael Bradley,62.59,87,139,+31.00
10,0,20229,Stewart Cink,62.50,80,128,+29.00
11,0,01361,Dan Forsman,62.31,81,130,+34.00
12,0,21209,Sergio Garcia,62.22,56,90,+22.00
13,0,10885,Robert Allenby,62.16,92,148,+26.00
14,0,01577,Lee Janzen,62.03,98,158,+40.00
15,0,01797,Rocco Mediate,61.98,75,121,+15.00
16,0,01376,Bob Friend,61.78,97,157,+46.00
17,0,10425,Jay Williamson,61.65,127,206,+56.00
18,0,01996,Mike Reid,61.54,56,91,+35.00
18,0,06431,Jean Van de Velde,61.54,64,104,+26.00
20,0,02010,Loren Roberts,61.44,94,153,+44.00
21,0,02104,Jeff Sluman,61.36,108,176,+45.00
22,0,06522,Ernie Els,61.32,65,106,+14.00
23,0,01761,Len Mattiace,61.06,127,208,+43.00
24,0,10423,Mike Weir,61.04,94,154,+28.00
25,0,01093,Ronnie Black,60.14,83,138,+42.00
26,0,08075,Jerry Kelly,60.00,105,175,+42.00
27,0,01175,Jim Carter,59.89,109,182,+50.00
27,0,01329,Brad Faxon,59.89,112,187,+47.00
29,0,02239,Scott Verplank,59.88,103,172,+50.00
30,0,08931,Glen Day,59.87,94,157,+49.00
31,0,11011,Mike Sposa,59.65,68,114,+32.00
32,0,01968,Nick Price,59.38,57,96,+20.00
33,0,10809,Jim Furyk,59.29,83,140,+30.00
34,0,10585,Scott McCarron,59.24,109,184,+60.00
35,0,01810,Phil Mickelson,59.23,77,130,+26.00
36,0,01014,Fulton Allem,59.09,78,132,+51.00
37,0,07753,Kevin Wentworth,58.99,82,139,+37.00
38,0,23656,Jason Caron,58.87,83,141,+32.00
39,0,11653,Paul Curry,58.82,70,119,+36.00
40,0,01941,Tom Pernice Jr.,58.70,108,184,+52.00
41,0,01042,Paul Azinger,58.65,78,133,+42.00
42,0,06567,Vijay Singh,58.39,94,161,+28.00
43,0,01527,Scott Hoch,58.02,76,131,+38.00
44,0,02257,Brian Watts,58.00,87,150,+56.00
45,0,06332,Neal Lancaster,57.84,107,185,+59.00
46,0,06012,Greg Kraft,57.83,96,166,+36.00
47,0,01139,Olin Browne,57.79,89,154,+46.00
48,0,20593,Greg Chalmers,57.63,102,177,+38.00
49,0,09011,David Duval,57.61,53,92,+15.00
50,0,12823,Carlos Franco,57.43,85,148,+53.00
51,0,08793,Tiger Woods,57.27,63,110,+9.00
52,0,01823,Larry Mize,57.26,67,117,+37.00
53,0,11032,Frank Lickliter II,57.23,95,166,+45.00
54,0,01920,Craig Parry,57.14,68,119,+44.00
55,0,19824,Craig Barlow,56.96,90,158,+39.00
56,0,20029,Notah Begay III,56.91,70,123,+40.00
57,0,01677,Tom Lehman,56.88,62,109,+30.00
58,0,06643,Paul Goydos,56.83,104,183,+61.00
59,0,01249,John Daly,56.80,71,125,+32.00
60,0,01707,Steve Lowery,56.71,93,164,+48.00
61,0,12652,Cameron Beckman,56.67,85,150,+35.00
62,0,19881,Robert Damron,56.48,109,193,+55.00
63,0,12449,Ryan Howison,56.38,84,149,+60.00
64,0,01040,Emlyn Aubrey,56.25,63,112,+39.00
64,0,02218,Ted Tryba,56.25,108,192,+69.00
66,0,01161,Mark Calcavecchia,56.21,86,153,+28.00
67,0,07749,Brett Quigley,56.18,50,89,+26.00
68,0,22064,Craig Spence,56.05,88,157,+46.00
69,0,01553,John Huston,56.00,70,125,+36.00
70,0,06581,David Sutherland,55.96,108,193,+52.00
71,0,23621,Rory Sabbatini,55.94,80,143,+34.00
72,0,20099,Doug Barron,55.81,72,129,+33.00
