RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,21528,Henrik Stenson,71.96,829,1152,-0.27
2,0,06527,Steve Stricker,71.16,602,846,-0.30
3,0,27436,Graham DeLaet,70.51,1193,1692,-0.25
4,0,24846,Ricky Barnes,70.48,888,1260,-0.21
5,0,25804,Bubba Watson,69.41,912,1314,-0.27
6,0,26289,Boo Weekley,69.39,1249,1800,-0.24
7,0,06567,Vijay Singh,69.13,759,1098,-0.16
8,0,26679,Kevin Stadler,68.92,980,1422,-0.29
9,0,22405,Justin Rose,68.89,744,1080,-0.26
10,0,23638,Brendon de Jonge,68.84,1363,1980,-0.26
11,0,24502,Adam Scott,68.80,743,1080,-0.27
12,0,25444,Justin Hicks,68.59,926,1350,-0.23
13,0,27095,Nick Watney,68.48,1060,1548,-0.24
14,0,10809,Jim Furyk,68.30,959,1404,-0.25
15,0,24024,Zach Johnson,68.14,1018,1494,-0.25
16,0,31557,Jim Herman,67.98,673,990,-0.24
17,0,23353,J.J. Henry,67.97,991,1458,-0.21
18,0,24361,Pat Perez,67.87,843,1242,-0.27
18,0,23788,D.J. Trahan,67.87,562,828,-0.24
20,0,28780,Nicholas Thompson,67.85,1209,1782,-0.24
21,0,24924,Bill Haas,67.79,1025,1512,-0.26
22,0,20229,Stewart Cink,67.76,866,1278,-0.24
23,0,23621,Rory Sabbatini,67.75,1000,1476,-0.28
24,0,08793,Tiger Woods,67.59,730,1080,-0.31
25,0,24781,Hunter Mahan,67.58,1034,1530,-0.26
26,0,25686,Jason Dufner,67.53,936,1386,-0.24
27,0,29420,Billy Horschel,67.48,1166,1728,-0.29
28,0,27503,Steve LeBrun,67.47,753,1116,-0.22
29,0,21209,Sergio Garcia,67.46,765,1134,-0.28
30,0,22913,John Rollins,67.43,886,1314,-0.26
31,0,30163,Henrik Norlander,67.40,825,1224,-0.24
32,0,30110,Kyle Stanley,67.37,861,1278,-0.21
33,0,32200,Roberto Castro,67.30,1175,1746,-0.26
34,0,12510,Chad Campbell,67.03,917,1368,-0.24
35,0,33419,Cameron Tringale,67.01,965,1440,-0.25
36,0,31323,Gary Woodland,66.98,1085,1620,-0.28
37,0,34046,Jordan Spieth,66.94,988,1476,-0.30
