RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,64,02167,Mike Sullivan,66.01,101,153,E
2,64,02049,Gene Sauers,65.81,77,117,+6.00
3,68,02100,Tim Simpson,63.19,91,144,-18.00
4,69,01941,Tom Pernice Jr.,62.50,50,80,-6.00
5,74,01306,David Edwards,62.34,96,154,-9.00
6,74,02104,Jeff Sluman,61.49,91,148,+6.00
7,74,01968,Nick Price,61.45,102,166,-5.00
8,76,01725,John Mahaffey,60.76,96,158,-6.00
9,76,01033,George Archer,60.67,54,89,+10.00
10,77,01766,Billy Mayfair,60.12,101,168,-3.00
11,88,01030,Isao Aoki,59.81,64,107,+9.00
12,88,01175,Jim Carter,59.68,111,186,-9.00
13,88,01390,Buddy Gardner,59.15,97,164,-11.00
14,88,01599,Steve Jones,59.04,98,166,-1.00
15,88,01952,Billy Pierot,58.77,67,114,+5.00
16,88,01925,Jerry Pate,58.76,57,97,-7.00
17,88,01666,Bernhard Langer,58.75,47,80,+3.00
18,88,02146,Payne Stewart,58.65,78,133,-20.00
19,88,01489,Steve Hart,58.47,69,118,+8.00
20,88,01042,Paul Azinger,58.45,83,142,-16.00
21,92,01378,David Frost,58.19,103,177,-8.00
22,92,01284,Mike Donald,58.05,119,205,-6.00
23,92,01662,Greg Ladehoff,57.98,69,119,+3.00
24,92,01557,John Inman,57.69,75,130,-4.00
24,92,02222,Billy Tuten,57.69,60,104,+8.00
26,92,02099,Scott Simpson,57.50,69,120,-5.00
27,92,01706,Davis Love III,57.49,96,167,-8.00
28,92,01823,Larry Mize,57.33,86,150,-5.00
29,107,01414,Bob Gilder,56.86,87,153,+3.00
30,107,01553,John Huston,56.79,92,162,-2.00
31,107,01161,Mark Calcavecchia,56.59,73,129,-9.00
31,107,01197,Bobby Clampett,56.59,73,129,+8.00
33,107,02185,Lance Ten Broeck,56.48,61,108,-3.00
34,107,01226,Fred Couples,56.16,82,146,-20.00
35,108,02242,Lanny Wadkins,55.92,85,152,-15.00
36,108,01072,Chip Beck,55.71,78,140,-12.00
37,108,01106,Jim Booros,55.56,70,126,+4.00
37,108,01790,Pat McGowan,55.56,75,135,-5.00
39,112,01303,Bob Eastwood,55.38,72,130,-8.00
40,112,01049,Ian Baker-Finch,55.24,58,105,+3.00
41,112,01487,Jeff Hart,55.17,48,87,+2.00
42,112,01926,Steve Pate,54.89,101,184,-23.00
43,112,01157,Tom Byrum,54.84,102,186,+13.00
44,113,01783,Mark McCumber,54.78,63,115,-7.00
45,113,01510,Nolan Henke,54.55,54,99,-11.00
46,114,01093,Ronnie Black,54.41,74,136,+1.00
46,114,01633,Tom Kite,54.41,74,136,+2.00
48,114,01773,Ronnie McCann,54.32,44,81,+8.00
49,114,01891,David Ogrin,54.30,82,151,-7.00
50,115,01320,Bob Estes,54.24,64,118,+12.00
51,116,01527,Scott Hoch,54.11,79,146,-13.00
52,116,01154,Bill Buttner,53.90,76,141,-1.00
52,116,01235,Ben Crenshaw,53.90,76,141,-1.00
54,116,02094,Tony Sills,53.85,77,143,-9.00
55,118,02010,Loren Roberts,53.80,92,171,-20.00
56,118,01495,Morris Hatalsky,53.79,78,145,+13.00
57,118,01132,Mark Brooks,53.72,65,121,-2.00
58,118,01346,Ed Fiori,53.70,87,162,-12.00
59,119,02067,Ted Schulz,53.59,97,181,-4.00
60,120,01499,Mark Hayes,53.24,74,139,-9.00
61,121,02041,Bill Sander,53.18,92,173,-16.00
62,121,01006,John Adams,53.03,70,132,-11.00
63,123,01443,Hubert Green,52.85,65,123,+7.00
64,123,01736,Roger Maltbie,52.75,48,91,-1.00
65,124,02170,Hal Sutton,52.21,59,113,-9.00
66,127,02007,Larry Rinker,52.07,88,169,-5.00
67,128,01444,Ken Green,51.92,81,156,+4.00
68,128,02196,Robert Thompson,51.82,57,110,+2.00
69,128,01282,Trevor Dodds,51.81,43,83,-7.00
70,128,01715,Mark Lye,51.56,66,128,-15.00
71,129,01435,Wayne Grady,51.49,69,134,-3.00
72,129,01355,Raymond Floyd,51.43,54,105,+4.00
73,129,01960,Don Pooley,51.41,73,142,-4.00
74,129,01168,David Canipe,51.39,74,144,+3.00
75,129,01992,Don Reese,51.37,75,146,+15.00
76,129,01641,Gary Koch,51.35,57,111,-11.00
76,129,01887,Mark O'Meara,51.35,57,111,-10.00
78,129,02224,Greg Twiggs,51.33,58,113,+10.00
79,129,02279,Mark Wiebe,51.32,78,152,-10.00
80,130,02159,Curtis Strange,51.26,61,119,-5.00
81,130,01717,Sandy Lyle,51.19,43,84,+10.00
82,130,01203,Russ Cochran,51.11,69,135,-4.00
83,130,01507,Webb Heintzelman,51.06,72,141,+8.00
84,131,01129,Bill Britton,51.05,73,143,-3.00
85,131,01307,Joel Edwards,51.04,49,96,+3.00
86,131,01068,Andy Bean,50.88,58,114,-3.00
87,131,01522,Lon Hinkle,50.72,70,138,-26.00
88,131,01385,Jim Gallagher Jr.,50.64,79,156,-18.00
89,131,01938,David Peoples,50.54,47,93,-6.00
90,131,01984,Sam Randolph,50.49,52,103,+13.00
91,131,01571,Barry Jaeckel,50.48,53,105,+8.00
92,131,01457,Jay Haas,50.38,66,131,-12.00
93,131,01418,Bill Glasson,50.00,61,122,-3.00
93,131,01958,Dan Pohl,50.00,53,106,-3.00
93,131,02133,Craig Stadler,50.00,53,106,-2.00
96,190,01877,Tim Norris,49.65,71,143,+2.00
97,190,01864,Larry Nelson,49.58,59,119,+3.00
98,190,01162,Rex Caldwell,49.55,55,111,+16.00
99,190,01374,Robin Freeman,49.52,52,105,+6.00
99,190,01550,Ed Humenik,49.52,52,105,+6.00
101,190,01326,Nick Faldo,49.47,47,95,-2.00
102,190,02186,Brian Tennyson,49.43,86,174,-6.00
103,190,01797,Rocco Mediate,49.42,85,172,-9.00
104,190,01639,Kenny Knox,49.40,83,168,+2.00
104,190,02223,Bob Tway,49.40,82,166,-1.00
106,190,01935,Calvin Peete,49.35,38,77,-1.00
107,191,01014,Fulton Allem,49.21,62,126,-8.00
108,191,02267,D.A. Weibring,49.12,56,114,-7.00
109,191,01614,Jack Kay Jr.,49.04,51,104,E
110,191,01331,Rick Fehr,48.96,47,96,-5.00
111,191,01755,Dick Mast,48.87,65,133,+3.00
112,191,02023,Clarence Rose,48.82,83,170,-9.00
113,191,02322,Richard Zokol,48.78,60,123,+6.00
114,192,01928,Corey Pavin,48.75,78,160,-11.00
115,192,01329,Brad Faxon,48.59,69,142,-15.00
116,192,01448,Tony Grimes,48.57,51,105,+8.00
117,193,01468,Gary Hallberg,48.53,66,136,-5.00
118,193,02195,Leonard Thompson,48.48,80,165,-8.00
119,194,01133,Billy Ray Brown,48.36,59,122,-10.00
120,194,01096,Phil Blackmar,48.19,80,166,+1.00
121,194,01143,Brad Bryant,48.17,79,164,-2.00
122,195,01469,Dan Halldorson,48.09,63,131,+16.00
122,195,01569,Peter Jacobsen,48.09,63,131,-19.00
124,195,01996,Mike Reid,48.04,49,102,-5.00
125,195,02118,J.C. Snead,48.03,61,127,-1.00
126,195,01061,Ray Barr Jr.,48.00,48,100,+7.00
126,195,01200,Keith Clearwater,48.00,72,150,+8.00
128,195,01150,George Burns,47.92,46,96,+8.00
129,196,02095,Larry Silveira,47.79,65,136,+3.00
130,196,01701,Bob Lohr,47.70,83,174,+13.00
131,196,01813,Mike Miles,47.67,41,86,-2.00
132,196,01975,Tom Purtzer,47.52,67,141,E
133,198,01261,Jay Delsing,47.17,50,106,-3.00
134,198,01361,Dan Forsman,47.10,65,138,+16.00
135,199,01931,Rick Pearson,46.73,50,107,+5.00
136,199,01060,Dave Barr,46.71,78,167,-7.00
137,200,02321,Fuzzy Zoeller,46.53,47,101,-6.00
138,201,02033,Dave Rummells,46.27,62,134,E
139,202,02292,Bob Wolcott,45.98,40,87,+7.00
140,203,01846,Jodie Mudd,45.91,73,159,-3.00
141,203,01381,Fred Funk,45.90,56,122,+9.00
142,203,01475,Donnie Hammond,45.89,67,146,-3.00
143,208,01559,Hale Irwin,45.28,48,106,-4.00
144,208,01098,Jay Don Blake,45.00,54,120,-19.00
145,208,02201,Jim Thorpe,44.93,62,138,-4.00
146,208,01533,P.H. Horgan III,44.78,60,134,-3.00
147,208,01945,Kenny Perry,44.68,42,94,+2.00
148,208,01201,Lennie Clements,44.64,50,112,+4.00
149,208,01682,Wayne Levi,44.44,60,135,-14.00
149,208,02256,Tom Watson,44.44,40,90,-6.00
151,211,02090,Tom Sieckmann,44.23,69,156,+6.00
152,211,01876,Greg Norman,44.21,42,95,-5.00
153,211,01323,Brad Fabel,44.20,61,138,-5.00
154,211,02225,Howard Twitty,44.12,60,136,-2.00
155,211,01248,Rick Dalpos,43.82,39,89,+12.00
156,211,01112,Charlie Bowles,43.75,49,112,+14.00
156,211,02148,Ray Stewart,43.75,49,112,-10.00
158,213,01024,Billy Andrade,43.70,59,135,+6.00
158,213,01837,Gil Morgan,43.70,52,119,-3.00
160,213,01564,David Jackson,43.66,31,71,+7.00
161,213,02087,Don Shirey Jr.,43.64,48,110,E
162,213,06284,Jim Hallet,43.60,75,172,-9.00
163,213,01078,Jim Benepe,43.48,60,138,+5.00
164,214,01086,Roy Biancalana,43.40,46,106,+11.00
165,215,01777,John McComish,42.96,58,135,+6.00
166,215,01156,Curt Byrum,42.86,66,154,+7.00
167,231,01310,Dave Eichelberger,42.61,75,176,+13.00
168,231,01943,Chris Perry,42.33,69,163,-6.00
169,232,01771,Blaine McCallister,42.20,73,173,-3.00
170,232,02101,Joey Sindelar,42.18,62,147,-10.00
171,232,02303,Robert Wrenn,42.03,58,138,-3.00
172,233,01313,Steve Elkington,41.83,64,153,-1.00
173,233,02246,Duffy Waldorf,41.74,48,115,-3.00
174,233,01690,Bruce Lietzke,41.27,52,126,-5.00
175,233,02261,Doug Weaver,41.00,41,100,+8.00
176,233,01549,Mike Hulbert,40.78,73,179,+10.00
176,233,02241,Bobby Wadkins,40.78,73,179,-1.00
178,234,02294,Willie Wood,40.63,39,96,+20.00
179,234,01151,Clark Burroughs,40.54,45,111,+17.00
179,234,01723,Andrew Magee,40.54,60,148,+5.00
181,252,01035,Tommy Armour III,39.07,59,151,-3.00
182,255,02190,Doug Tewell,38.39,43,112,-20.00
183,255,02239,Scott Verplank,38.30,54,141,+4.00
184,255,01884,Mac O'Grady,38.16,29,76,+3.00
185,260,01626,Karl Kimball,36.51,23,63,+8.00
186,266,01685,J.L. Lewis,36.11,26,72,+8.00
