RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,23983,Luke Donald,5.97,8,134,+0.50
2,0,36884,Ben Kohles,4.76,6,126,+0.50
3,0,23108,Matt Kuchar,4.23,6,142,+0.67
4,0,19803,Ryan Armour,4.00,4,100,+0.25
4,0,27895,Jonas Blixt,4.00,4,100,+0.75
6,0,39953,Chase Seiffert,3.92,4,102,-0.25
7,0,27770,Camilo Villegas,3.62,5,138,+0.60
8,0,31560,Brian Stuard,3.37,6,178,+0.33
9,0,27095,Nick Watney,3.29,5,152,E
10,0,29970,Dylan Frittelli,3.23,6,186,+0.50
10,0,35891,Cameron Smith,3.23,4,124,+0.50
12,0,29974,Branden Grace,3.13,3,96,+0.67
13,0,25686,Jason Dufner,3.00,3,100,E
14,0,36801,Mark Hubbard,2.94,4,136,E
14,0,36799,Stephan Jaeger,2.94,5,170,+0.80
16,0,46435,Austin Cook,2.90,4,138,+0.25
17,0,25198,Francesco Molinari,2.83,3,106,-0.33
18,0,54421,Garrick Higgo,2.78,3,108,+1.33
19,0,24925,Jonathan Byrd,2.63,3,114,E
19,0,51997,Andrew Novak,2.63,4,152,+0.75
21,0,30927,Brendon Todd,2.53,4,158,E
22,0,45522,Christiaan Bezuidenhout,2.50,4,160,+0.75
22,0,49766,Hank Lebioda,2.50,4,160,E
24,0,28114,Dawie van der Walt,2.42,3,124,+0.67
25,0,49298,Kramer Hickok,2.30,4,174,+0.75
26,0,24138,Ian Poulter,2.27,2,88,E
26,0,25493,Nick Taylor,2.27,4,176,+0.25
26,0,40006,Erik van Rooyen,2.27,2,88,E
29,0,54783,Dylan Wu,2.24,3,134,+1.00
30,0,27644,Brian Harman,2.20,4,182,+0.50
31,0,35879,Kelly Kraft,2.17,3,138,+1.00
32,0,34360,Patrick Reed,2.14,3,140,E
33,0,39324,J.J. Spaun,2.11,4,190,+0.25
34,0,47483,Will Zalatoris,2.08,3,144,+0.33
35,0,47983,Chad Ramey,2.05,3,146,+0.67
36,0,30978,Kiradech Aphibarnrat,1.89,2,106,-0.50
37,0,39058,Lucas Herbert,1.85,2,108,+1.00
38,0,52372,Cameron Champ,1.79,2,112,E
39,0,51634,Sahith Theegala,1.77,4,226,+1.00
40,0,36699,Patrick Rodgers,1.76,3,170,+0.33
40,0,51894,Vince Whaley,1.76,3,170,E
42,0,45526,Abraham Ancer,1.72,2,116,E
42,0,24361,Pat Perez,1.72,2,116,-0.50
44,0,36871,Matthew NeSmith,1.70,3,176,+0.67
