RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,52372,Cameron Champ,53.57,60,112,-0.37
2,0,28237,Rory McIlroy,53.33,64,120,-0.25
3,0,56278,Matthew Wolff,53.19,50,94,-0.30
4,0,34255,Joseph Bramlett,50.62,82,162,-0.29
5,0,46970,Jon Rahm,50.00,70,140,-0.33
5,0,57366,Cameron Young,50.00,82,164,-0.30
7,0,51766,Wyndham Clark,47.85,89,186,-0.24
8,0,46601,Trey Mullinax,45.73,75,164,-0.31
9,0,46550,Brandon Hagy,44.59,66,148,-0.27
10,0,48699,Callum Tarren,42.03,58,138,-0.19
11,0,40250,Taylor Pendrith,41.55,59,142,-0.39
12,0,27064,Jhonattan Vegas,41.10,60,146,-0.35
13,0,47483,Will Zalatoris,40.97,59,144,-0.34
14,0,36689,Brooks Koepka,40.22,37,92,-0.16
15,0,33448,Justin Thomas,40.13,61,152,-0.30
16,0,27129,Luke List,36.84,56,152,-0.36
17,0,32366,Kevin Chappell,34.55,38,110,-0.24
18,0,47504,Sam Burns,34.38,55,160,-0.27
19,0,24502,Adam Scott,34.03,49,144,-0.20
20,0,36699,Patrick Rodgers,33.53,57,170,-0.46
21,0,48117,Kurt Kitayama,32.86,46,140,-0.24
22,0,10381,Curtis Thompson,32.81,42,128,-0.19
23,0,35617,Martin Trainer,32.05,50,156,-0.26
24,0,32333,Kevin Tway,31.82,49,154,-0.22
25,0,26300,Matt Jones,31.58,36,114,-0.44
26,0,32102,Rickie Fowler,31.34,42,134,-0.17
27,0,37212,Paul Barjon,30.99,44,142,-0.20
28,0,46046,Scottie Scheffler,30.95,52,168,-0.31
29,0,47856,Seth Reeves,29.85,40,134,-0.30
30,0,45540,Jared Wolfe,29.66,35,118,-0.26
31,0,39546,Keith Mitchell,29.65,51,172,-0.27
32,0,54421,Garrick Higgo,29.63,32,108,-0.16
33,0,29970,Dylan Frittelli,29.57,55,186,-0.24
34,0,30944,Jason Kokrak,29.51,36,122,-0.31
35,0,46717,Viktor Hovland,29.29,41,140,-0.07
36,0,34046,Jordan Spieth,29.05,43,148,-0.35
37,0,31323,Gary Woodland,28.99,40,138,-0.30
38,0,48081,Xander Schauffele,28.68,39,136,-0.33
39,0,45157,Cam Davis,28.66,47,164,-0.36
40,0,12716,Charley Hoffman,28.46,37,130,-0.38
41,0,45486,Joaquin Niemann,28.29,43,152,-0.07
42,0,34264,Hudson Swafford,28.13,36,128,-0.58
43,0,29725,Tony Finau,27.91,48,172,-0.31
43,0,49964,Aaron Wise,27.91,48,172,-0.42
45,0,35461,Beau Hossler,27.14,38,140,-0.37
46,0,30692,Scott Stallings,27.08,52,192,-0.19
47,0,39977,Max Homa,26.83,44,164,-0.39
48,0,47988,Nick Hardy,26.27,31,118,-0.39
49,0,39058,Lucas Herbert,25.93,28,108,-0.18
50,0,46340,Alex Smalley,25.81,48,186,-0.21
51,0,23320,Ryan Palmer,25.40,32,126,-0.19
52,0,35450,Patrick Cantlay,25.00,34,136,-0.29
52,0,31646,Emiliano Grillo,25.00,40,160,-0.35
54,0,33667,Carlos Ortiz,24.58,29,118,-0.21
55,0,46442,Maverick McNealy,24.40,41,168,-0.22
56,0,27095,Nick Watney,24.34,37,152,-0.35
57,0,28114,Dawie van der Walt,24.19,30,124,-0.23
58,0,33204,Shane Lowry,24.14,28,116,-0.11
59,0,30911,Tommy Fleetwood,24.04,25,104,-0.36
60,0,20229,Stewart Cink,24.03,37,154,-0.16
61,0,29974,Branden Grace,23.96,23,96,-0.30
62,0,26851,Marc Leishman,23.61,34,144,-0.15
63,0,32839,Hideki Matsuyama,23.53,32,136,-0.41
64,0,34363,Tyrrell Hatton,23.44,30,128,-0.17
65,0,47995,Davis Riley,23.40,44,188,-0.36
66,0,47347,Adam Schenk,23.26,40,172,-0.03
67,0,29518,Brendan Steele,23.19,32,138,-0.22
67,0,37189,Harold Varner III,23.19,32,138,-0.31
69,0,21961,Charles Howell III,23.15,25,108,-0.40
70,0,48887,Matt Wallace,23.08,24,104,-0.17
71,0,33141,Keegan Bradley,23.03,35,152,-0.26
72,0,40098,Matt Fitzpatrick,22.86,32,140,-0.28
73,0,50095,Austin Smotherman,22.73,35,154,-0.43
73,0,40006,Erik van Rooyen,22.73,20,88,-0.10
75,0,47529,Mito Pereira,21.91,39,178,-0.33
76,0,39997,Corey Conners,21.84,38,174,-0.34
77,0,51634,Sahith Theegala,21.68,49,226,-0.24
78,0,39971,Sungjae Im,21.59,38,176,-0.16
79,0,51894,Vince Whaley,21.18,36,170,-0.44
80,0,32662,Michael Gligic,21.13,30,142,-0.27
81,0,35310,Lanto Griffin,20.95,31,148,-0.35
82,0,32448,James Hahn,20.90,28,134,-0.29
83,0,29289,S.Y. Noh,20.63,26,126,-0.62
84,0,25686,Jason Dufner,20.00,20,100,-0.10
84,0,32757,Patton Kizzire,20.00,36,180,-0.19
86,0,33597,Harry Higgs,19.74,30,152,-0.10
87,0,24980,Scott Gutschewski,19.64,22,112,-0.14
88,0,48822,Sebastián Muñoz,19.62,31,158,-0.29
89,0,33419,Cameron Tringale,19.32,34,176,-0.26
90,0,27349,Alex Noren,19.17,23,120,-0.30
91,0,37455,Si Woo Kim,19.15,36,188,-0.28
92,0,32791,K.H. Lee,18.62,35,188,-0.23
93,0,24924,Bill Haas,18.60,32,172,-0.34
94,0,49947,Taylor Moore,18.45,31,168,-0.29
95,0,34563,Chesson Hadley,18.42,28,152,-0.36
96,0,46402,Talor Gooch,18.31,26,142,-0.38
97,0,24138,Ian Poulter,18.18,16,88,-0.38
98,0,45526,Abraham Ancer,18.10,21,116,-0.29
99,0,54628,Lee Hodges,17.74,33,186,-0.39
99,0,35891,Cameron Smith,17.74,22,124,-0.27
101,0,36852,Jim Knous,17.65,18,102,-0.17
102,0,49960,Sepp Straka,17.55,33,188,-0.33
103,0,31420,Anirban Lahiri,17.36,25,144,-0.40
104,0,29908,C.T. Pan,17.31,27,156,-0.19
