RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,06621,Joe Durant,28' 11",9983.917,345,Under
2,0,01553,John Huston,29' 7",12042.250,407,Under
3,0,01381,Fred Funk,30' 0",15434.167,515,Under
4,0,22293,Heath Slocum,30' 2",11755.333,390,Under
5,0,02206,David Toms,30' 5",14279.083,469,Under
6,0,01157,Tom Byrum,30' 7",10779.667,352,Under
7,0,10809,Jim Furyk,30' 8",10336.250,337,Under
7,0,19846,Brian Gay,30' 8",15966.833,521,Under
7,0,08537,J.P. Hayes,30' 8",9651.000,315,Under
7,0,02002,John Riegger,30' 8",13179.000,430,Under
11,0,23135,Tim Clark,31' 0",11498.667,371,Under
12,0,01771,Blaine McCallister,31' 4",10624.333,339,Under
13,0,26289,Boo Weekley,31' 5",8460.500,269,Over
14,0,12510,Chad Campbell,31' 6",15831.417,503,Under
15,0,01035,Tommy Armour III,31' 7",10688.750,338,Under
15,0,06643,Paul Goydos,31' 7",10173.333,322,Under
17,0,01677,Tom Lehman,31' 9",7526.500,237,Under
18,0,01132,Mark Brooks,31' 10",12843.833,404,Under
18,0,20229,Stewart Cink,31' 10",11424.750,359,Under
18,0,01361,Dan Forsman,31' 10",12656.583,398,Under
18,0,01577,Lee Janzen,31' 10",12339.000,388,Under
18,0,02214,Kirk Triplett,31' 10",9867.667,310,Under
23,0,20548,Hidemichi Tanaka,31' 11",14237.583,446,Under
24,0,01320,Bob Estes,32' 0",12705.250,397,Under
24,0,10425,Jay Williamson,32' 0",14171.500,443,Under
26,0,24357,K.J. Choi,32' 1",12773.917,398,Under
27,0,01307,Joel Edwards,32' 2",15855.417,493,Under
27,0,10649,Tom Scherrer,32' 2",14252.167,443,Under
29,0,08123,Jeff Brehaut,32' 3",14466.333,449,Under
29,0,23353,J.J. Henry,32' 3",16097.500,499,Under
29,0,01968,Nick Price,32' 3",9328.833,289,Under
32,0,10201,Matt Gogel,32' 4",10832.917,335,Over
32,0,10565,Ian Leggatt,32' 4",13705.583,424,Under
32,0,01948,Tim Petrovic,32' 4",12707.583,393,Under
35,0,20098,Stuart Appleby,32' 5",12855.417,397,Under
35,0,01724,Jeff Maggert,32' 5",10599.750,327,Under
35,0,06567,Vijay Singh,32' 5",14248.500,440,Under
38,0,01388,Robert Gamez,32' 6",11331.000,349,Under
38,0,02239,Scott Verplank,32' 6",11415.333,351,Under
40,0,02101,Joey Sindelar,32' 7",15921.333,489,Under
41,0,07003,David Berganio Jr.,32' 8",12694.250,389,Under
41,0,01797,Rocco Mediate,32' 8",10344.250,317,Under
41,0,19817,Michael Muehr,32' 8",8921.667,273,Over
44,0,20105,Jeff Gove,32' 9",14981.917,457,Under
45,0,01887,Mark O'Meara,32' 10",7286.333,222,Under
45,0,01938,David Peoples,32' 10",15844.167,482,Under
45,0,06498,Matt Peterson,32' 10",13742.167,419,Over
48,0,01685,J.L. Lewis,32' 11",15016.750,456,Under
49,0,21805,Harrison Frazar,33' 0",12399.083,376,Under
49,0,12663,Phil Tataurangi,33' 0",12139.833,368,Under
51,0,11032,Frank Lickliter II,33' 2",12692.333,383,Under
52,0,01139,Olin Browne,33' 3",16772.500,505,Under
52,0,01175,Jim Carter,33' 3",12788.667,385,Under
52,0,23983,Luke Donald,33' 3",15921.583,479,Under
52,0,09011,David Duval,33' 3",10373.833,312,Under
56,0,12823,Carlos Franco,33' 4",17407.417,522,Under
57,0,06617,Brian Henninger,33' 5",10828.083,324,Over
57,0,06315,Pete Jordan,33' 5",12158.417,364,Over
59,0,07223,Brian Bateman,33' 6",15009.083,448,Under
59,0,06036,Scott Dunlap,33' 6",11320.167,338,Over
59,0,21949,Joe Ogilvie,33' 6",8504.583,254,Over
59,0,01927,Dennis Paulson,33' 6",13405.750,400,Under
63,0,20634,Peter Lonard,33' 7",12662.833,377,Under
63,0,06595,Kevin Sutherland,33' 7",11258.000,335,Under
65,0,01527,Scott Hoch,33' 8",9897.000,294,Under
65,0,11011,Mike Sposa,33' 8",16956.250,504,Under
67,0,20029,Notah Begay III,33' 9",14419.750,427,Under
67,0,20157,Retief Goosen,33' 9",8141.417,241,Under
67,0,02010,Loren Roberts,33' 9",15059.583,446,Under
70,0,19824,Craig Barlow,33' 10",11090.333,328,Under
70,0,01706,Davis Love III,33' 10",12987.667,384,Under
72,0,01142,Bart Bryant,33' 11",11349.750,335,Under
72,0,12680,Shigeki Maruyama,33' 11",11461.833,338,Under
74,0,01619,Skip Kendall,34' 0",15602.917,459,Under
75,0,06809,Bob Burns,34' 1",14148.083,415,Even
75,0,06251,Chris DiMarco,34' 1",14638.500,430,Under
75,0,01329,Brad Faxon,34' 1",11869.750,348,Under
75,0,22913,John Rollins,34' 1",19683.500,577,Under
