RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
1,0,34046,Jordan Spieth,1.539,2189,1422
2,0,22371,Aaron Baddeley,1.544,1529,990
3,0,22405,Justin Rose,1.552,1732,1116
4,0,34466,Peter Malnati,1.556,2325,1494
5,0,51766,Wyndham Clark,1.561,2388,1530
5,0,29221,Webb Simpson,1.561,2191,1404
7,0,37455,Si Woo Kim,1.564,2309,1476
8,0,35450,Patrick Cantlay,1.569,2034,1296
9,0,47993,Denny McCarthy,1.571,2290,1458
9,0,23325,Vaughn Taylor,1.571,2573,1638
11,0,34256,Andrew Putnam,1.572,2151,1368
12,0,40009,Dominic Bozzelli,1.574,1898,1206
12,0,27649,Brandt Snedeker,1.574,2805,1782
14,0,30978,Kiradech Aphibarnrat,1.577,1760,1116
14,0,24024,Zach Johnson,1.577,1817,1152
14,0,28237,Rory McIlroy,1.577,1930,1224
17,0,31560,Brian Stuard,1.578,2670,1692
18,0,34261,Scott Langley,1.580,2104,1332
19,0,34360,Patrick Reed,1.581,2505,1584
19,0,46501,Ollie Schniederjans,1.581,2135,1350
21,0,37380,Curtis Luck,1.582,1680,1062
21,0,23621,Rory Sabbatini,1.582,2648,1674
23,0,47504,Sam Burns,1.583,2222,1404
23,0,35891,Cameron Smith,1.583,2108,1332
25,0,47959,Bryson DeChambeau,1.584,2053,1296
26,0,34021,Bud Cauley,1.585,2339,1476
26,0,32102,Rickie Fowler,1.585,2168,1368
26,0,35879,Kelly Kraft,1.585,2311,1458
26,0,25572,Graeme McDowell,1.585,2025,1278
30,0,39971,Sungjae Im,1.586,3369,2124
30,0,24361,Pat Perez,1.586,1770,1116
30,0,33486,Roger Sloan,1.586,2398,1512
33,0,49771,J.T. Poston,1.587,2742,1728
33,0,32058,José de Jesús Rodríguez,1.587,1857,1170
35,0,26499,Rafa Cabrera Bello,1.588,1944,1224
35,0,32757,Patton Kizzire,1.588,2115,1332
35,0,24138,Ian Poulter,1.588,1658,1044
35,0,32150,Michael Thompson,1.588,2029,1278
35,0,35617,Martin Trainer,1.588,1744,1098
40,0,26300,Matt Jones,1.590,2404,1512
41,0,31420,Anirban Lahiri,1.591,1976,1242
41,0,28775,Nate Lashley,1.591,1947,1224
41,0,37275,Sam Ryder,1.591,2062,1296
44,0,27958,Ryan Blaum,1.592,2350,1476
44,0,19846,Brian Gay,1.592,2550,1602
44,0,29478,Kevin Kisner,1.592,2465,1548
47,0,33399,Adam Hadwin,1.593,2352,1476
47,0,33448,Justin Thomas,1.593,2065,1296
49,0,32640,Troy Merritt,1.594,1750,1098
50,0,24925,Jonathan Byrd,1.595,1407,882
50,0,34099,Harris English,1.595,2612,1638
50,0,36799,Stephan Jaeger,1.595,2038,1278
50,0,30925,Dustin Johnson,1.595,2010,1260
50,0,25198,Francesco Molinari,1.595,1550,972
50,0,29908,C.T. Pan,1.595,2354,1476
50,0,48081,Xander Schauffele,1.595,2125,1332
57,0,30191,Julián Etulain,1.596,1867,1170
57,0,26851,Marc Leishman,1.596,2069,1296
57,0,26476,Chez Reavie,1.596,2643,1656
60,0,40026,Daniel Berger,1.597,1897,1188
60,0,27895,Jonas Blixt,1.597,2185,1368
60,0,27963,Chris Stroud,1.597,1782,1116
63,0,46435,Austin Cook,1.598,1841,1152
63,0,25818,Scott Piercy,1.598,2473,1548
63,0,29223,Sam Saunders,1.598,2128,1332
66,0,46970,Jon Rahm,1.599,1957,1224
66,0,36699,Patrick Rodgers,1.599,1468,918
68,0,45526,Abraham Ancer,1.600,2535,1584
68,0,35506,Mackenzie Hughes,1.600,2189,1368
68,0,26329,Louis Oosthuizen,1.600,1843,1152
68,0,30786,Brady Schnell,1.600,1469,918
68,0,47128,Richy Werenski,1.600,2391,1494
73,0,29725,Tony Finau,1.601,2421,1512
73,0,39954,Cody Gribble,1.601,1902,1188
73,0,26596,Ryan Moore,1.601,2133,1332
76,0,40098,Matt Fitzpatrick,1.602,1471,918
76,0,27644,Brian Harman,1.602,2566,1602
76,0,25493,Nick Taylor,1.602,2682,1674
79,0,21731,Freddie Jacobson,1.603,1472,918
79,0,29484,Peter Uihlein,1.603,2250,1404
81,0,36689,Brooks Koepka,1.604,2136,1332
81,0,25632,Jimmy Walker,1.604,2136,1332
83,0,24924,Bill Haas,1.605,1994,1242
83,0,33410,Andrew Landry,1.605,2138,1332
83,0,32839,Hideki Matsuyama,1.605,2542,1584
83,0,23320,Ryan Palmer,1.605,1907,1188
87,0,19803,Ryan Armour,1.606,2660,1656
87,0,35461,Beau Hossler,1.606,2399,1494
87,0,29926,Danny Lee,1.606,2342,1458
87,0,01810,Phil Mickelson,1.606,1735,1080
87,0,25396,Kevin Na,1.606,1735,1080
87,0,35732,Wes Roach,1.606,1821,1134
87,0,33419,Cameron Tringale,1.606,1879,1170
94,0,35376,Roberto Díaz,1.607,1880,1170
94,0,25900,Lucas Glover,1.607,2603,1620
94,0,37189,Harold Varner III,1.607,2372,1476
97,0,28252,Seamus Power,1.608,2084,1296
98,0,28089,Jason Day,1.609,1854,1152
98,0,30911,Tommy Fleetwood,1.609,1854,1152
98,0,23108,Matt Kuchar,1.609,2317,1440
98,0,48822,Sebastián Muñoz,1.609,2317,1440
98,0,21528,Henrik Stenson,1.609,1448,900
103,0,39977,Max Homa,1.611,2320,1440
103,0,29420,Billy Horschel,1.611,2667,1656
103,0,30692,Scott Stallings,1.611,2262,1404
106,0,47347,Adam Schenk,1.612,2901,1800
107,0,24502,Adam Scott,1.613,1771,1098
108,0,34563,Chesson Hadley,1.614,2150,1332
109,0,21209,Sergio Garcia,1.615,1279,792
109,0,26758,David Hearn,1.615,1366,846
111,0,29479,Scott Brown,1.616,2385,1476
111,0,29970,Dylan Frittelli,1.616,2356,1458
111,0,46523,Joey Garber,1.616,1658,1026
114,0,33948,Byeong Hun An,1.617,2241,1386
114,0,20472,Alex Cejka,1.617,1455,900
114,0,34076,Joel Dahmen,1.617,2795,1728
114,0,06522,Ernie Els,1.617,1426,882
114,0,32139,Danny Willett,1.617,1834,1134
119,0,46402,Talor Gooch,1.618,1573,972
119,0,45486,Joaquin Niemann,1.618,2796,1728
121,0,10809,Jim Furyk,1.620,1983,1224
121,0,35421,Brandon Harkins,1.620,2421,1494
121,0,37340,Chase Wright,1.620,2012,1242
124,0,28679,Fabián Gómez,1.621,1809,1116
124,0,34098,Russell Henley,1.621,2042,1260
124,0,34264,Hudson Swafford,1.621,1663,1026
127,0,34363,Tyrrell Hatton,1.622,1693,1044
127,0,27974,Sung Kang,1.622,2452,1512
127,0,33667,Carlos Ortiz,1.622,2394,1476
127,0,32333,Kevin Tway,1.622,2335,1440
131,0,30944,Jason Kokrak,1.623,2630,1620
131,0,34431,Robert Streb,1.623,2103,1296
133,0,35449,Adam Long,1.624,2221,1368
133,0,27095,Nick Watney,1.624,2427,1494
135,0,45157,Cam Davis,1.625,2106,1296
135,0,35532,Tom Hoge,1.625,2633,1620
135,0,49964,Aaron Wise,1.625,2018,1242
138,0,49766,Hank Lebioda,1.626,2049,1260
138,0,33418,Shawn Stefani,1.626,2225,1368
140,0,28259,Sangmoon Bae,1.627,1581,972
140,0,25364,Paul Casey,1.627,2197,1350
140,0,32200,Roberto Castro,1.627,2108,1296
140,0,39975,Michael Kim,1.627,1728,1062
140,0,27129,Luke List,1.627,1845,1134
140,0,39546,Keith Mitchell,1.627,2431,1494
140,0,46601,Trey Mullinax,1.627,2138,1314
140,0,39324,J.J. Spaun,1.627,2402,1476
148,0,21961,Charles Howell III,1.628,2667,1638
148,0,31323,Gary Woodland,1.628,2461,1512
150,0,49298,Kramer Hickok,1.629,2258,1386
150,0,33122,Russell Knox,1.629,2111,1296
152,0,27064,Jhonattan Vegas,1.630,2113,1296
153,0,27141,J.B. Holmes,1.631,2084,1278
153,0,39327,Ben Silverman,1.631,1996,1224
153,0,40115,Adam Svensson,1.631,1967,1206
153,0,27330,Josh Teater,1.631,1967,1206
157,0,12716,Charley Hoffman,1.632,2056,1260
157,0,37454,Whee Kim,1.632,2027,1242
157,0,27214,Kevin Streelman,1.632,2379,1458
160,0,32791,K.H. Lee,1.633,2469,1512
160,0,27556,Ted Potter Jr.,1.633,2087,1278
162,0,30110,Kyle Stanley,1.635,2237,1368
163,0,29535,Brice Garnett,1.636,2503,1530
163,0,26951,Johnson Wagner,1.636,1708,1044
165,0,49960,Sepp Straka,1.637,2122,1296
166,0,49303,Anders Albertson,1.638,1887,1152
167,0,47990,Kyle Jones,1.639,1947,1188
168,0,45609,Tyler Duncan,1.640,2450,1494
168,0,31557,Jim Herman,1.640,1417,864
168,0,27936,Martin Laird,1.640,2362,1440
168,0,47856,Seth Reeves,1.640,1978,1206
172,0,33141,Keegan Bradley,1.641,2422,1476
172,0,32816,Satoshi Kodaira,1.641,1891,1152
172,0,24781,Hunter Mahan,1.641,1743,1062
175,0,36852,Jim Knous,1.642,1566,954
176,0,29268,Bronson Burgoon,1.644,1628,990
176,0,27349,Alex Noren,1.644,1775,1080
178,0,20572,Rod Pampling,1.647,1542,936
179,0,29974,Branden Grace,1.650,2019,1224
180,0,25804,Bubba Watson,1.651,1724,1044
181,0,31646,Emiliano Grillo,1.655,2323,1404
182,0,52372,Cameron Champ,1.660,2271,1368
183,0,30946,Alex Prugh,1.667,2131,1278
184,0,34306,John Chin,1.674,1627,972
184,0,25686,Jason Dufner,1.674,2170,1296
184,0,23353,J.J. Henry,1.674,1567,936
187,0,39997,Corey Conners,1.676,2595,1548
188,0,29518,Brendan Steele,1.678,1873,1116
