RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,21209,Sergio Garcia,1.211,60.568,50
2,0,06567,Vijay Singh,1.116,99.362,89
3,0,02239,Scott Verplank,.971,66.045,68
4,0,02206,David Toms,.968,57.089,59
5,0,22405,Justin Rose,.882,55.557,63
6,0,08793,Tiger Woods,.873,47.152,54
7,0,01457,Jay Haas,.862,52.561,61
8,0,02104,Jeff Sluman,.760,62.321,82
9,0,20229,Stewart Cink,.724,57.220,79
10,0,01527,Scott Hoch,.721,33.144,46
11,0,06004,Stephen Ames,.712,56.928,80
12,0,06522,Ernie Els,.709,29.069,41
13,0,01553,John Huston,.701,31.528,45
14,0,01577,Lee Janzen,.692,48.410,70
15,0,23135,Tim Clark,.691,49.042,71
16,0,02101,Joey Sindelar,.679,60.427,89
17,0,10885,Robert Allenby,.675,48.592,72
18,0,12510,Chad Campbell,.660,50.849,77
19,0,08075,Jerry Kelly,.616,54.224,88
19,0,01666,Bernhard Langer,.616,25.890,42
21,0,20157,Retief Goosen,.604,24.166,40
22,0,01810,Phil Mickelson,.597,32.217,54
23,0,01677,Tom Lehman,.596,34.586,58
24,0,24502,Adam Scott,.571,22.835,40
25,0,02246,Duffy Waldorf,.568,33.518,59
26,0,23983,Luke Donald,.563,34.896,62
27,0,06575,Dudley Hart,.557,25.625,46
28,0,01945,Kenny Perry,.512,31.732,62
29,0,06251,Chris DiMarco,.508,39.145,77
30,0,12680,Shigeki Maruyama,.493,38.424,78
31,0,01142,Bart Bryant,.484,31.442,65
32,0,01320,Bob Estes,.480,24.495,51
33,0,06373,José María Olazábal,.474,19.910,42
34,0,01381,Fred Funk,.456,37.817,83
35,0,06621,Joe Durant,.453,34.457,76
36,0,23325,Vaughn Taylor,.426,32.836,77
37,0,12823,Carlos Franco,.413,37.196,90
38,0,10860,Justin Leonard,.379,24.616,65
39,0,01388,Robert Gamez,.378,34.022,90
40,0,20498,Briny Baird,.374,30.262,81
41,0,01226,Fred Couples,.370,16.282,44
