RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,130' 8",9015' 0",69
2,0,30110,Kyle Stanley,128' 6",6683' 8",52
3,0,27436,Graham DeLaet,126' 1",7313' 1",58
4,0,23320,Ryan Palmer,126' 0",8570' 3",68
5,0,01249,John Daly,123' 5",3578' 7",29
6,0,27120,Troy Matteson,118' 1",8031' 8",68
7,0,27330,Josh Teater,117' 8",8705' 2",74
8,0,30925,Dustin Johnson,117' 4",4693' 8",40
9,0,33141,Keegan Bradley,116' 8",6765' 1",58
10,0,32102,Rickie Fowler,115' 1",6099' 9",53
11,0,24358,Robert Garrigus,114' 10",7466' 3",65
12,0,24940,Edward Loar,114' 1",3993' 2",35
13,0,21805,Harrison Frazar,113' 8",4545' 1",40
14,0,26758,David Hearn,113' 7",8631' 4",76
15,0,27302,Garth Mulroy,113' 2",4525' 5",40
16,0,20850,Daniel Chopra,112' 11",4063' 8",36
16,0,28089,Jason Day,112' 11",4630' 5",41
18,0,01766,Billy Mayfair,112' 5",7756' 2",69
19,0,30852,Ryo Ishikawa,111' 8",3349',30
20,0,34021,Bud Cauley,111' 1",9663' 9",87
21,0,28237,Rory McIlroy,110' 11",4215' 6",38
22,0,24494,Erik Compton,110' 4",5294' 9",48
23,0,24925,Jonathan Byrd,110' 3",4850' 4",44
24,0,27649,Brandt Snedeker,109' 11",6703',61
25,0,01706,Davis Love III,109' 10",4503' 7",41
26,0,19970,Robert Karlsson,109' 8",4058' 3",37
27,0,24924,Bill Haas,109' 6",6460' 9",59
28,0,12716,Charley Hoffman,109' 1",7961' 7",73
29,0,29289,S.Y. Noh,108' 0",8098' 8",75
30,0,30926,Chris Kirk,107' 11",8525' 1",79
31,0,21878,Mark Wilson,107' 10",6794' 5",63
32,0,29420,Billy Horschel,107' 8",4845' 0",45
33,0,11123,Chris Couch,107' 7",3765' 9",35
34,0,22046,Geoff Ogilvy,107' 5",5370' 3",50
35,0,25804,Bubba Watson,107' 3",5257' 2",49
36,0,27064,Jhonattan Vegas,106' 11",5986' 6",56
37,0,06522,Ernie Els,106' 10",6515' 5",61
38,0,27214,Kevin Streelman,106' 8",7466',70
39,0,01810,Phil Mickelson,106' 5",5748' 8",54
40,0,21528,Henrik Stenson,106' 3",1487',14
41,0,26329,Louis Oosthuizen,105' 11",5294',50
42,0,20848,Ángel Cabrera,105' 10",2963',28
43,0,25818,Scott Piercy,105' 9",6770' 8",64
44,0,23623,Bo Van Pelt,105' 3",6421' 2",61
45,0,26851,Marc Leishman,105' 2",6310' 2",60
45,0,26679,Kevin Stadler,105' 2",5678' 8",54
47,0,33419,Cameron Tringale,105' 0",7245' 9",69
48,0,30692,Scott Stallings,104' 5",6054',58
49,0,29518,Brendan Steele,104' 4",6155' 7",59
49,0,32150,Michael Thompson,104' 4",6364' 6",61
51,0,24140,Sean O'Hair,104' 3",6774' 4",65
52,0,20574,Mathew Goggin,104' 1",5410' 6",52
53,0,25892,Steve Wheatcroft,103' 8",3627' 9",35
54,0,32200,Roberto Castro,103' 5",7030' 3",68
55,0,32334,Charlie Beljan,103' 0",3707' 0",36
55,0,27797,Derek Lamely,103' 0",5149',50
57,0,30750,Tommy Gainey,102' 11",8233' 3",80
58,0,32366,Kevin Chappell,102' 10",6887' 6",67
59,0,23542,Tommy Biershenk,102' 9",5240' 7",51
60,0,29476,Kyle Reifers,102' 7",6566' 6",64
61,0,28475,Jeff Overton,102' 6",8916' 7",87
62,0,08793,Tiger Woods,102' 1",3878',38
63,0,24490,George McNeill,102' 0",5917' 0",58
