RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
1,0,23638,Brendon de Jonge,3241.5,272287,84
2,0,11123,Chris Couch,3237.0,100347,31
3,0,21528,Henrik Stenson,3220.8,41870,13
4,0,23718,Nathan Green,3191.2,130840,41
5,0,20104,Ken Duke,3171.9,260095,82
6,0,24490,George McNeill,3160.7,167517,53
7,0,20645,John Senden,3132.6,187956,60
8,0,28259,Sangmoon Bae,3110.3,146185,47
9,0,35139,Richard Lee,3110.0,143058,46
10,0,32334,Charlie Beljan,3101.3,96140,31
11,0,22371,Aaron Baddeley,3096.0,114551,37
12,0,21209,Sergio Garcia,3091.7,117483,38
13,0,27095,Nick Watney,3077.4,196954,64
14,0,31202,William McGirt,3064.1,245130,80
15,0,06036,Scott Dunlap,3061.2,128570,42
16,0,26300,Matt Jones,3053.2,97702,32
17,0,24924,Bill Haas,3046.2,173636,57
18,0,22046,Geoff Ogilvy,3039.0,154989,51
19,0,08725,Tom Gillis,3035.1,194249,64
20,0,23903,Stephen Gangluff,3018.0,108647,36
21,0,24925,Jonathan Byrd,3010.2,123417,41
22,0,23983,Luke Donald,3003.1,144149,48
23,0,28500,Martin Flores,2955.9,147795,50
24,0,06251,Chris DiMarco,2951.6,159388,54
25,0,24502,Adam Scott,2947.5,112006,38
26,0,29222,Billy Hurley III,2936.1,137996,47
27,0,10213,Dicky Pride,2933.1,143724,49
28,0,23409,James Driscoll,2927.0,163914,56
29,0,24663,Y.E. Yang,2919.7,116787,40
30,0,33120,Mark Anderson,2912.5,125236,43
31,0,27330,Josh Teater,2911.6,209632,72
32,0,31558,J.J. Killeen,2899.1,153653,53
33,0,28087,Kris Blanks,2895.9,144796,50
34,0,25804,Bubba Watson,2894.4,121566,42
35,0,29289,S.Y. Noh,2889.2,208021,72
36,0,22621,Ben Curtis,2881.4,132545,46
37,0,25396,Kevin Na,2875.3,138014,48
38,0,24604,Hunter Haas,2870.6,117695,41
39,0,30711,Colt Knost,2867.3,166304,58
40,0,28093,Miguel Angel Carballo,2866.3,120386,42
41,0,12716,Charley Hoffman,2865.9,200615,70
42,0,32698,Bobby Gates,2865.5,146140,51
43,0,01320,Bob Estes,2865.1,143254,50
44,0,30927,Brendon Todd,2863.1,143153,50
45,0,27436,Graham DeLaet,2860.1,151585,53
46,0,21961,Charles Howell III,2857.8,162897,57
47,0,29910,Blake Adams,2856.5,131401,46
48,0,32102,Rickie Fowler,2852.9,151205,53
49,0,21878,Mark Wilson,2842.7,184778,65
50,0,21731,Freddie Jacobson,2841.5,110818,39
51,0,20098,Stuart Appleby,2839.1,147632,52
52,0,20593,Greg Chalmers,2838.0,181631,64
53,0,26851,Marc Leishman,2837.8,144728,51
54,0,22378,Trevor Immelman,2828.1,132923,47
55,0,10809,Jim Furyk,2824.5,172294,61
56,0,19970,Robert Karlsson,2822.2,101600,36
