RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,25900,Lucas Glover,71.63,967,1350,-0.27
2,0,25364,Paul Casey,70.80,943,1332,-0.25
3,0,24502,Adam Scott,70.76,968,1368,-0.29
4,0,20229,Stewart Cink,70.40,773,1098,-0.25
5,0,24461,Thomas Aiken,70.20,834,1188,-0.21
6,0,25686,Jason Dufner,70.15,1288,1836,-0.25
6,0,21209,Sergio Garcia,70.15,644,918,-0.26
8,0,20691,Greg Owen,69.75,1017,1458,-0.23
9,0,33122,Russell Knox,69.73,1117,1602,-0.24
10,0,27064,Jhonattan Vegas,69.71,1167,1674,-0.26
11,0,28237,Rory McIlroy,69.62,777,1116,-0.32
12,0,33141,Keegan Bradley,69.58,1027,1476,-0.24
13,0,26951,Johnson Wagner,69.38,1074,1548,-0.25
14,0,24358,Robert Garrigus,69.32,811,1170,-0.29
15,0,32102,Rickie Fowler,69.26,960,1386,-0.28
16,0,36699,Patrick Rodgers,69.22,1059,1530,-0.26
17,0,27214,Kevin Streelman,69.17,1021,1476,-0.25
18,0,25804,Bubba Watson,69.16,859,1242,-0.28
19,0,32200,Roberto Castro,69.13,1207,1746,-0.27
20,0,35451,Scott Pinckney,69.02,1056,1530,-0.25
21,0,20645,John Senden,68.86,1066,1548,-0.25
22,0,34264,Hudson Swafford,68.80,1288,1872,-0.28
23,0,31323,Gary Woodland,68.74,1126,1638,-0.27
24,0,26331,Charl Schwartzel,68.73,866,1260,-0.26
25,0,29518,Brendan Steele,68.72,1039,1512,-0.26
26,0,30944,Jason Kokrak,68.66,1100,1602,-0.26
27,0,31646,Emiliano Grillo,68.52,1110,1620,-0.26
28,0,27436,Graham DeLaet,68.35,812,1188,-0.28
29,0,10809,Jim Furyk,68.27,639,936,-0.22
29,0,34098,Russell Henley,68.27,934,1368,-0.25
31,0,26758,David Hearn,68.25,1167,1710,-0.26
32,0,30163,Henrik Norlander,68.24,823,1206,-0.25
33,0,12510,Chad Campbell,68.15,1104,1620,-0.25
33,0,26329,Louis Oosthuizen,68.15,687,1008,-0.25
35,0,32618,Rhein Gibson,68.11,662,972,-0.22
35,0,32839,Hideki Matsuyama,68.11,895,1314,-0.30
37,0,26476,Chez Reavie,68.09,1054,1548,-0.26
38,0,21961,Charles Howell III,68.01,1114,1638,-0.29
39,0,20472,Alex Cejka,67.99,820,1206,-0.28
40,0,22405,Justin Rose,67.92,758,1116,-0.27
41,0,26289,Boo Weekley,67.87,1014,1494,-0.26
42,0,23320,Ryan Palmer,67.83,1050,1548,-0.29
43,0,30925,Dustin Johnson,67.82,1001,1476,-0.36
43,0,23108,Matt Kuchar,67.82,1172,1728,-0.28
45,0,29420,Billy Horschel,67.70,853,1260,-0.27
46,0,40026,Daniel Berger,67.67,1084,1602,-0.28
47,0,27936,Martin Laird,67.66,950,1404,-0.27
48,0,29476,Kyle Reifers,67.62,1351,1998,-0.27
49,0,23353,J.J. Henry,67.51,802,1188,-0.18
50,0,35879,Kelly Kraft,67.42,716,1062,-0.27
51,0,31202,William McGirt,67.35,1188,1764,-0.26
52,0,25818,Scott Piercy,67.33,1018,1512,-0.26
53,0,28089,Jason Day,67.23,835,1242,-0.34
54,0,27129,Luke List,67.17,931,1386,-0.26
54,0,24140,Sean O'Hair,67.17,1076,1602,-0.28
54,0,30110,Kyle Stanley,67.17,1076,1602,-0.25
57,0,24924,Bill Haas,67.14,991,1476,-0.23
57,0,29221,Webb Simpson,67.14,846,1260,-0.26
59,0,36689,Brooks Koepka,66.98,844,1260,-0.31
60,0,29485,Brett Stegmaier,66.80,1022,1530,-0.25
61,0,29974,Branden Grace,66.76,721,1080,-0.26
62,0,28114,Dawie van der Walt,66.75,841,1260,-0.26
63,0,35545,Blayne Barber,66.74,961,1440,-0.25
64,0,33413,Ben Martin,66.73,1057,1584,-0.28
64,0,25396,Kevin Na,66.73,1117,1674,-0.28
66,0,08075,Jerry Kelly,66.67,912,1368,-0.24
67,0,27963,Chris Stroud,66.60,959,1440,-0.27
68,0,22892,Jason Gore,66.52,886,1332,-0.26
69,0,33418,Shawn Stefani,66.48,1041,1566,-0.23
70,0,24912,Will MacKenzie,66.39,956,1440,-0.23
71,0,32366,Kevin Chappell,66.37,1111,1674,-0.27
72,0,24507,Jason Bohn,66.33,800,1206,-0.28
72,0,27466,Spencer Levin,66.33,1194,1800,-0.27
74,0,46440,Smylie Kaufman,66.29,1050,1584,-0.29
75,0,29268,Bronson Burgoon,66.24,942,1422,-0.25
75,0,37189,Harold Varner III,66.24,1097,1656,-0.25
77,0,34174,John Huh,66.21,1013,1530,-0.24
78,0,34431,Robert Streb,66.20,1001,1512,-0.23
79,0,37273,Derek Ernst,66.18,679,1026,-0.21
79,0,32150,Michael Thompson,66.18,810,1224,-0.28
81,0,29720,Andres Gonzales,66.17,929,1404,-0.25
82,0,30692,Scott Stallings,66.11,833,1260,-0.25
83,0,33399,Adam Hadwin,66.07,1106,1674,-0.30
84,0,01810,Phil Mickelson,66.05,856,1296,-0.31
85,0,28158,Steve Marino,66.01,808,1224,-0.25
86,0,25493,Nick Taylor,65.82,936,1422,-0.27
87,0,26596,Ryan Moore,65.78,959,1458,-0.28
88,0,24846,Ricky Barnes,65.77,1101,1674,-0.29
89,0,37454,Whee Kim,65.74,923,1404,-0.23
90,0,27649,Brandt Snedeker,65.67,1052,1602,-0.28
91,0,33419,Cameron Tringale,65.66,910,1386,-0.27
92,0,31557,Jim Herman,65.65,1099,1674,-0.24
93,0,23638,Brendon de Jonge,65.64,957,1458,-0.25
94,0,33448,Justin Thomas,65.63,1134,1728,-0.29
95,0,29745,Tyler Aldridge,65.54,932,1422,-0.24
96,0,02206,David Toms,65.50,731,1116,-0.21
97,0,24357,K.J. Choi,65.37,859,1314,-0.26
98,0,25240,D.A. Points,65.36,600,918,-0.24
99,0,29461,Jamie Lovemark,65.32,1070,1638,-0.28
100,0,26851,Marc Leishman,65.31,1011,1548,-0.27
101,0,34563,Chesson Hadley,65.26,928,1422,-0.25
101,0,27974,Sung Kang,65.26,1022,1566,-0.27
103,0,30711,Colt Knost,65.25,1010,1548,-0.25
104,0,29478,Kevin Kisner,65.19,1103,1692,-0.30
105,0,27141,J.B. Holmes,65.17,868,1332,-0.29
106,0,29725,Tony Finau,65.09,1113,1710,-0.29
107,0,29479,Scott Brown,65.03,1030,1584,-0.27
108,0,21878,Mark Wilson,64.96,725,1116,-0.21
109,0,25198,Francesco Molinari,64.93,748,1152,-0.25
110,0,21731,Freddie Jacobson,64.86,1004,1548,-0.28
111,0,27644,Brian Harman,64.85,1214,1872,-0.28
112,0,34099,Harris English,64.83,1132,1746,-0.26
112,0,37455,Si Woo Kim,64.83,1272,1962,-0.29
114,0,28132,Tyrone Van Aswegen,64.81,1190,1836,-0.25
115,0,25349,Tim Wilkinson,64.71,792,1224,-0.27
116,0,34360,Patrick Reed,64.65,1152,1782,-0.30
117,0,33410,Andrew Landry,64.63,570,882,-0.25
118,0,23983,Luke Donald,64.61,942,1458,-0.23
119,0,32448,James Hahn,64.58,988,1530,-0.25
119,0,12716,Charley Hoffman,64.58,1023,1584,-0.25
121,0,29289,S.Y. Noh,64.54,941,1458,-0.27
122,0,24024,Zach Johnson,64.53,999,1548,-0.27
123,0,33204,Shane Lowry,64.51,627,972,-0.24
124,0,32757,Patton Kizzire,64.48,1033,1602,-0.27
125,0,25572,Graeme McDowell,64.44,696,1080,-0.25
125,0,33667,Carlos Ortiz,64.44,870,1350,-0.27
127,0,23325,Vaughn Taylor,64.43,835,1296,-0.28
128,0,29223,Sam Saunders,64.36,753,1170,-0.25
129,0,32876,Martin Piller,64.33,660,1026,-0.25
130,0,23621,Rory Sabbatini,64.30,625,972,-0.23
131,0,24490,George McNeill,64.16,589,918,-0.24
132,0,30926,Chris Kirk,64.05,980,1530,-0.25
133,0,20572,Rod Pampling,64.00,576,900,-0.23
134,0,34409,David Lingmerth,63.99,910,1422,-0.27
135,0,26300,Matt Jones,63.96,921,1440,-0.28
135,0,25632,Jimmy Walker,63.96,944,1476,-0.30
137,0,29926,Danny Lee,63.95,1036,1620,-0.26
