RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,23541,Ben Crane,100.00,22,22
1,0,28089,Jason Day,100.00,18,18
1,0,32816,Satoshi Kodaira,100.00,22,22
1,0,49771,J.T. Poston,100.00,19,19
1,0,35891,Cameron Smith,100.00,26,26
1,0,27963,Chris Stroud,100.00,20,20
7,0,35461,Beau Hossler,97.62,41,42
8,0,30692,Scott Stallings,97.56,40,41
9,0,26951,Johnson Wagner,97.50,39,40
10,0,23325,Vaughn Taylor,97.44,38,39
11,0,23621,Rory Sabbatini,97.37,37,38
12,0,27649,Brandt Snedeker,97.30,36,37
13,0,28307,Matt Every,97.22,35,36
13,0,12716,Charley Hoffman,97.22,35,36
15,0,34409,David Lingmerth,97.14,34,35
16,0,34358,Jonathan Randolph,97.06,33,34
17,0,32757,Patton Kizzire,96.97,32,33
18,0,29478,Kevin Kisner,96.88,31,32
18,0,33448,Justin Thomas,96.88,31,32
20,0,29420,Billy Horschel,96.77,30,31
20,0,27974,Sung Kang,96.77,30,31
20,0,28237,Rory McIlroy,96.77,30,31
23,0,20229,Stewart Cink,96.67,29,30
24,0,40009,Dominic Bozzelli,96.55,28,29
25,0,35545,Blayne Barber,96.43,27,28
25,0,29268,Bronson Burgoon,96.43,27,28
25,0,35450,Patrick Cantlay,96.43,27,28
25,0,25198,Francesco Molinari,96.43,27,28
29,0,35376,Roberto Díaz,96.30,26,27
29,0,25572,Graeme McDowell,96.30,26,27
31,0,27349,Alex Noren,96.15,25,26
31,0,27942,Rob Oppenheim,96.15,25,26
31,0,21528,Henrik Stenson,96.15,25,26
34,0,25240,D.A. Points,96.00,24,25
35,0,33413,Ben Martin,95.83,23,24
35,0,20572,Rod Pampling,95.83,23,24
35,0,34264,Hudson Swafford,95.83,23,24
38,0,24781,Hunter Mahan,95.65,22,23
38,0,31202,William McGirt,95.65,44,46
38,0,24138,Ian Poulter,95.65,22,23
38,0,32254,Xinjun Zhang,95.65,22,23
42,0,26300,Matt Jones,95.45,21,22
43,0,33141,Keegan Bradley,95.24,40,42
43,0,29974,Branden Grace,95.24,20,21
45,0,49964,Aaron Wise,95.00,38,40
46,0,25804,Bubba Watson,94.87,37,39
47,0,25834,Daniel Summerhays,94.74,18,19
48,0,01810,Phil Mickelson,94.59,35,37
49,0,24925,Jonathan Byrd,94.44,34,36
49,0,39546,Keith Mitchell,94.44,34,36
49,0,34256,Andrew Putnam,94.44,34,36
52,0,46435,Austin Cook,94.34,50,53
53,0,33399,Adam Hadwin,94.29,33,35
53,0,29223,Sam Saunders,94.29,33,35
55,0,37454,Whee Kim,94.12,32,34
55,0,25396,Kevin Na,94.12,32,34
55,0,34431,Robert Streb,94.12,32,34
58,0,29926,Danny Lee,93.94,31,33
59,0,34174,John Huh,93.75,45,48
60,0,20472,Alex Cejka,93.55,29,31
60,0,35506,Mackenzie Hughes,93.55,29,31
60,0,48081,Xander Schauffele,93.55,29,31
63,0,30110,Kyle Stanley,93.33,28,30
64,0,29725,Tony Finau,93.18,41,44
65,0,24358,Robert Garrigus,92.86,39,42
65,0,24924,Bill Haas,92.86,26,28
65,0,28132,Tyrone Van Aswegen,92.86,39,42
68,0,26851,Marc Leishman,92.68,38,41
69,0,32150,Michael Thompson,92.59,25,27
70,0,27644,Brian Harman,92.50,37,40
70,0,37189,Harold Varner III,92.50,37,40
72,0,22371,Aaron Baddeley,92.45,49,53
73,0,48084,Wesley Bryan,92.31,24,26
73,0,47959,Bryson DeChambeau,92.31,24,26
73,0,37338,Zecheng Dou,92.31,12,13
73,0,24024,Zach Johnson,92.31,36,39
77,0,26499,Rafa Cabrera Bello,92.00,23,25
77,0,32102,Rickie Fowler,92.00,23,25
77,0,26329,Louis Oosthuizen,92.00,23,25
80,0,33418,Shawn Stefani,91.89,34,37
81,0,35532,Tom Hoge,91.67,44,48
81,0,35879,Kelly Kraft,91.67,33,36
83,0,32333,Kevin Tway,91.49,43,47
84,0,36799,Stephan Jaeger,91.43,32,35
85,0,40026,Daniel Berger,91.30,21,23
85,0,30926,Chris Kirk,91.30,42,46
87,0,33948,Byeong Hun An,91.18,31,34
87,0,26476,Chez Reavie,91.18,31,34
89,0,27556,Ted Potter Jr.,90.91,30,33
89,0,29484,Peter Uihlein,90.91,20,22
89,0,27064,Jhonattan Vegas,90.91,30,33
89,0,25892,Steve Wheatcroft,90.91,20,22
93,0,28252,Seamus Power,90.70,39,43
93,0,27095,Nick Watney,90.70,39,43
95,0,20593,Greg Chalmers,90.48,19,21
95,0,29535,Brice Garnett,90.48,38,42
95,0,30944,Jason Kokrak,90.48,38,42
98,0,23108,Matt Kuchar,90.32,28,31
98,0,39324,J.J. Spaun,90.32,28,31
100,0,39327,Ben Silverman,90.20,46,51
101,0,23353,J.J. Henry,90.00,27,30
101,0,30925,Dustin Johnson,90.00,18,20
103,0,19846,Brian Gay,89.74,35,39
104,0,40058,Zac Blair,89.66,26,29
104,0,26596,Ryan Moore,89.66,26,29
104,0,27214,Kevin Streelman,89.66,26,29
104,0,33419,Cameron Tringale,89.66,26,29
104,0,08793,Tiger Woods,89.66,26,29
109,0,39975,Michael Kim,89.47,17,19
110,0,27895,Jonas Blixt,89.29,25,28
110,0,39328,Conrad Shindler,89.29,25,28
112,0,29908,C.T. Pan,89.19,33,37
113,0,34099,Harris English,88.89,32,36
113,0,39954,Cody Gribble,88.89,24,27
113,0,34098,Russell Henley,88.89,24,27
113,0,27129,Luke List,88.89,40,45
113,0,32640,Troy Merritt,88.89,32,36
113,0,22405,Justin Rose,88.89,24,27
119,0,19803,Ryan Armour,88.68,47,53
120,0,34021,Bud Cauley,88.46,23,26
121,0,29479,Scott Brown,88.37,38,43
121,0,32448,James Hahn,88.37,38,43
121,0,29221,Webb Simpson,88.37,38,43
124,0,34563,Chesson Hadley,88.24,45,51
124,0,27936,Martin Laird,88.24,30,34
124,0,34360,Patrick Reed,88.24,30,34
127,0,31416,Derek Fathauer,88.10,37,42
128,0,22056,Cameron Percy,88.00,22,25
129,0,24140,Sean O'Hair,87.88,29,33
130,0,29222,Billy Hurley III,87.50,28,32
130,0,33204,Shane Lowry,87.50,21,24
130,0,37275,Sam Ryder,87.50,35,40
130,0,31560,Brian Stuard,87.50,42,48
134,0,45526,Abraham Ancer,87.27,48,55
135,0,21961,Charles Howell III,87.23,41,47
136,0,39997,Corey Conners,86.96,40,46
137,0,28679,Fabián Gómez,86.84,33,38
138,0,27958,Ryan Blaum,86.49,32,37
138,0,32366,Kevin Chappell,86.49,32,37
138,0,28500,Martin Flores,86.49,32,37
138,0,31646,Emiliano Grillo,86.49,32,37
142,0,25686,Jason Dufner,86.36,38,44
142,0,36689,Brooks Koepka,86.36,19,22
144,0,34076,Joel Dahmen,86.11,31,36
144,0,34466,Peter Malnati,86.11,31,36
144,0,36699,Patrick Rodgers,86.11,31,36
147,0,29461,Jamie Lovemark,86.05,37,43
148,0,25900,Lucas Glover,85.71,24,28
148,0,20157,Retief Goosen,85.71,24,28
148,0,28775,Nate Lashley,85.71,12,14
148,0,37278,Nicholas Lindheim,85.71,24,28
148,0,47993,Denny McCarthy,85.71,18,21
148,0,34046,Jordan Spieth,85.71,24,28
148,0,29485,Brett Stegmaier,85.71,30,35
