RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,22293,Heath Slocum,40.00,518,1295,-0.023
1,0,02239,Scott Verplank,40.00,330,825,-0.009
3,0,01381,Fred Funk,39.68,294,741,-0.027
4,0,20859,Anders Hansen,39.50,188,476,+0.059
5,0,01797,Rocco Mediate,38.40,359,935,-0.006
6,0,08931,Glen Day,38.15,399,1046,E
7,0,22295,Darron Stiles,38.14,283,742,+0.099
8,0,07363,Craig Bowden,38.06,357,938,-0.090
9,0,24024,Zach Johnson,37.80,316,836,-0.038
10,0,07547,Craig Kanada,37.75,496,1314,-0.002
11,0,06643,Paul Goydos,37.58,245,652,-0.065
12,0,19846,Brian Gay,37.39,507,1356,-0.061
13,0,22806,Doug LaBelle II,37.37,475,1271,+0.011
14,0,23135,Tim Clark,37.18,274,737,-0.033
15,0,23933,Michael Boyd,37.04,270,729,+0.033
16,0,23108,Matt Kuchar,36.88,367,995,-0.030
17,0,01313,Steve Elkington,36.85,374,1015,-0.008
18,0,12680,Shigeki Maruyama,36.76,411,1118,+0.015
19,0,06251,Chris DiMarco,36.22,318,878,+0.003
20,0,02214,Kirk Triplett,36.00,342,950,+0.044
21,0,21350,Ryuji Imada,35.80,445,1243,-0.029
22,0,24138,Ian Poulter,35.78,195,545,-0.031
23,0,06527,Steve Stricker,35.61,323,907,-0.025
24,0,21806,Paul Gow,35.59,284,798,+0.049
25,0,22621,Ben Curtis,35.55,321,903,+0.009
26,0,20623,Gavin Coles,35.38,380,1074,+0.003
27,0,10213,Dicky Pride,35.36,302,854,+0.013
28,0,21753,Brian Davis,35.15,433,1232,-0.014
29,0,01320,Bob Estes,35.06,392,1118,+0.008
30,0,19972,José Coceres,34.97,206,589,E
31,0,20382,Stephen Leaney,34.89,359,1029,-0.064
32,0,01941,Tom Pernice Jr.,34.61,407,1176,-0.071
33,0,24457,Jaco Van Zyl,34.58,213,616,+0.075
34,0,11032,Frank Lickliter II,34.46,409,1187,+0.027
35,0,06373,José María Olazábal,34.36,178,518,+0.034
36,0,08075,Jerry Kelly,34.35,361,1051,-0.014
37,0,01928,Corey Pavin,34.21,340,994,+0.006
38,0,02223,Bob Tway,33.93,417,1229,+0.074
39,0,01035,Tommy Armour III,33.89,327,965,-0.037
40,0,01766,Billy Mayfair,33.85,391,1155,-0.023
41,0,22348,Nick O'Hern,33.68,259,769,-0.015
42,0,02206,David Toms,33.67,298,885,-0.060
43,0,23983,Luke Donald,33.66,237,704,-0.025
44,0,01142,Bart Bryant,33.59,348,1036,-0.034
45,0,01157,Tom Byrum,33.39,191,572,+0.084
45,0,26420,Richard Johnson,33.39,390,1168,+0.067
47,0,27649,Brandt Snedeker,33.03,396,1199,+0.058
48,0,01388,Robert Gamez,32.86,349,1062,+0.060
48,0,21470,Daisuke Maruyama,32.86,349,1062,-0.006
50,0,01132,Mark Brooks,32.81,188,573,-0.021
51,0,12602,Dean Wilson,32.70,343,1049,-0.015
52,0,10809,Jim Furyk,32.58,302,927,-0.076
53,0,08881,Tripp Isenhour,32.55,332,1020,+0.063
54,0,10117,Bob Heintz,32.44,325,1002,+0.015
55,0,02246,Duffy Waldorf,32.29,267,827,+0.086
56,0,20127,Chris Riley,32.21,230,714,E
57,0,10860,Justin Leonard,32.20,370,1149,E
58,0,27060,John Mallinger,31.96,387,1211,+0.057
59,0,06004,Stephen Ames,31.80,277,871,-0.029
60,0,02104,Jeff Sluman,31.79,185,582,+0.157
61,0,06621,Joe Durant,31.35,322,1027,+0.031
62,0,02101,Joey Sindelar,31.22,291,932,+0.045
63,0,07867,Woody Austin,31.06,364,1172,+0.036
64,0,02036,Jim Rutledge,30.96,200,646,+0.045
65,0,20160,Charlie Wi,30.92,358,1158,+0.006
66,0,20104,Ken Duke,30.90,411,1330,-0.029
67,0,01677,Tom Lehman,30.84,210,681,+0.005
68,0,25892,Steve Wheatcroft,30.80,263,854,+0.076
69,0,25190,Jeff Quinney,30.76,370,1203,+0.003
70,0,23613,Rich Barcelo,30.71,301,980,+0.050
71,0,07457,Steve Flesch,30.60,385,1258,+0.078
72,0,10733,Kent Jones,30.57,376,1230,-0.037
73,0,01948,Tim Petrovic,30.49,404,1325,+0.015
74,0,22212,Craig Lile,30.48,295,968,+0.044
75,0,19803,Ryan Armour,30.46,400,1313,-0.048
76,0,23718,Nathan Green,30.36,367,1209,-0.038
