RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,01876,Greg Norman,1.87,237,127
2,0,02100,Tim Simpson,1.74,362,208
3,0,01823,Larry Mize,1.69,320,189
4,0,01042,Paul Azinger,1.63,363,223
5,0,01527,Scott Hoch,1.58,330,209
6,0,01766,Billy Mayfair,1.55,399,258
7,0,01887,Mark O'Meara,1.48,332,225
7,0,01996,Mike Reid,1.48,222,150
9,0,02049,Gene Sauers,1.47,381,259
10,0,01633,Tom Kite,1.46,306,210
11,0,01690,Bruce Lietzke,1.43,226,158
11,0,02159,Curtis Strange,1.43,247,173
13,0,01049,Ian Baker-Finch,1.42,302,212
13,0,01559,Hale Irwin,1.42,215,151
15,0,01599,Steve Jones,1.41,274,195
16,0,01569,Peter Jacobsen,1.40,279,199
16,0,01837,Gil Morgan,1.40,287,205
16,0,01928,Corey Pavin,1.40,361,258
19,0,02010,Loren Roberts,1.39,373,268
20,0,02146,Payne Stewart,1.38,364,264
21,0,01968,Nick Price,1.37,345,252
22,0,01161,Mark Calcavecchia,1.36,360,265
22,0,02186,Brian Tennyson,1.36,337,248
24,0,01203,Russ Cochran,1.35,313,232
25,0,01226,Fred Couples,1.34,266,198
25,0,01313,Steve Elkington,1.34,351,261
27,0,01715,Mark Lye,1.31,320,244
27,0,02133,Craig Stadler,1.31,232,177
27,0,02242,Lanny Wadkins,1.31,279,213
27,0,02256,Tom Watson,1.31,191,146
27,0,02322,Richard Zokol,1.31,241,184
32,0,01510,Nolan Henke,1.30,302,233
32,0,06332,Neal Lancaster,1.30,245,189
34,0,01024,Billy Andrade,1.29,368,286
34,0,02223,Bob Tway,1.29,374,291
36,0,01323,Brad Fabel,1.28,285,223
36,0,01938,David Peoples,1.28,405,316
36,0,01945,Kenny Perry,1.28,267,208
36,0,02321,Fuzzy Zoeller,1.28,251,196
40,0,01098,Jay Don Blake,1.27,332,262
40,0,01133,Billy Ray Brown,1.27,280,220
40,0,01284,Mike Donald,1.27,408,322
40,0,01926,Steve Pate,1.27,363,286
40,0,02148,Ray Stewart,1.27,307,242
45,0,01096,Phil Blackmar,1.26,319,254
45,0,01361,Dan Forsman,1.26,329,261
47,0,01060,Dave Barr,1.25,319,255
47,0,01219,John Cook,1.25,329,264
47,0,02241,Bobby Wadkins,1.25,339,271
50,0,01975,Tom Purtzer,1.24,264,213
51,0,01132,Mark Brooks,1.23,378,307
51,0,01444,Ken Green,1.23,297,241
53,0,01196,Brian Claar,1.22,280,229
53,0,01320,Bob Estes,1.22,305,250
53,0,01577,Lee Janzen,1.22,329,269
53,0,01725,John Mahaffey,1.22,298,244
53,0,01960,Don Pooley,1.22,259,212
58,0,01235,Ben Crenshaw,1.21,221,183
59,0,01378,David Frost,1.20,279,233
59,0,01706,Davis Love III,1.20,345,287
61,0,01390,Buddy Gardner,1.19,347,291
61,0,01846,Jodie Mudd,1.19,277,232
61,0,02104,Jeff Sluman,1.19,371,313
61,0,02170,Hal Sutton,1.19,314,263
65,0,01783,Mark McCumber,1.18,282,238
65,0,01943,Chris Perry,1.18,306,259
67,0,01072,Chip Beck,1.17,284,243
67,0,01261,Jay Delsing,1.17,335,287
67,0,01723,Andrew Magee,1.17,324,278
67,0,02099,Scott Simpson,1.17,196,168
71,0,01388,Robert Gamez,1.16,297,255
71,0,01418,Bill Glasson,1.16,223,193
73,0,01078,Jim Benepe,1.15,284,247
73,0,01329,Brad Faxon,1.15,307,266
73,0,02007,Larry Rinker,1.15,342,298
73,0,02041,Bill Sander,1.15,334,291
73,0,02239,Scott Verplank,1.15,319,277
73,0,02303,Robert Wrenn,1.15,344,298
79,0,01035,Tommy Armour III,1.13,328,291
80,0,01435,Wayne Grady,1.12,272,242
80,0,02067,Ted Schulz,1.12,385,344
82,0,02214,Kirk Triplett,1.11,241,218
83,0,01150,George Burns,1.10,320,291
83,0,02190,Doug Tewell,1.10,253,229
83,0,02201,Jim Thorpe,1.10,297,270
86,0,01306,David Edwards,1.09,224,206
86,0,01385,Jim Gallagher Jr.,1.09,377,347
86,0,01414,Bob Gilder,1.09,274,252
86,0,01457,Jay Haas,1.09,312,285
86,0,02033,Dave Rummells,1.09,255,234
86,0,02279,Mark Wiebe,1.09,336,308
92,0,01475,Donnie Hammond,1.08,229,213
92,0,01507,Webb Heintzelman,1.08,282,262
92,0,02292,Bob Wolcott,1.08,285,265
95,0,01381,Fred Funk,1.07,273,254
95,0,01495,Morris Hatalsky,1.07,270,253
95,0,01682,Wayne Levi,1.07,255,238
95,0,01701,Bob Lohr,1.07,297,277
95,0,02111,Mike Smith,1.07,285,267
100,0,01129,Bill Britton,1.06,314,297
100,0,06284,Jim Hallet,1.06,339,319
100,0,01549,Mike Hulbert,1.06,362,340
100,0,02225,Howard Twitty,1.06,284,269
104,0,01068,Andy Bean,1.05,229,218
104,0,01797,Rocco Mediate,1.05,269,256
104,0,02090,Tom Sieckmann,1.05,291,276
104,0,02095,Larry Silveira,1.05,284,271
108,0,01106,Jim Booros,1.04,271,260
108,0,01143,Brad Bryant,1.04,307,296
110,0,06142,Mitch Adcock,1.03,185,180
110,0,01040,Emlyn Aubrey,1.03,321,312
110,0,01154,Bill Buttner,1.03,262,255
110,0,01331,Rick Fehr,1.03,290,281
114,0,01151,Clark Burroughs,1.02,321,316
114,0,01201,Lennie Clements,1.02,263,259
114,0,01288,Ed Dougherty,1.02,234,229
114,0,01346,Ed Fiori,1.02,316,309
114,0,01835,Tommy Moore,1.02,264,258
119,0,01006,John Adams,1.01,310,307
119,0,01355,Raymond Floyd,1.01,172,170
119,0,01639,Kenny Knox,1.01,298,294
119,0,01771,Blaine McCallister,1.01,295,293
123,0,01469,Dan Halldorson,.99,148,149
123,0,02246,Duffy Waldorf,.99,278,280
123,0,02267,D.A. Weibring,.99,196,198
126,0,06118,Greg Bruckner,.98,265,270
126,0,01443,Hubert Green,.98,185,189
126,0,01571,Barry Jaeckel,.98,156,159
126,0,02101,Joey Sindelar,.98,259,263
130,0,01499,Mark Hayes,.97,254,262
130,0,02167,Mike Sullivan,.97,247,255
132,0,06197,Michael Allen,.96,297,309
132,0,01156,Curt Byrum,.96,273,283
132,0,06130,Jeffrey Wilson,.96,215,223
135,0,01310,Dave Eichelberger,.95,334,353
135,0,01553,John Huston,.95,252,266
135,0,01557,John Inman,.95,288,304
135,0,02094,Tony Sills,.95,180,189
135,0,02118,J.C. Snead,.95,211,222
140,0,01266,Clark Dennis,.94,262,280
140,0,01946,Peter Persons,.94,276,295
140,0,02087,Don Shirey Jr.,.94,294,312
140,0,02230,Stan Utley,.94,319,339
140,0,02294,Willie Wood,.94,215,229
145,0,01014,Fulton Allem,.93,224,240
145,0,01093,Ronnie Black,.93,254,273
145,0,01487,Jeff Hart,.93,244,261
145,0,06128,Steve Lamontagne,.93,260,279
145,0,02180,Harry Taylor,.93,175,188
150,0,01641,Gary Koch,.92,178,194
150,0,02185,Lance Ten Broeck,.92,307,332
152,0,01175,Jim Carter,.91,290,319
152,0,01197,Bobby Clampett,.91,182,200
152,0,01303,Bob Eastwood,.91,259,285
152,0,01790,Pat McGowan,.91,260,287
152,0,02215,Paul Trittler,.91,251,275
157,0,01307,Joel Edwards,.90,255,283
158,0,01200,Keith Clearwater,.89,229,256
158,0,01468,Gary Hallberg,.89,270,302
158,0,01736,Roger Maltbie,.89,192,216
161,0,01168,David Canipe,.88,240,272
161,0,01533,P.H. Horgan III,.88,272,309
161,0,01971,Dillard Pruitt,.88,220,251
164,0,01333,Jack Ferenz,.87,154,177
164,0,01925,Jerry Pate,.87,181,208
166,0,01157,Tom Byrum,.86,260,302
166,0,01941,Tom Pernice Jr.,.86,162,189
166,0,02298,Jim Woodward,.86,207,241
169,0,01321,Tom Eubank,.85,166,195
169,0,01458,Jerry Haas,.85,258,303
169,0,02195,Leonard Thompson,.85,283,331
172,0,02224,Greg Twiggs,.84,274,328
173,0,01489,Steve Hart,.83,196,237
174,0,01878,Andy North,.82,193,236
174,0,01891,David Ogrin,.82,239,290
174,0,06132,Sonny Skinner,.82,204,248
177,0,01607,Brian Kamm,.81,141,175
178,0,06144,John Dowdall,.79,156,198
178,0,01522,Lon Hinkle,.79,222,282
178,0,01935,Calvin Peete,.79,177,225
181,0,06148,Dennis Harrington,.78,233,300
181,0,06122,Greg Hickman,.78,176,225
181,0,06136,Mike Schuchart,.78,180,231
184,0,01061,Ray Barr Jr.,.74,175,235
184,0,02245,Grant Waite,.74,198,269
186,0,06124,Patrick Burke,.73,149,203
186,0,06140,Sean Murphy,.73,161,222
188,0,01037,Dewey Arnette,.70,176,253
189,0,06150,Carl Cooper,.68,156,230
190,0,01023,Jerry Anderson,.65,132,202
191,0,02023,Clarence Rose,.64,231,362
192,0,06425,Rick Todd,.49,116,239
