RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,12510,Chad Campbell,95' 3",Northern Trust,2,17 - Par 5
2,0,33448,Justin Thomas,87' 10",Quicken Loans,4,14 - Par 5
3,0,32150,Michael Thompson,84' 9",Byron Nelson,1,17 - Par 3
4,0,22378,Trevor Immelman,82' 6",Barbasol Champ,3,1 - Par 4 -
5,0,32102,Rickie Fowler,81' 5",Phoenix Open,2,3 - Par 5 -
6,0,34174,John Huh,76' 7",Farmers Ins.,1,6 - Par 5 -
7,0,27649,Brandt Snedeker,75' 9",PGA Championshi,4,18 - Par 4
8,0,26300,Matt Jones,75' 4",Arnold Palmer,3,17 - Par 3
9,0,40058,Zac Blair,74' 11",The Barclays,3,12 - Par 5
10,0,34261,Scott Langley,74' 5",Barbasol Champ,2,11 - Par 4
11,0,32139,Danny Willett,74' 2",THE PLAYERS,1,14 - Par 4
12,0,37273,Derek Ernst,73' 5",Travelers Champ,3,14 - Par 4
13,0,34098,Russell Henley,73' 2",PGA Championshi,2,7 - Par 3 -
14,0,22056,Cameron Percy,73' 1",John Deere Clas,2,17 - Par 5
15,0,06567,Vijay Singh,72' 0",PGA Championshi,2,7 - Par 3 -
16,0,30110,Kyle Stanley,71' 5",Phoenix Open,1,14 - Par 4
17,0,29720,Andres Gonzales,71' 4",Crowne Plaza,2,1 - Par 5 -
18,0,34563,Chesson Hadley,70' 9",Zurich Classic,3,2 - Par 5 -
19,0,29478,Kevin Kisner,70' 8",Crowne Plaza,2,7 - Par 4 -
20,0,12716,Charley Hoffman,70' 3",WGC-Bridgestone,2,13 - Par 4
21,0,31323,Gary Woodland,70' 3",Deutsche Bank,1,6 - Par 4 -
22,0,33413,Ben Martin,69' 6",The McGladrey,1,3 - Par 3 -
23,0,24781,Hunter Mahan,69' 4",Arnold Palmer,1,12 - Par 5
24,0,32333,Kevin Tway,68' 11",Shriners Hosp.,2,8 - Par 3 -
25,0,23788,D.J. Trahan,68' 7",Barbasol Champ,4,13 - Par 5
26,0,36801,Mark Hubbard,68' 6",Quicken Loans,1,4 - Par 3 -
27,0,35451,Scott Pinckney,68' 4",John Deere Clas,4,9 - Par 4 -
28,0,25364,Paul Casey,68' 2",Honda Classic,1,1 - Par 4 -
29,0,29910,Blake Adams,68' 1",Farmers Ins.,2,1 - Par 4 -
30,0,24924,Bill Haas,67' 8",Deutsche Bank,2,18 - Par 5
31,0,27933,John Merrick,67' 7",Shriners Hosp.,1,16 - Par 5
32,0,35532,Tom Hoge,67' 7",Canadian Open,2,10 - Par 4
33,0,23983,Luke Donald,66' 8",The Barclays,4,1 - Par 4 -
34,0,25720,Chad Collins,64' 10",The McGladrey,2,13 - Par 4
35,0,24502,Adam Scott,64' 10",WGC-Bridgestone,4,7 - Par 3 -
36,0,25686,Jason Dufner,64' 9",Memorial Tourn,1,6 - Par 4 -
37,0,32839,Hideki Matsuyama,64' 7",Deutsche Bank,2,18 - Par 5
38,0,26476,Chez Reavie,64' 4",St. Jude,2,9 - Par 4 -
39,0,21209,Sergio Garcia,64' 4",BMW Champ,2,9 - Par 4 -
40,0,46435,Austin Cook,64' 2",Barbasol Champ,3,13 - Par 5
41,0,30925,Dustin Johnson,64' 0",TOUR Champ,4,10 - Par 4
42,0,08075,Jerry Kelly,63' 4",Zurich Classic,2,10 - Par 4
43,0,25818,Scott Piercy,63' 4",The Greenbrier,2,18 - Par 3
44,0,35181,Daniel van Tonder,62' 8",WGC-Cadillac,3,4 - Par 3 -
45,0,21961,Charles Howell III,62' 8",Barbasol Champ,3,3 - Par 4 -
46,0,01249,John Daly,62' 2",Sanderson Farms,4,7 - Par 3 -
47,0,28486,Michael Putnam,61' 9",The Greenbrier,2,13 - Par 4
48,0,23135,Tim Clark,61' 8",Hyundai T of C,1,2 - Par 3 -
49,0,27895,Jonas Blixt,61' 8",Shell Houston,4,6 - Par 4 -
50,0,29476,Kyle Reifers,61' 8",The Greenbrier,2,8 - Par 3 -
51,0,02206,David Toms,61' 8",Barbasol Champ,3,16 - Par 5
52,0,34265,Will Wilcox,61' 8",Barbasol Champ,3,16 - Par 5
53,0,27330,Josh Teater,61' 2",Barbasol Champ,4,2 - Par 4 -
54,0,21731,Freddie Jacobson,60' 11",Phoenix Open,4,5 - Par 4 -
55,0,27644,Brian Harman,60' 10",John Deere Clas,3,2 - Par 5 -
56,0,24357,K.J. Choi,60' 9",Zurich Classic,4,3 - Par 3 -
57,0,21878,Mark Wilson,60' 9",Travelers Champ,1,5 - Par 3 -
58,0,06251,Chris DiMarco,60' 2",Sanderson Farms,2,7 - Par 3 -
59,0,29518,Brendan Steele,60' 2",Travelers Champ,4,5 - Par 3 -
60,0,34360,Patrick Reed,60' 0",Hyundai T of C,3,1 - Par 4 -
61,0,22371,Aaron Baddeley,59' 9",Quicken Loans,2,10 - Par 4
62,0,23548,Bill Lunde,59' 4",Wyndham Champ,1,7 - Par 3 -
63,0,21407,Arjun Atwal,59' 1",St. Jude,2,8 - Par 3 -
64,0,23638,Brendon de Jonge,58' 9",Phoenix Open,4,16 - Par 3
65,0,20848,Ángel Cabrera,58' 3",Honda Classic,1,18 - Par 5
66,0,06527,Steve Stricker,58' 3",Zurich Classic,2,6 - Par 4 -
67,0,20229,Stewart Cink,58' 3",John Deere Clas,2,15 - Par 4
68,0,27466,Spencer Levin,57' 10",Northern Trust,4,15 - Par 4
69,0,25632,Jimmy Walker,57' 9",Quicken Loans,4,4 - Par 3 -
70,0,33667,Carlos Ortiz,57' 4",Barbasol Champ,1,3 - Par 4 -
71,0,20472,Alex Cejka,57' 3",St. Jude,2,15 - Par 4
72,0,25562,Andres Romero,57' 3",The Greenbrier,4,4 - Par 4 -
73,0,21528,Henrik Stenson,57' 0",TOUR Champ,4,18 - Par 3
74,0,28780,Nicholas Thompson,56' 11",Valspar Champ,4,14 - Par 5
75,0,29725,Tony Finau,56' 10",Quicken Loans,2,4 - Par 3 -
76,0,25493,Nick Taylor,56' 7",Hyundai T of C,1,7 - Par 4 -
77,0,06522,Ernie Els,56' 5",Quicken Loans,1,15 - Par 4
78,0,32448,James Hahn,56' 4",Farmers Ins.,4,16 - Par 3
79,0,25240,D.A. Points,56' 4",Byron Nelson,1,6 - Par 4 -
80,0,30927,Brendon Todd,56' 4",BMW Champ,1,5 - Par 4 -
81,0,20104,Ken Duke,56' 3",Arnold Palmer,1,14 - Par 3
82,0,21805,Harrison Frazar,56' 2",Shriners Hosp.,2,9 - Par 5 -
83,0,10860,Justin Leonard,56' 1",Texas Open,1,6 - Par 4 -
84,0,31560,Brian Stuard,56' 1",Wyndham Champ,1,11 - Par 4
85,0,35539,Luke Guthrie,55' 11",Zurich Classic,2,17 - Par 3
86,0,25345,Carl Pettersson,55' 8",RBC Heritage,1,14 - Par 3
87,0,25396,Kevin Na,55' 7",Arnold Palmer,3,15 - Par 4
88,0,34264,Hudson Swafford,55' 6",Memorial Tourn,1,13 - Par 4
89,0,28023,Byron Smith,55' 5",Sony Open,2,7 - Par 3 -
90,0,28500,Martin Flores,55' 5",Honda Classic,2,18 - Par 5
91,0,35541,John Peterson,55' 5",Memorial Tourn,2,10 - Par 4
92,0,24140,Sean O'Hair,55' 4",Quicken Loans,1,11 - Par 3
93,0,46970,Jon Rahm,55' 2",Phoenix Open,1,11 - Par 4
94,0,27770,Camilo Villegas,55' 1",The McGladrey,1,13 - Par 4
95,0,29479,Scott Brown,55' 1",Texas Open,1,15 - Par 4
96,0,27064,Jhonattan Vegas,54' 10",Crowne Plaza,3,10 - Par 4
97,0,29223,Sam Saunders,54' 9",The McGladrey,1,14 - Par 4
98,0,26329,Louis Oosthuizen,54' 4",Arnold Palmer,4,11 - Par 4
99,0,25804,Bubba Watson,54' 4",Deutsche Bank,4,3 - Par 3 -
100,0,23108,Matt Kuchar,54' 3",Sony Open,1,15 - Par 4
