RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,117' 11",7899' 8",67
2,0,01810,Phil Mickelson,116' 9",5136' 8",44
3,0,01249,John Daly,116' 4",3257' 0",28
4,0,01706,Davis Love III,113' 10",6714' 7",59
5,0,21959,Ted Purdy,113' 2",6561' 8",58
6,0,26851,Marc Leishman,111' 11",7609' 9",68
7,0,27797,Derek Lamely,111' 5",6239' 2",56
8,0,08375,Paul Stankowski,110' 5",4085' 9",37
9,0,23320,Ryan Palmer,110' 1",7595' 3",69
10,0,23349,Charles Warren,109' 7",4383' 3",40
11,0,27436,Graham DeLaet,108' 8",5107',47
12,0,24925,Jonathan Byrd,108' 0",7450' 9",69
13,0,20766,Padraig Harrington,107' 7",5055',47
14,0,27302,Garth Mulroy,105' 11",3813' 3",36
15,0,30925,Dustin Johnson,105' 10",6244',59
16,0,32102,Rickie Fowler,105' 9",8565',81
17,0,25562,Andres Romero,105' 0",6405',61
18,0,27120,Troy Matteson,104' 10",7234' 2",69
19,0,06567,Vijay Singh,104' 2",6144',59
20,0,11123,Chris Couch,103' 10",4257' 2",41
21,0,25818,Scott Piercy,103' 9",6121' 1",59
22,0,01161,Mark Calcavecchia,102' 9",3905' 2",38
23,0,23541,Ben Crane,102' 1",7045' 6",69
24,0,28237,Rory McIlroy,102' 0",4080' 1",40
24,0,20663,Brenden Pappas,102' 0",4080' 9",40
26,0,25632,Jimmy Walker,101' 10",5599' 0",55
27,0,06595,Kevin Sutherland,101' 9",7225' 6",71
28,0,28158,Steve Marino,101' 8",6808',67
29,0,20157,Retief Goosen,101' 7",4876' 5",48
30,0,21878,Mark Wilson,100' 9",6853' 2",68
31,0,22371,Aaron Baddeley,100' 1",7703' 8",77
32,0,22046,Geoff Ogilvy,99' 11",5495' 0",55
33,0,21949,Joe Ogilvie,99' 10",7690' 1",77
33,0,26679,Kevin Stadler,99' 10",5988' 4",60
35,0,25364,Paul Casey,99' 9",3392' 6",34
36,0,23307,Roger Tambellini,99' 8",5383' 1",54
37,0,26287,Roland Thatcher,99' 3",5757' 5",58
38,0,27933,John Merrick,98' 11",8110' 3",82
39,0,30946,Alex Prugh,98' 4",6489' 1",66
40,0,20472,Alex Cejka,98' 2",5695' 6",58
41,0,24358,Robert Garrigus,97' 7",3902' 9",40
42,0,22056,Cameron Percy,97' 4",4768' 8",49
42,0,27330,Josh Teater,97' 4",7400' 4",76
44,0,23983,Luke Donald,97' 3",5542' 6",57
45,0,07749,Brett Quigley,96' 8",6957' 2",72
46,0,23621,Rory Sabbatini,96' 7",5022',52
47,0,20229,Stewart Cink,96' 6",6370' 3",66
47,0,27649,Brandt Snedeker,96' 6",7527' 2",78
49,0,28780,Nicholas Thompson,96' 4",6358' 2",66
50,0,07867,Woody Austin,96' 3",6350' 1",66
51,0,20850,Daniel Chopra,96' 2",5480' 7",57
51,0,28475,Jeff Overton,96' 2",6153' 6",64
53,0,33419,Cameron Tringale,95' 9",3639' 2",38
54,0,12716,Charley Hoffman,95' 8",6885' 7",72
55,0,23548,Bill Lunde,95' 4",5434' 0",57
55,0,24490,George McNeill,95' 4",5337' 8",56
57,0,01766,Billy Mayfair,94' 5",5005' 6",53
58,0,26300,Matt Jones,94' 3",6879' 9",73
58,0,22913,John Rollins,94' 3",6693' 3",71
60,0,20574,Mathew Goggin,94' 2",4992' 9",53
60,0,23325,Vaughn Taylor,94' 2",6496' 7",69
62,0,20098,Stuart Appleby,94' 0",7988' 6",85
62,0,22405,Justin Rose,94' 0",6016',64
64,0,25804,Bubba Watson,93' 9",5626' 5",60
65,0,24912,Will MacKenzie,93' 8",5432' 8",58
66,0,21209,Sergio Garcia,93' 4",3172' 7",34
66,0,26882,Michael Sim,93' 4",4480' 1",48
68,0,20105,Jeff Gove,93' 1",3256' 8",35
69,0,23613,Rich Barcelo,92' 9",4267',46
69,0,06251,Chris DiMarco,92' 9",5474' 6",59
71,0,28620,Aron Price,92' 8",4447' 2",48
72,0,23623,Bo Van Pelt,92' 7",7220' 2",78
73,0,23788,D.J. Trahan,92' 5",7303' 7",79
74,0,10885,Robert Allenby,92' 4",5263' 2",57
74,0,21753,Brian Davis,92' 4",6830' 1",74
74,0,06527,Steve Stricker,92' 4",5819' 3",63
77,0,12782,Tim Herron,92' 0",5334' 5",58
78,0,20378,Mathias Grönberg,91' 10",3396' 6",37
79,0,22122,Andrew McLardy,91' 9",2752' 9",30
80,0,22293,Heath Slocum,91' 8",7150' 7",78
81,0,28089,Jason Day,91' 7",5679' 5",62
82,0,24140,Sean O'Hair,91' 6",5853' 7",64
82,0,32617,Jerod Turner,91' 6",3293' 6",36
84,0,26392,Chris Wilson,91' 4",4019' 7",44
85,0,20848,Ángel Cabrera,91' 0",4825' 1",53
86,0,06522,Ernie Els,90' 8",5167',57
87,0,02206,David Toms,90' 7",6069' 4",67
88,0,09011,David Duval,90' 4",3522' 0",39
88,0,24361,Pat Perez,90' 4",6412',71
90,0,21350,Ryuji Imada,90' 1",7207' 9",80
91,0,31560,Brian Stuard,89' 10",5928' 8",66
92,0,23353,J.J. Henry,89' 7",6088',68
93,0,22621,Ben Curtis,89' 3",5980' 8",67
94,0,24138,Ian Poulter,89' 2",3210' 3",36
94,0,24502,Adam Scott,89' 2",5170' 8",58
96,0,27214,Kevin Streelman,89' 0",6229' 3",70
97,0,01577,Lee Janzen,88' 10",5062' 8",57
98,0,24024,Zach Johnson,88' 7",6824' 0",77
99,0,23673,Michael Connell,88' 5",6103' 1",69
100,0,01941,Tom Pernice Jr.,88' 4",3886' 7",44
101,0,27060,John Mallinger,88' 0",4312' 6",49
101,0,27963,Chris Stroud,88' 0",5190' 2",59
103,0,24781,Hunter Mahan,87' 11",6506' 1",74
104,0,24507,Jason Bohn,87' 9",6755' 8",77
105,0,01707,Steve Lowery,87' 7",3855' 0",44
106,0,06012,Greg Kraft,87' 5",2885' 1",33
106,0,25345,Carl Pettersson,87' 5",7605' 7",87
108,0,01797,Rocco Mediate,87' 4",4802' 8",55
109,0,29221,Webb Simpson,87' 3",7414' 1",85
110,0,28500,Martin Flores,87' 2",4705' 1",54
111,0,29910,Blake Adams,86' 10",5733' 3",66
111,0,32640,Troy Merritt,86' 10",5646' 0",65
113,0,26695,Michael Letzig,86' 8",5892' 2",68
114,0,01945,Kenny Perry,86' 5",5100' 3",59
115,0,10585,Scott McCarron,86' 4",6131' 6",71
116,0,26881,Jarrod Lyle,86' 3",3449' 6",40
117,0,12652,Cameron Beckman,85' 10",4634' 2",54
117,0,25240,D.A. Points,85' 10",6008' 7",70
119,0,23322,Brett Wetterich,85' 9",3172' 2",37
120,0,20691,Greg Owen,85' 4",5034' 7",59
121,0,28087,Kris Blanks,84' 11",5601' 9",66
121,0,08537,J.P. Hayes,84' 11",5437' 0",64
123,0,08075,Jerry Kelly,84' 10",6195',73
124,0,27936,Martin Laird,84' 8",6178' 6",73
125,0,20070,Matt Bettencourt,84' 4",4302' 0",51
125,0,27613,David Lutterus,84' 4",3541' 5",42
127,0,26289,Boo Weekley,84' 3",5895',70
128,0,22946,Henrik Bjornstad,83' 11",4109',49
128,0,07363,Craig Bowden,83' 11",3105' 8",37
130,0,20645,John Senden,83' 10",6789' 3",81
131,0,24924,Bill Haas,83' 8",6105' 7",73
131,0,27466,Spencer Levin,83' 8",6857' 7",82
133,0,23638,Brendon de Jonge,83' 7",7438' 9",89
133,0,06514,Kevin Johnson,83' 7",3426' 8",41
135,0,01313,Steve Elkington,83' 6",4257' 8",51
136,0,28307,Matt Every,83' 4",3416' 6",41
137,0,24227,Justin Bolli,83' 1",3072' 7",37
138,0,27770,Camilo Villegas,83' 0",4234' 3",51
139,0,23800,Bryce Molder,82' 9",5709' 3",69
140,0,20436,Garrett Willis,81' 9",5230' 1",64
141,0,12714,Chris Tidland,81' 7",4815' 5",59
141,0,12602,Dean Wilson,81' 7",2774' 0",34
143,0,26301,James Nitties,81' 5",4398' 6",54
144,0,01724,Jeff Maggert,81' 0",4778' 6",59
145,0,23108,Matt Kuchar,80' 10",6065' 6",75
146,0,12705,Cliff Kresge,80' 5",2654' 2",33
147,0,20498,Briny Baird,80' 4",5301' 5",66
147,0,23409,James Driscoll,80' 4",4898' 9",61
149,0,12510,Chad Campbell,80' 1",5526' 9",69
149,0,25892,Steve Wheatcroft,80' 1",3604' 3",45
151,0,20160,Charlie Wi,79' 10",5984' 8",75
152,0,12755,Vance Veazey,79' 6",3181' 0",40
153,0,24357,K.J. Choi,78' 11",4737' 2",60
153,0,23135,Tim Clark,78' 11",5052' 1",64
153,0,26420,Richard Johnson,78' 11",4342' 5",55
156,0,01619,Skip Kendall,78' 10",2995' 9",38
157,0,25686,Jason Dufner,78' 9",4960' 3",63
157,0,06621,Joe Durant,78' 9",3463' 7",44
157,0,08385,Omar Uresti,78' 9",4173' 7",53
160,0,27095,Nick Watney,78' 3",5476' 6",70
161,0,26596,Ryan Moore,78' 2",4765' 9",61
162,0,25720,Chad Collins,77' 9",5752' 4",74
163,0,20686,Jeev Milkha Singh,77' 4",2628' 9",34
163,0,10425,Jay Williamson,77' 4",4098',53
165,0,07457,Steve Flesch,77' 3",4018' 3",52
166,0,01116,Michael Bradley,77' 2",3471' 3",45
167,0,24663,Y.E. Yang,77' 1",3775' 3",49
168,0,19846,Brian Gay,76' 5",6498' 3",85
168,0,20572,Rod Pampling,76' 5",4584' 0",60
170,0,06643,Paul Goydos,76' 4",4962' 6",65
171,0,01948,Tim Petrovic,76' 0",6005' 2",79
172,0,10809,Jim Furyk,74' 8",5078' 5",68
173,0,20593,Greg Chalmers,74' 7",6341' 7",85
173,0,02239,Scott Verplank,74' 7",4400' 2",59
175,0,10860,Justin Leonard,74' 6",5440' 6",73
176,0,25900,Lucas Glover,74' 5",4167' 6",56
177,0,06004,Stephen Ames,73' 10",4059' 9",55
178,0,24846,Ricky Barnes,73' 4",5574' 6",76
179,0,26951,Johnson Wagner,72' 8",4942' 6",68
