RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,30925,Dustin Johnson,201.9,11911.2,59
2,0,27141,J.B. Holmes,201.8,13520.0,67
3,0,27436,Graham DeLaet,198.6,9333.2,47
4,0,11123,Chris Couch,198.2,8124.3,41
5,0,22371,Aaron Baddeley,197.2,15183.8,77
6,0,25804,Bubba Watson,196.8,11809.1,60
7,0,12716,Charley Hoffman,195.3,14060.7,72
8,0,23409,James Driscoll,194.4,11860.6,61
9,0,24502,Adam Scott,194.3,11269.9,58
10,0,01249,John Daly,193.7,5424.6,28
11,0,24358,Robert Garrigus,193.4,7734.9,40
11,0,25632,Jimmy Walker,193.4,10637.7,55
13,0,25364,Paul Casey,193.3,6571.8,34
13,0,01810,Phil Mickelson,193.3,8507.0,44
15,0,20848,Ángel Cabrera,192.6,10208.8,53
16,0,21209,Sergio Garcia,192.4,6541.3,34
17,0,01706,Davis Love III,192.1,11333.8,59
18,0,26851,Marc Leishman,191.9,13046.5,68
19,0,23322,Brett Wetterich,191.7,7093.0,37
20,0,24924,Bill Haas,191.6,13983.8,73
20,0,23349,Charles Warren,191.6,7663.9,40
22,0,28500,Martin Flores,191.3,10328.2,54
23,0,27120,Troy Matteson,191.1,13183.0,69
23,0,27095,Nick Watney,191.1,13374.8,70
25,0,25562,Andres Romero,190.4,11613.3,61
26,0,21961,Charles Howell III,189.8,16320.8,86
26,0,27797,Derek Lamely,189.8,10628.4,56
28,0,20691,Greg Owen,189.4,11176.5,59
29,0,27302,Garth Mulroy,189.0,6803.4,36
30,0,20645,John Senden,188.9,15302.3,81
31,0,24490,George McNeill,188.7,10564.4,56
32,0,28158,Steve Marino,188.6,12639.2,67
33,0,28089,Jason Day,188.5,11685.0,62
33,0,23320,Ryan Palmer,188.5,13005.3,69
35,0,26300,Matt Jones,188.3,13743.2,73
35,0,27936,Martin Laird,188.3,13742.6,73
37,0,30946,Alex Prugh,188.2,12421.2,66
38,0,24925,Jonathan Byrd,188.1,12977.8,69
38,0,20229,Stewart Cink,188.1,12415.9,66
40,0,22122,Andrew McLardy,188.0,5640.3,30
41,0,20850,Daniel Chopra,187.9,10708.1,57
41,0,28237,Rory McIlroy,187.9,7514.3,40
43,0,23788,D.J. Trahan,187.8,14837.3,79
44,0,25818,Scott Piercy,187.6,11068.4,59
45,0,21959,Ted Purdy,187.5,10874.2,58
