RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,54576,Patrick Fishburn,78.20%,782,1000,-244.00
2,0,46046,Scottie Scheffler,77.60%,866,1116,-343.00
3,0,52375,Doug Ghim,77.51%,1096,1414,-347.00
4,0,50095,Austin Smotherman,77.19%,521,675,-161.00
5,0,35310,Lanto Griffin,76.89%,795,1034,-258.00
6,0,39546,Keith Mitchell,76.32%,1044,1368,-383.00
7,0,27064,Jhonattan Vegas,76.23%,837,1098,-270.00
8,0,32757,Patton Kizzire,76.11%,723,950,-242.00
9,0,46414,Aaron Rai,76.07%,1027,1350,-318.00
10,0,45242,Kevin Yu,75.84%,898,1184,-269.00
11,0,30163,Henrik Norlander,75.74%,662,874,-219.00
12,0,39997,Corey Conners,75.71%,1063,1404,-362.00
13,0,47988,Nick Hardy,75.66%,1035,1368,-330.00
14,0,34587,Chan Kim,75.20%,961,1278,-299.00
15,0,51696,Rico Hoey,74.96%,904,1206,-315.00
16,0,29725,Tony Finau,74.88%,957,1278,-343.00
17,0,40026,Daniel Berger,74.70%,800,1071,-255.00
18,0,39324,J.J. Spaun,74.66%,981,1314,-330.00
19,0,34076,Joel Dahmen,74.50%,976,1310,-276.00
20,0,48117,Kurt Kitayama,74.44%,938,1260,-321.00
21,0,34255,Joseph Bramlett,74.42%,957,1286,-305.00
22,0,51997,Andrew Novak,74.15%,1024,1381,-344.00
23,0,34021,Bud Cauley,74.07%,674,910,-192.00
23,0,48081,Xander Schauffele,74.07%,920,1242,-342.00
25,0,36871,Matt NeSmith,74.01%,826,1116,-221.00
26,0,59143,Mac Meissner,73.85%,864,1170,-284.00
27,0,52513,Carson Young,73.54%,973,1323,-315.00
28,0,39975,Michael Kim,73.53%,828,1126,-276.00
29,0,29535,Brice Garnett,73.51%,569,774,-166.00
30,0,40006,Erik van Rooyen,73.49%,926,1260,-327.00
31,0,47663,Kevin Dougherty,73.44%,661,900,-205.00
32,0,52955,Ludvig Ãberg,73.43%,865,1178,-315.00
33,0,54591,Ben Griffin,73.35%,1197,1632,-397.00
34,0,51634,Sahith Theegala,73.27%,1121,1530,-391.00
35,0,48887,Matt Wallace,73.26%,759,1036,-240.00
36,0,55893,Sam Stevens,73.25%,1049,1432,-344.00
37,0,46340,Alex Smalley,73.16%,777,1062,-244.00
38,0,28775,Nate Lashley,73.11%,813,1112,-238.00
39,0,51287,Ryo Hisatsune,73.04%,913,1250,-272.00
40,0,25900,Lucas Glover,73.01%,1009,1382,-339.00
41,0,51890,Greyson Sigg,72.87%,862,1183,-212.00
42,0,36699,Patrick Rodgers,72.84%,1161,1594,-374.00
43,0,60067,Joe Highsmith,72.75%,753,1035,-264.00
43,0,58168,Davis Thompson,72.75%,1044,1435,-347.00
45,0,35461,Beau Hossler,72.71%,1034,1422,-354.00
46,0,33948,Byeong Hun An,72.64%,863,1188,-305.00
47,0,60004,Jacob Bridgeman,72.59%,784,1080,-281.00
48,0,48867,Matti Schmid,72.57%,823,1134,-284.00
49,0,40162,Justin Lower,72.31%,1076,1488,-332.00
50,0,54628,Lee Hodges,72.27%,1113,1540,-324.00
51,0,32333,Kevin Tway,72.16%,578,801,-178.00
52,0,46442,Maverick McNealy,72.14%,1020,1414,-361.00
52,0,31323,Gary Woodland,72.14%,932,1292,-308.00
54,0,28237,Rory McIlroy,72.13%,805,1116,-304.00
55,0,50484,Hayden Springer,72.12%,719,997,-250.00
56,0,51349,Nico Echavarria,72.10%,902,1251,-298.00
57,0,34256,Andrew Putnam,72.07%,970,1346,-288.00
58,0,36884,Ben Kohles,72.06%,944,1310,-262.00
58,0,27139,David Skinns,72.06%,882,1224,-259.00
60,0,52372,Cameron Champ,71.98%,632,878,-207.00
60,0,51070,Vincent Norrman,71.98%,596,828,-130.00
62,0,39327,Ben Silverman,71.91%,919,1278,-281.00
63,0,32366,Kevin Chappell,71.90%,527,733,-167.00
64,0,36801,Mark Hubbard,71.79%,1130,1574,-389.00
65,0,32839,Hideki Matsuyama,71.70%,826,1152,-288.00
66,0,48319,Tom Whitney,71.67%,645,900,-184.00
67,0,30911,Tommy Fleetwood,71.61%,825,1152,-262.00
68,0,48084,Wesley Bryan,71.59%,451,630,-150.00
69,0,27349,Alex Noren,71.57%,773,1080,-240.00
70,0,36326,David Lipsky,71.55%,747,1044,-224.00
71,0,28252,Seamus Power,71.54%,1146,1602,-373.00
72,0,26476,Chez Reavie,71.49%,717,1003,-208.00
73,0,46717,Viktor Hovland,71.47%,669,936,-248.00
73,0,37378,Min Woo Lee,71.47%,759,1062,-270.00
75,0,32367,Jorge Campillo,71.43%,540,756,-171.00
75,0,27129,Luke List,71.43%,845,1183,-284.00
77,0,29908,C.T. Pan,71.41%,732,1025,-236.00
78,0,34563,Chesson Hadley,71.40%,784,1098,-250.00
79,0,40115,Adam Svensson,71.37%,1279,1792,-380.00
80,0,59836,Pierceson Coody,71.33%,796,1116,-282.00
81,0,39971,Sungjae Im,71.31%,1014,1422,-373.00
82,0,50493,Justin Suh,71.24%,795,1116,-265.00
83,0,45609,Tyler Duncan,71.23%,718,1008,-208.00
84,0,26596,Ryan Moore,71.09%,819,1152,-210.00
85,0,24024,Zach Johnson,71.06%,550,774,-165.00
86,0,54783,Dylan Wu,71.03%,895,1260,-283.00
87,0,29936,Ryan Fox,71.01%,882,1242,-315.00
88,0,33141,Keegan Bradley,70.97%,907,1278,-302.00
89,0,47679,Victor Perez,70.95%,779,1098,-239.00
90,0,52514,Trace Crowe,70.92%,673,949,-257.00
91,0,59095,Chris Gotterup,70.88%,842,1188,-257.00
92,0,56149,Wilson Furr,70.80%,582,822,-177.00
93,0,27214,Kevin Streelman,70.76%,726,1026,-240.00
94,0,12716,Charley Hoffman,70.67%,776,1098,-266.00
95,0,36799,Stephan Jaeger,70.62%,928,1314,-322.00
96,0,51977,Max Greyserman,70.57%,813,1152,-284.00
97,0,27936,Martin Laird,70.56%,731,1036,-213.00
97,0,33448,Justin Thomas,70.56%,762,1080,-265.00
99,0,49947,Taylor Moore,70.52%,1110,1574,-366.00
100,0,52215,Robert MacIntyre,70.46%,799,1134,-264.00
101,0,54421,Garrick Higgo,70.44%,796,1130,-268.00
102,0,40250,Taylor Pendrith,70.42%,900,1278,-331.00
103,0,38991,Alejandro Tosti,70.38%,770,1094,-267.00
104,0,52453,Nicolai HÃ¸jgaard,70.37%,570,810,-160.00
105,0,32070,Rafael Campos,70.33%,557,792,-160.00
105,0,35532,Tom Hoge,70.33%,1152,1638,-413.00
107,0,57366,Cameron Young,70.29%,911,1296,-310.00
108,0,27770,Camilo Villegas,70.27%,553,787,-151.00
109,0,47983,Chad Ramey,70.19%,869,1238,-264.00
110,0,32791,K.H. Lee,70.18%,859,1224,-275.00
111,0,33204,Shane Lowry,70.13%,770,1098,-259.00
112,0,49960,Sepp Straka,70.12%,833,1188,-260.00
113,0,34046,Jordan Spieth,70.11%,795,1134,-280.00
114,0,49771,J.T. Poston,70.10%,966,1378,-329.00
115,0,37275,Sam Ryder,70.09%,757,1080,-262.00
116,0,55182,Tom Kim,70.06%,908,1296,-309.00
117,0,33486,Roger Sloan,69.91%,676,967,-205.00
118,0,51766,Wyndham Clark,69.89%,780,1116,-313.00
119,0,57362,Austin Eckroat,69.86%,978,1400,-327.00
119,0,46113,Ryan McCormick,69.86%,591,846,-181.00
121,0,56630,Akshay Bhatia,69.83%,993,1422,-339.00
122,0,27644,Brian Harman,69.80%,987,1414,-338.00
122,0,24502,Adam Scott,69.80%,779,1116,-275.00
124,0,30926,Chris Kirk,69.73%,841,1206,-282.00
125,0,47420,Jake Knapp,69.72%,859,1232,-294.00
126,0,29420,Billy Horschel,69.65%,840,1206,-259.00
127,0,37455,Si Woo Kim,69.59%,977,1404,-345.00
128,0,33968,ThorbjÃ¸rn Olesen,69.58%,501,720,-170.00
129,0,31646,Emiliano Grillo,69.55%,964,1386,-310.00
130,0,52374,Brandon Wu,69.54%,783,1126,-221.00
131,0,33399,Adam Hadwin,69.53%,883,1270,-301.00
132,0,34099,Harris English,69.50%,973,1400,-318.00
133,0,57975,Harry Hall,69.48%,888,1278,-343.00
133,0,48699,Callum Tarren,69.48%,717,1032,-197.00
135,0,50497,Adrien Dumont de Chassart,69.40%,719,1036,-208.00
135,0,47483,Will Zalatoris,69.40%,737,1062,-205.00
137,0,48153,Matthieu Pavon,69.39%,662,954,-202.00
138,0,47995,Davis Riley,69.32%,870,1255,-313.00
139,0,32640,Troy Merritt,69.13%,719,1040,-239.00
140,0,50525,Collin Morikawa,69.00%,857,1242,-332.00
141,0,32102,Rickie Fowler,68.95%,844,1224,-272.00
142,0,25493,Nick Taylor,68.93%,943,1368,-295.00
143,0,52666,Sami Valimaki,68.91%,707,1026,-234.00
144,0,47504,Sam Burns,68.86%,818,1188,-333.00
144,0,27330,Josh Teater,68.86%,471,684,-110.00
146,0,55708,Hayden Buckley,68.70%,742,1080,-214.00
147,0,47347,Adam Schenk,68.64%,998,1454,-320.00
148,0,45157,Cam Davis,68.44%,887,1296,-315.00
149,0,60767,Blaine Hale Jr.,68.42%,468,684,-137.00
150,0,28420,Ryan Brehm,68.41%,563,823,-153.00
151,0,57900,Chandler Phillips,68.28%,919,1346,-334.00
152,0,51894,Vince Whaley,68.22%,657,963,-223.00
153,0,40098,Matt Fitzpatrick,68.19%,761,1116,-266.00
154,0,35450,Patrick Cantlay,68.18%,675,990,-259.00
155,0,35506,Mackenzie Hughes,67.90%,1024,1508,-375.00
156,0,59866,Nick Dunlap,67.88%,782,1152,-284.00
157,0,40058,Zac Blair,67.87%,904,1332,-251.00
158,0,37212,Paul Barjon,67.68%,536,792,-179.00
159,0,39977,Max Homa,67.47%,838,1242,-281.00
160,0,46441,Robby Shelton,67.46%,796,1180,-263.00
161,0,34098,Russell Henley,67.45%,777,1152,-268.00
162,0,28089,Jason Day,67.42%,716,1062,-269.00
163,0,23108,Matt Kuchar,67.33%,812,1206,-241.00
164,0,22405,Justin Rose,67.30%,642,954,-212.00
165,0,59442,Parker Coody,67.01%,579,864,-156.00
166,0,47591,Eric Cole,66.98%,1154,1723,-437.00
167,0,50188,S.H. Kim,66.67%,1074,1611,-414.00
167,0,23320,Ryan Palmer,66.67%,432,648,-121.00
167,0,55454,Carl Yuan,66.67%,648,972,-204.00
170,0,48119,Ben Taylor,66.56%,647,972,-196.00
171,0,33408,Tyson Alexander,66.33%,721,1087,-243.00
172,0,47993,Denny McCarthy,66.20%,936,1414,-335.00
173,0,29221,Webb Simpson,65.90%,576,874,-184.00
174,0,33653,Thomas Detry,65.81%,770,1170,-266.00
175,0,27649,Brandt Snedeker,65.67%,612,932,-164.00
176,0,30927,Brendon Todd,65.21%,1044,1601,-325.00
177,0,45522,Christiaan Bezuidenhout,64.66%,838,1296,-271.00
178,0,34466,Peter Malnati,64.56%,787,1219,-231.00
179,0,29478,Kevin Kisner,64.54%,546,846,-154.00
180,0,35617,Martin Trainer,64.53%,473,733,-138.00
181,0,34374,Erik Barnes,64.52%,511,792,-150.00
182,0,22371,Aaron Baddeley,63.28%,672,1062,-201.00
183,0,55789,Taylor Montgomery,62.53%,524,838,-182.00
184,0,47806,Raul Pereda,59.88%,388,648,-101.00
