RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,46046,Scottie Scheffler,83.91%,558,665
2,0,35310,Lanto Griffin,83.57%,519,621
3,0,50095,Austin Smotherman,83.26%,398,478
4,0,52375,Doug Ghim,83.06%,711,856
5,0,45242,Kevin Yu,82.48%,499,605
6,0,27064,Jhonattan Vegas,82.45%,484,587
7,0,54576,Patrick Fishburn,82.40%,501,608
8,0,30163,Henrik Norlander,82.21%,513,624
9,0,48084,Wesley Bryan,82.08%,348,424
10,0,34255,Joseph Bramlett,81.78%,534,653
11,0,39546,Keith Mitchell,81.60%,541,663
12,0,39975,Michael Kim,81.47%,532,653
13,0,59836,Pierceson Coody,81.39%,516,634
14,0,48081,Xander Schauffele,81.29%,543,668
15,0,35461,Beau Hossler,81.11%,571,704
16,0,48867,Matti Schmid,81.03%,534,659
17,0,55893,Sam Stevens,80.97%,651,804
18,0,33948,Byeong Hun An,80.93%,454,561
19,0,51997,Andrew Novak,80.92%,543,671
20,0,46113,Ryan McCormick,80.90%,377,466
20,0,36699,Patrick Rodgers,80.90%,665,822
22,0,47988,Nick Hardy,80.89%,584,722
23,0,39324,J.J. Spaun,80.85%,553,684
24,0,39997,Corey Conners,80.84%,633,783
25,0,58168,Davis Thompson,80.80%,623,771
26,0,12716,Charley Hoffman,80.71%,456,565
27,0,36326,David Lipsky,80.63%,487,604
28,0,29535,Brice Garnett,80.47%,379,471
28,0,36871,Matt NeSmith,80.47%,515,640
30,0,59143,Mac Meissner,80.26%,496,618
31,0,59442,Parker Coody,80.00%,324,405
32,0,46340,Alex Smalley,79.94%,514,643
33,0,47995,Davis Riley,79.93%,458,573
34,0,60004,Jacob Bridgeman,79.84%,515,645
35,0,34587,Chan Kim,79.80%,569,713
36,0,48119,Ben Taylor,79.79%,375,470
37,0,54591,Ben Griffin,79.76%,733,919
38,0,32333,Kevin Tway,79.69%,416,522
39,0,51070,Vincent Norrman,79.65%,317,398
40,0,60067,Joe Highsmith,79.61%,484,608
41,0,40250,Taylor Pendrith,79.54%,482,606
42,0,51349,Nico Echavarria,79.47%,635,799
43,0,40026,Daniel Berger,79.46%,592,745
44,0,29725,Tony Finau,79.44%,510,642
44,0,46442,Maverick McNealy,79.44%,622,783
46,0,52955,Ludvig Ãberg,79.39%,520,655
47,0,51287,Ryo Hisatsune,79.38%,585,737
48,0,32070,Rafael Campos,79.36%,396,499
49,0,54783,Dylan Wu,79.29%,536,676
50,0,34563,Chesson Hadley,79.27%,432,545
51,0,40006,Erik van Rooyen,79.24%,523,660
52,0,54628,Lee Hodges,79.17%,669,845
53,0,39327,Ben Silverman,79.06%,536,678
53,0,51634,Sahith Theegala,79.06%,604,764
55,0,34021,Bud Cauley,79.05%,366,463
56,0,46414,Aaron Rai,79.00%,677,857
57,0,57366,Cameron Young,78.99%,534,676
58,0,51977,Max Greyserman,78.95%,495,627
59,0,33141,Keegan Bradley,78.93%,547,693
60,0,27139,David Skinns,78.91%,494,626
61,0,27770,Camilo Villegas,78.83%,365,463
62,0,48117,Kurt Kitayama,78.80%,513,651
63,0,32757,Patton Kizzire,78.79%,431,547
64,0,32839,Hideki Matsuyama,78.78%,479,608
64,0,52513,Carson Young,78.78%,661,839
66,0,34076,Joel Dahmen,78.75%,656,833
67,0,27936,Martin Laird,78.72%,481,611
67,0,40162,Justin Lower,78.72%,640,813
67,0,33448,Justin Thomas,78.72%,407,517
70,0,33486,Roger Sloan,78.71%,462,587
71,0,25900,Lucas Glover,78.69%,709,901
72,0,28252,Seamus Power,78.65%,678,862
73,0,26596,Ryan Moore,78.60%,551,701
74,0,55182,Tom Kim,78.55%,564,718
75,0,60767,Blaine Hale Jr.,78.50%,303,386
76,0,32791,K.H. Lee,78.45%,535,682
77,0,50484,Hayden Springer,78.41%,465,593
78,0,48887,Matt Wallace,78.38%,388,495
79,0,40115,Adam Svensson,78.35%,767,979
80,0,52453,Nicolai HÃ¸jgaard,78.32%,336,429
81,0,47983,Chad Ramey,78.31%,585,747
82,0,51696,Rico Hoey,78.21%,578,739
83,0,47679,Victor Perez,78.15%,465,595
84,0,57975,Harry Hall,78.11%,496,635
85,0,52215,Robert MacIntyre,77.98%,439,563
86,0,47663,Kevin Dougherty,77.96%,375,481
87,0,50497,Adrien Dumont de Chassart,77.93%,445,571
88,0,59866,Nick Dunlap,77.91%,402,516
89,0,35532,Tom Hoge,77.89%,666,855
90,0,32366,Kevin Chappell,77.80%,361,464
91,0,34256,Andrew Putnam,77.76%,563,724
92,0,59095,Chris Gotterup,77.73%,377,485
93,0,51890,Greyson Sigg,77.70%,533,686
93,0,51894,Vince Whaley,77.70%,425,547
95,0,54421,Garrick Higgo,77.67%,487,627
96,0,55789,Taylor Montgomery,77.66%,285,367
97,0,26476,Chez Reavie,77.55%,501,646
98,0,37378,Min Woo Lee,77.52%,407,525
99,0,47347,Adam Schenk,77.43%,597,771
100,0,27214,Kevin Streelman,77.38%,479,619
101,0,49960,Sepp Straka,77.35%,584,755
102,0,36801,Mark Hubbard,77.27%,707,915
103,0,27349,Alex Noren,77.25%,472,611
104,0,23108,Matt Kuchar,77.16%,517,670
105,0,48319,Tom Whitney,77.15%,476,617
106,0,55708,Hayden Buckley,77.13%,499,647
107,0,56149,Wilson Furr,77.05%,329,427
108,0,52372,Cameron Champ,77.04%,369,479
109,0,33204,Shane Lowry,76.97%,498,647
109,0,52374,Brandon Wu,76.97%,538,699
111,0,51766,Wyndham Clark,76.94%,397,516
112,0,29420,Billy Horschel,76.93%,517,672
113,0,36884,Ben Kohles,76.92%,640,832
114,0,46717,Viktor Hovland,76.86%,372,484
115,0,27129,Luke List,76.75%,482,628
116,0,27330,Josh Teater,76.74%,353,460
117,0,29936,Ryan Fox,76.73%,432,563
118,0,47504,Sam Burns,76.70%,484,631
119,0,36799,Stephan Jaeger,76.69%,510,665
120,0,28775,Nate Lashley,76.56%,526,687
121,0,28237,Rory McIlroy,76.55%,444,580
122,0,32102,Rickie Fowler,76.53%,499,652
122,0,37275,Sam Ryder,76.53%,525,686
124,0,45522,Christiaan Bezuidenhout,76.51%,482,630
125,0,38991,Alejandro Tosti,76.48%,387,506
126,0,49771,J.T. Poston,76.47%,598,782
127,0,48153,Matthieu Pavon,76.44%,425,556
128,0,24502,Adam Scott,76.43%,441,577
129,0,33399,Adam Hadwin,76.28%,521,683
129,0,47483,Will Zalatoris,76.28%,418,548
131,0,45609,Tyler Duncan,76.15%,498,654
132,0,34046,Jordan Spieth,76.14%,466,612
133,0,48699,Callum Tarren,76.07%,391,514
134,0,31646,Emiliano Grillo,76.06%,575,756
135,0,30926,Chris Kirk,76.02%,539,709
136,0,28089,Jason Day,76.01%,450,592
137,0,50493,Justin Suh,76.00%,494,650
138,0,29908,C.T. Pan,75.90%,400,527
139,0,46441,Robby Shelton,75.87%,478,630
140,0,47420,Jake Knapp,75.81%,445,587
141,0,52514,Trace Crowe,75.80%,429,566
142,0,32367,Jorge Campillo,75.74%,334,441
143,0,35506,Mackenzie Hughes,75.69%,548,724
144,0,34099,Harris English,75.68%,644,851
145,0,49947,Taylor Moore,75.65%,615,813
146,0,31323,Gary Woodland,75.33%,458,608
147,0,40098,Matt Fitzpatrick,75.32%,473,628
147,0,39977,Max Homa,75.32%,470,624
149,0,30911,Tommy Fleetwood,75.29%,518,688
150,0,27644,Brian Harman,75.28%,615,817
151,0,47591,Eric Cole,75.03%,640,853
152,0,39971,Sungjae Im,74.97%,578,771
153,0,35450,Patrick Cantlay,74.91%,400,534
154,0,57900,Chandler Phillips,74.90%,552,737
155,0,47993,Denny McCarthy,74.87%,572,764
156,0,45157,Cam Davis,74.70%,490,656
157,0,27649,Brandt Snedeker,74.60%,373,500
158,0,52666,Sami Valimaki,74.55%,369,495
159,0,34098,Russell Henley,74.47%,531,713
160,0,25493,Nick Taylor,74.44%,530,712
161,0,40058,Zac Blair,74.35%,571,768
162,0,34466,Peter Malnati,74.32%,408,549
163,0,28420,Ryan Brehm,74.17%,356,480
164,0,33408,Tyson Alexander,74.15%,436,588
165,0,56630,Akshay Bhatia,74.05%,582,786
166,0,55454,Carl Yuan,73.90%,388,525
167,0,57362,Austin Eckroat,73.80%,628,851
168,0,32640,Troy Merritt,73.72%,502,681
169,0,33968,ThorbjÃ¸rn Olesen,73.50%,269,366
170,0,33653,Thomas Detry,73.39%,400,545
171,0,50525,Collin Morikawa,73.35%,567,773
171,0,30927,Brendon Todd,73.35%,688,938
173,0,24024,Zach Johnson,73.20%,325,444
174,0,50188,S.H. Kim,73.10%,606,829
175,0,37455,Si Woo Kim,72.87%,599,822
176,0,23320,Ryan Palmer,72.53%,272,375
177,0,22371,Aaron Baddeley,72.48%,424,585
178,0,29221,Webb Simpson,72.25%,302,418
179,0,22405,Justin Rose,71.90%,389,541
180,0,37212,Paul Barjon,71.87%,304,423
181,0,29478,Kevin Kisner,71.79%,336,468
182,0,35617,Martin Trainer,71.02%,272,383
183,0,34374,Erik Barnes,69.58%,279,401
184,0,47806,Raul Pereda,68.56%,253,369
