RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,28775,Nate Lashley,93.10%,54,58,-0.31
2,0,52375,Doug Ghim,91.03%,71,78,-0.32
3,0,34098,Russell Henley,90.54%,67,74,-0.36
4,0,30927,Brendon Todd,88.89%,80,90,-0.49
4,0,48887,Matt Wallace,88.89%,56,63,-0.27
6,0,29535,Brice Garnett,88.46%,23,26,-0.35
7,0,34587,Chan Kim,87.93%,51,58,-0.20
8,0,55182,Tom Kim,87.76%,43,49,-0.37
9,0,49947,Taylor Moore,87.62%,92,105,-0.32
10,0,31646,Emiliano Grillo,87.04%,47,54,-0.32
11,0,29478,Kevin Kisner,86.96%,40,46,-0.28
12,0,48153,Matthieu Pavon,86.67%,39,45,-0.33
13,0,54421,Garrick Higgo,86.57%,58,67,-0.33
14,0,34099,Harris English,86.54%,45,52,-0.31
15,0,34021,Bud Cauley,86.27%,44,51,-0.41
16,0,47988,Nick Hardy,86.17%,81,94,-0.30
17,0,59143,Mac Meissner,86.11%,62,72,-0.34
18,0,52453,Nicolai HÃ¸jgaard,86.05%,37,43,-0.22
18,0,48119,Ben Taylor,86.05%,37,43,-0.30
20,0,29725,Tony Finau,86.00%,43,50,-0.42
20,0,46442,Maverick McNealy,86.00%,86,100,-0.38
22,0,46717,Viktor Hovland,85.96%,49,57,-0.37
23,0,36699,Patrick Rodgers,85.88%,73,85,-0.33
24,0,33408,Tyson Alexander,85.71%,30,35,-0.23
25,0,39975,Michael Kim,85.48%,53,62,-0.32
26,0,32757,Patton Kizzire,85.42%,41,48,-0.32
27,0,47483,Will Zalatoris,85.37%,35,41,-0.29
28,0,50095,Austin Smotherman,85.29%,29,34,-0.31
29,0,40162,Justin Lower,84.93%,62,73,-0.31
30,0,40115,Adam Svensson,84.51%,60,71,-0.32
31,0,35532,Tom Hoge,84.29%,59,70,-0.36
32,0,32367,Jorge Campillo,84.21%,32,38,-0.34
32,0,51766,Wyndham Clark,84.21%,48,57,-0.46
32,0,59866,Nick Dunlap,84.21%,48,57,-0.42
32,0,33486,Roger Sloan,84.21%,64,76,-0.42
36,0,40250,Taylor Pendrith,83.82%,57,68,-0.37
37,0,22405,Justin Rose,83.72%,36,43,-0.44
38,0,46414,Aaron Rai,83.67%,41,49,-0.34
39,0,33653,Thomas Detry,83.61%,51,61,-0.41
40,0,35310,Lanto Griffin,83.33%,40,48,-0.35
40,0,51696,Rico Hoey,83.33%,55,66,-0.35
40,0,35461,Beau Hossler,83.33%,80,96,-0.35
40,0,24024,Zach Johnson,83.33%,30,36,-0.23
40,0,26596,Ryan Moore,83.33%,45,54,-0.24
40,0,51070,Vincent Norrman,83.33%,40,48,-0.28
40,0,49960,Sepp Straka,83.33%,45,54,-0.38
40,0,54783,Dylan Wu,83.33%,50,60,-0.44
40,0,57366,Cameron Young,83.33%,50,60,-0.26
49,0,33141,Keegan Bradley,83.10%,59,71,-0.42
50,0,37455,Si Woo Kim,82.69%,43,52,-0.26
51,0,45522,Christiaan Bezuidenhout,82.67%,62,75,-0.26
52,0,34563,Chesson Hadley,82.61%,57,69,-0.26
52,0,39327,Ben Silverman,82.61%,57,69,-0.39
54,0,40058,Zac Blair,82.43%,61,74,-0.30
55,0,30911,Tommy Fleetwood,82.35%,28,34,-0.25
55,0,51890,Greyson Sigg,82.35%,42,51,-0.21
57,0,27644,Brian Harman,82.05%,64,78,-0.33
58,0,34076,Joel Dahmen,81.82%,72,88,-0.35
58,0,27770,Camilo Villegas,81.82%,36,44,-0.44
60,0,52666,Sami Valimaki,81.63%,40,49,-0.25
61,0,47504,Sam Burns,81.54%,53,65,-0.34
62,0,40026,Daniel Berger,81.40%,35,43,-0.37
62,0,34255,Joseph Bramlett,81.40%,70,86,-0.24
64,0,27064,Jhonattan Vegas,81.36%,48,59,-0.25
65,0,47591,Eric Cole,81.25%,65,80,-0.28
66,0,29936,Ryan Fox,81.08%,60,74,-0.35
67,0,52955,Ludvig Ãberg,80.95%,51,63,-0.35
67,0,32366,Kevin Chappell,80.95%,34,42,-0.29
67,0,55454,Carl Yuan,80.95%,51,63,-0.25
70,0,33399,Adam Hadwin,80.82%,59,73,-0.42
71,0,46046,Scottie Scheffler,80.77%,42,52,-0.55
72,0,40006,Erik van Rooyen,80.65%,75,93,-0.32
72,0,48319,Tom Whitney,80.65%,50,62,-0.38
74,0,34046,Jordan Spieth,80.60%,54,67,-0.37
75,0,27349,Alex Noren,80.49%,33,41,-0.24
76,0,39977,Max Homa,80.36%,45,56,-0.33
77,0,27936,Martin Laird,80.30%,53,66,-0.26
78,0,39997,Corey Conners,80.26%,61,76,-0.31
78,0,54576,Patrick Fishburn,80.26%,61,76,-0.25
80,0,32102,Rickie Fowler,80.00%,48,60,-0.40
80,0,51634,Sahith Theegala,80.00%,60,75,-0.32
80,0,52374,Brandon Wu,80.00%,40,50,-0.38
83,0,39971,Sungjae Im,79.63%,43,54,-0.23
84,0,37275,Sam Ryder,79.55%,35,44,-0.40
85,0,58168,Davis Thompson,79.49%,62,78,-0.45
86,0,33204,Shane Lowry,79.37%,50,63,-0.40
87,0,36799,Stephan Jaeger,79.31%,46,58,-0.26
88,0,36884,Ben Kohles,79.27%,65,82,-0.43
89,0,40098,Matt Fitzpatrick,79.25%,42,53,-0.31
90,0,28420,Ryan Brehm,79.17%,38,48,-0.26
