RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,45242,Kevin Yu,69.59%,135,194,-0.14
2,0,47679,Victor Perez,68.10%,143,210,-0.17
3,0,34076,Joel Dahmen,67.23%,158,235,-0.09
4,0,45609,Tyler Duncan,66.47%,115,173,-0.11
5,0,50095,Austin Smotherman,66.39%,81,122,-0.05
6,0,52375,Doug Ghim,65.91%,174,264,-0.14
7,0,52513,Carson Young,65.69%,157,239,-0.08
8,0,35310,Lanto Griffin,65.50%,131,200,-0.14
9,0,32757,Patton Kizzire,65.48%,110,168,-0.15
10,0,39997,Corey Conners,65.45%,161,246,-0.15
11,0,30163,Henrik Norlander,64.81%,105,162,-0.21
12,0,27139,David Skinns,64.59%,135,209,-0.14
13,0,36871,Matt NeSmith,64.42%,134,208,-0.10
14,0,48887,Matt Wallace,64.25%,124,193,-0.17
15,0,50497,Adrien Dumont de Chassart,64.16%,111,173,-0.05
16,0,51349,Nico Echavarria,64.09%,141,220,-0.13
17,0,36326,David Lipsky,64.00%,128,200,-0.18
17,0,27129,Luke List,64.00%,112,175,-0.13
19,0,48867,Matti Schmid,63.92%,124,194,-0.14
20,0,46414,Aaron Rai,63.88%,168,263,-0.14
21,0,27064,Jhonattan Vegas,63.84%,113,177,-0.22
22,0,47663,Kevin Dougherty,63.76%,95,149,-0.13
23,0,34021,Bud Cauley,63.64%,105,165,-0.11
24,0,51997,Andrew Novak,63.22%,153,242,-0.14
25,0,28775,Nate Lashley,63.18%,127,201,-0.13
26,0,49771,J.T. Poston,63.12%,166,263,-0.16
27,0,26476,Chez Reavie,63.05%,128,203,-0.13
28,0,59836,Pierceson Coody,62.94%,107,170,-0.11
29,0,59143,Mac Meissner,62.84%,137,218,-0.12
29,0,48081,Xander Schauffele,62.84%,137,218,-0.20
31,0,29535,Brice Garnett,62.69%,84,134,-0.13
32,0,32839,Hideki Matsuyama,62.63%,119,190,-0.18
33,0,55893,Sam Stevens,62.56%,137,219,-0.15
34,0,31323,Gary Woodland,62.40%,151,242,-0.17
35,0,39324,J.J. Spaun,62.39%,141,226,-0.13
36,0,48084,Wesley Bryan,62.26%,66,106,-0.14
37,0,51696,Rico Hoey,62.25%,127,204,-0.19
38,0,27936,Martin Laird,62.19%,125,201,-0.17
39,0,54628,Lee Hodges,62.17%,189,304,-0.14
40,0,36884,Ben Kohles,62.11%,159,256,-0.13
41,0,22371,Aaron Baddeley,61.97%,132,213,-0.14
42,0,33948,Byeong Hun An,61.90%,117,189,-0.09
42,0,47504,Sam Burns,61.90%,117,189,-0.12
44,0,32333,Kevin Tway,61.70%,87,141,-0.17
45,0,54591,Ben Griffin,61.68%,198,321,-0.12
46,0,60004,Jacob Bridgeman,61.58%,125,203,-0.19
46,0,24502,Adam Scott,61.58%,117,190,-0.17
48,0,40006,Erik van Rooyen,61.57%,133,216,-0.14
49,0,46046,Scottie Scheffler,61.50%,115,187,-0.26
50,0,34255,Joseph Bramlett,61.46%,126,205,-0.10
51,0,46442,Maverick McNealy,61.44%,145,236,-0.17
52,0,52514,Trace Crowe,61.39%,97,158,-0.21
