RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,35617,Martin Trainer,82' 6",61353,62,38' 7",100
2,0,47993,Denny McCarthy,82' 2",85792,87,38' 6",110
3,0,23621,Rory Sabbatini,80' 7",48364,50,37' 11",40
4,0,34264,Hudson Swafford,80' 6",46350,48,37' 9",150
5,0,46442,Maverick McNealy,80' 5",70480,73,37' 11",190
5,0,56278,Matthew Wolff,80' 5",36660,38,37' 8",360
7,0,29478,Kevin Kisner,80' 3",52954,55,37' 8",140
8,0,30927,Brendon Todd,80' 2",67332,70,37' 7",390
9,0,28237,Rory McIlroy,80' 0",49911,52,37' 8",380
9,0,39546,Keith Mitchell,80' 0",69137,72,37' 6",50
11,0,22405,Justin Rose,79' 11",36448,38,37' 7",230
11,0,40115,Adam Svensson,79' 11",80588,84,37' 6",110
13,0,27974,Sung Kang,78' 11",58705,62,37' 0",470
13,0,32640,Troy Merritt,78' 11",70096,74,37' 2",150
15,0,34363,Tyrrell Hatton,78' 9",45359,48,37' 0",490
16,0,39058,Lucas Herbert,78' 6",37676,40,36' 11",220
17,0,24138,Ian Poulter,78' 5",33868,36,36' 8",330
18,0,40162,Justin Lower,78' 2",50632,54,36' 6",400
18,0,48699,Callum Tarren,78' 2",50646,54,36' 7",400
20,0,35461,Beau Hossler,77' 10",60680,65,36' 6",360
21,0,26851,Marc Leishman,77' 9",58782,63,36' 4",480
22,0,36689,Brooks Koepka,77' 7",36319,39,36' 3",230
23,0,46046,Scottie Scheffler,77' 6",61359,66,36' 4",490
24,0,36852,Jim Knous,77' 5",33446,36,36' 4",200
24,0,54783,Dylan Wu,77' 5",47368,51,36' 3",10
26,0,36884,Ben Kohles,77' 4",41766,45,36' 3",140
27,0,32150,Michael Thompson,77' 3",68572,74,36' 2",330
28,0,47504,Sam Burns,77' 0",63738,69,35' 11",230
28,0,49960,Sepp Straka,77' 0",68354,74,36' 0",150
28,0,47128,Richy Werenski,77' 0",47132,51,36' 0",470
31,0,35506,Mackenzie Hughes,76' 11",60935,66,35' 11",30
32,0,36699,Patrick Rodgers,76' 10",63609,69,36' 0",110
33,0,48117,Kurt Kitayama,76' 9",42373,46,35' 11",460
34,0,46717,Viktor Hovland,76' 7",51467,56,35' 10",220
35,0,45522,Christiaan Bezuidenhout,76' 6",50471,55,35' 8",490
36,0,27895,Jonas Blixt,76' 5",38520,42,35' 11",390
37,0,28252,Seamus Power,76' 3",53966,59,35' 8",330
37,0,37275,Sam Ryder,76' 3",71394,78,35' 10",40
39,0,46970,Jon Rahm,76' 2",50276,55,35' 8",490
40,0,46435,Austin Cook,76' 1",48412,53,35' 8",370
41,0,35891,Cameron Smith,76' 0",44711,49,35' 9",230
42,0,34563,Chesson Hadley,75' 10",58212,64,35' 8",320
42,0,36326,David Lipsky,75' 10",65530,72,35' 5",170
42,0,47983,Chad Ramey,75' 10",50036,55,35' 8",160
45,0,48822,Sebastián Muñoz,75' 8",62637,69,35' 4",490
46,0,30911,Tommy Fleetwood,75' 7",36270,40,35' 6",220
46,0,28775,Nate Lashley,75' 7",55309,61,35' 5",40
46,0,49947,Taylor Moore,75' 7",70732,78,35' 7",470
49,0,30692,Scott Stallings,75' 4",75949,84,35' 3",10
50,0,32366,Kevin Chappell,75' 2",39679,44,35' 2",450
50,0,36799,Stephan Jaeger,75' 2",65849,73,35' 3",180
52,0,51766,Wyndham Clark,75' 1",67594,75,35' 2",160
52,0,35449,Adam Long,75' 1",68469,76,35' 2",40
54,0,40098,Matt Fitzpatrick,75' 0",43205,48,35' 1",370
54,0,10381,Curtis Thompson,75' 0",39619,44,35' 4",400
54,0,57366,Cameron Young,75' 0",62983,70,35' 5",160
57,0,48084,Wesley Bryan,74' 10",35010,39,35' 3",150
58,0,35310,Lanto Griffin,74' 9",60963,68,35' 1",340
59,0,39977,Max Homa,74' 8",62720,70,35' 3",500
59,0,34256,Andrew Putnam,74' 8",72541,81,34' 11",450
59,0,33486,Roger Sloan,74' 8",55573,62,34' 11",270
62,0,47995,Davis Riley,74' 7",73366,82,35' 1",330
63,0,29725,Tony Finau,74' 6",63488,71,35' 0",340
63,0,35879,Kelly Kraft,74' 6",50934,57,34' 10",400
63,0,40250,Taylor Pendrith,74' 6",52749,59,34' 10",30
66,0,37212,Paul Barjon,74' 5",56230,63,34' 10",30
66,0,34076,Joel Dahmen,74' 5",66059,74,34' 9",30
66,0,27349,Alex Noren,74' 5",42875,48,34' 9",240
66,0,24502,Adam Scott,74' 5",56264,63,34' 11",480
70,0,27095,Nick Watney,74' 3",55241,62,34' 10",200
71,0,35450,Patrick Cantlay,74' 2",46299,52,34' 7",360
71,0,49298,Kramer Hickok,74' 2",65895,74,34' 6",410
73,0,33597,Harry Higgs,74' 1",60438,68,34' 9",140
73,0,29221,Webb Simpson,74' 1",46227,52,35' 0",230
75,0,20229,Stewart Cink,74' 0",58630,66,34' 11",320
75,0,34466,Peter Malnati,74' 0",77243,87,34' 9",330
77,0,29535,Brice Garnett,73' 10",54063,61,34' 6",330
77,0,31646,Emiliano Grillo,73' 10",62011,70,34' 8",50
77,0,39971,Sungjae Im,73' 10",66463,75,35' 0",160
80,0,45157,Cam Davis,73' 8",67162,76,34' 8",390
80,0,45486,Joaquin Niemann,73' 8",51260,58,34' 9",360
80,0,48887,Matt Wallace,73' 8",43295,49,34' 7",40
83,0,33399,Adam Hadwin,73' 7",67093,76,34' 7",380
83,0,34174,John Huh,73' 7",53836,61,34' 4",200
83,0,53165,Doc Redman,73' 7",55654,63,34' 6",270
83,0,34610,Matthias Schwab,73' 7",48569,55,34' 5",400
87,0,28089,Jason Day,73' 6",44978,51,34' 5",230
88,0,35532,Tom Hoge,73' 5",65202,74,34' 6",340
88,0,32791,K.H. Lee,73' 5",75751,86,34' 4",320
88,0,24361,Pat Perez,73' 5",44934,51,34' 8",350
91,0,49766,Hank Lebioda,73' 4",59851,68,34' 5",400
91,0,25493,Nick Taylor,73' 4",60696,69,34' 4",10
93,0,22056,Cameron Percy,73' 3",28134,32,34' 4",450
94,0,34098,Russell Henley,73' 2",55345,63,34' 6",490
