RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
1,0,27141,J.B. Holmes,153.4,4827304.000,874
2,0,01249,John Daly,153.5,3647232.000,660
3,0,25804,Bubba Watson,157.7,5064216.000,892
4,0,24358,Robert Garrigus,159.5,6780683.000,1181
5,0,23322,Brett Wetterich,161.7,5622652.000,966
6,0,28475,Jeff Overton,162.9,4397672.000,750
7,0,21805,Harrison Frazar,164.4,5953419.000,1006
8,0,22046,Geoff Ogilvy,165.3,5319203.000,894
9,0,23497,Tag Ridings,165.8,3659645.000,613
10,0,11123,Chris Couch,166.0,6005279.000,1005
11,0,24980,Scott Gutschewski,166.1,4764480.000,797
12,0,26360,Bubba Dickerson,166.2,3524382.000,589
12,0,01810,Phil Mickelson,166.2,4276984.000,715
14,0,01706,Davis Love III,166.5,4416412.000,737
14,0,27095,Nick Watney,166.5,5755316.000,960
16,0,29718,Anthony Kim,166.6,6616177.000,1103
16,0,26289,Boo Weekley,166.6,6501720.000,1084
18,0,22892,Jason Gore,166.8,6465924.000,1077
18,0,24502,Adam Scott,166.8,4509703.000,751
18,0,21528,Henrik Stenson,166.8,2972094.000,495
21,0,23349,Charles Warren,166.9,7691760.000,1280
22,0,06567,Vijay Singh,167.0,6854162.000,1140
23,0,06522,Ernie Els,167.2,3671866.000,610
24,0,24924,Bill Haas,167.6,6835889.000,1133
25,0,20691,Greg Owen,167.8,5870458.000,972
25,0,23788,D.J. Trahan,167.8,7502461.000,1242
27,0,20378,Mathias Grönberg,167.9,7357581.000,1217
28,0,27702,Matt Hendrix,168.1,4570179.000,755
29,0,25273,Andrew Buckle,168.2,5605589.000,926
29,0,12716,Charley Hoffman,168.2,6896400.000,1139
31,0,01945,Kenny Perry,168.6,6264277.000,1032
32,0,24361,Pat Perez,168.9,5394348.000,887
33,0,21961,Charles Howell III,169.1,5490056.000,902
34,0,21633,Steve Allan,169.2,4609780.000,757
35,0,20766,Padraig Harrington,169.3,3875941.000,636
36,0,10885,Robert Allenby,169.4,6358912.000,1043
36,0,20572,Rod Pampling,169.4,6282439.000,1030
36,0,23623,Bo Van Pelt,169.4,8163371.000,1339
39,0,20574,Mathew Goggin,169.5,7334415.000,1202
40,0,22913,John Rollins,169.7,7140283.000,1169
41,0,27120,Troy Matteson,169.9,6414581.000,1049
41,0,26679,Kevin Stadler,169.9,6586463.000,1077
41,0,08793,Tiger Woods,169.9,3664751.000,599
44,0,28158,Steve Marino,170.0,7706834.000,1259
45,0,23353,J.J. Henry,170.1,5787501.000,945
46,0,20850,Daniel Chopra,170.4,7997350.000,1304
47,0,01161,Mark Calcavecchia,170.5,6168742.000,1005
47,0,24781,Hunter Mahan,170.5,6136446.000,1000
47,0,10423,Mike Weir,170.5,5101341.000,831
50,0,20229,Stewart Cink,170.7,6066563.000,987
50,0,20157,Retief Goosen,170.7,2911989.000,474
50,0,27770,Camilo Villegas,170.7,5855984.000,953
53,0,23638,Brendon de Jonge,170.8,5590682.000,909
53,0,24140,Sean O'Hair,170.8,7091634.000,1153
55,0,12782,Tim Herron,171.0,6939719.000,1127
56,0,27933,John Merrick,171.2,6907050.000,1121
56,0,25345,Carl Pettersson,171.2,7852288.000,1274
58,0,08537,J.P. Hayes,171.3,6796415.000,1102
59,0,26881,Jarrod Lyle,171.5,5710998.000,925
60,0,22371,Aaron Baddeley,171.6,5684694.000,920
60,0,25900,Lucas Glover,171.6,6664732.000,1079
60,0,21949,Joe Ogilvie,171.6,7345301.000,1189
63,0,20634,Peter Lonard,171.7,6485728.000,1049
63,0,21959,Ted Purdy,171.7,7467403.000,1208
63,0,23621,Rory Sabbatini,171.7,5408576.000,875
63,0,10425,Jay Williamson,171.7,4152643.000,672
67,0,23614,Rich Beem,171.9,5948521.000,961
67,0,24912,Will MacKenzie,171.9,7809515.000,1262
69,0,23320,Ryan Palmer,172.0,6961332.000,1124
70,0,20098,Stuart Appleby,172.1,4955166.000,800
71,0,24925,Jonathan Byrd,172.2,5245802.000,846
72,0,21660,Jason Schultz,172.3,4497849.000,725
72,0,26882,Michael Sim,172.3,4304529.000,694
74,0,19824,Craig Barlow,172.7,3743307.000,602
74,0,07223,Brian Bateman,172.7,3748215.000,603
74,0,01707,Steve Lowery,172.7,5948292.000,957
77,0,22405,Justin Rose,172.8,3371750.000,542
78,0,24490,George McNeill,172.9,6870401.000,1104
79,0,21209,Sergio Garcia,173.3,4709022.000,755
80,0,08375,Paul Stankowski,173.4,3570550.000,572
80,0,12714,Chris Tidland,173.4,4382585.000,702
82,0,08123,Jeff Brehaut,173.8,4191221.000,670
82,0,20472,Alex Cejka,173.8,6425175.000,1027
84,0,06034,Marco Dawson,174.2,5555789.000,886
84,0,06621,Joe Durant,174.2,6415908.000,1023
84,0,02036,Jim Rutledge,174.2,3969872.000,633
87,0,12510,Chad Campbell,174.5,6364825.000,1013
87,0,23800,Bryce Molder,174.5,4171639.000,664
87,0,28486,Michael Putnam,174.5,6914890.000,1101
90,0,23048,Eric Axley,174.6,8113457.000,1291
90,0,25686,Jason Dufner,174.6,7548452.000,1201
92,0,20433,Mark Hensby,174.7,6202251.000,986
92,0,11032,Frank Lickliter II,174.7,7401098.000,1177
94,0,19803,Ryan Armour,174.8,8172902.000,1299
94,0,29476,Kyle Reifers,174.8,5460718.000,868
94,0,27963,Chris Stroud,174.8,4908724.000,780
97,0,26596,Ryan Moore,174.9,6518254.000,1035
97,0,07749,Brett Quigley,174.9,5497699.000,873
99,0,20498,Briny Baird,175.0,9127121.000,1449
99,0,20645,John Senden,175.0,7346548.000,1166
101,0,25892,Steve Wheatcroft,175.2,5309763.000,842
102,0,21470,Daisuke Maruyama,175.3,6656757.000,1055
103,0,12652,Cameron Beckman,175.4,7413442.000,1174
104,0,20105,Jeff Gove,175.6,8224373.000,1301
104,0,21731,Freddie Jacobson,175.6,6012510.000,951
104,0,25396,Kevin Na,175.6,6827842.000,1080
104,0,12660,Jesper Parnevik,175.6,6542254.000,1035
108,0,24357,K.J. Choi,175.7,5953272.000,941
109,0,01035,Tommy Armour III,175.8,6070866.000,959
