RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,06034,Marco Dawson,256,Las Vegas,3,9 - Par 5 -
2,0,20378,Mathias Grönberg,247,Milwaukee,4,6 - Par 5 -
3,0,01948,Tim Petrovic,240,Bob Hope Chrysl,1,11 - Par 5
4,0,01418,Bill Glasson,217,Las Vegas,4,16 - Par 5
5,0,12602,Dean Wilson,216,Barclays Class,2,9 - Par 5 -
6,0,23540,Jason Allred,208,Shell Houston,4,3 - Par 3 -
7,0,20634,Peter Lonard,207,Buick Invitatio,1,3 - Par 3 -
8,0,12680,Shigeki Maruyama,202,Sony Open,3,4 - Par 3 -
9,0,22295,Darron Stiles,202,Buick Invitatio,4,15 - Par 4
10,0,02206,David Toms,201,Memorial Tourna,3,4 - Par 3 -
11,0,01810,Phil Mickelson,200,84 LUMBER,3,7 - Par 3 -
12,0,20382,Stephen Leaney,200,Shell Houston,3,3 - Par 3 -
13,0,01261,Jay Delsing,196,John Deere Clas,1,7 - Par 3 -
14,0,06567,Vijay Singh,195,EDS B. Nelson,4,17 - Par 3
16,0,20569,Richard Green,194,WGC-Am Express,1,11 - Par 3
17,0,20548,Hidemichi Tanaka,193,Texas Open,1,17 - Par 3
18,0,23108,Matt Kuchar,189,John Deere Clas,4,7 - Par 3 -
19,0,01677,Tom Lehman,188,WGC-Am Express,3,11 - Par 3
20,0,26679,Kevin Stadler,186,Deutsche Bank,2,3 - Par 3 -
21,0,20502,Michael Long,184,Reno-Tahoe Open,2,12 - Par 3
22,0,01723,Andrew Magee,182,Bay Hill Invita,2,2 - Par 3 -
23,0,10885,Robert Allenby,180,Buick Open,4,11 - Par 3
24,0,02010,Loren Roberts,180,Shell Houston,2,16 - Par 4
25,0,02101,Joey Sindelar,179,Deutsche Bank,1,10 - Par 4
26,0,19972,José Coceres,178,Shell Houston,2,17 - Par 4
27,0,20229,Stewart Cink,177,Sony Open,4,5 - Par 4 -
28,0,01707,Steve Lowery,176,Greensboro,3,18 - Par 4
31,0,06078,Esteban Toledo,172,Ford Champ,1,18 - Par 4
32,0,22621,Ben Curtis,172,Wachovia Champ,1,12 - Par 4
33,0,21498,Hideto Tanihara,170,Reno-Tahoe Open,2,9 - Par 5 -
34,0,19825,Darren Clarke,167,Nissan Open,1,6 - Par 3 -
35,0,23497,Tag Ridings,167,Ford Champ,1,15 - Par 3
36,0,23788,D.J. Trahan,165,Greensboro,3,16 - Par 4
