RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS PER EVENT,TOTAL POINTS
1,0,30925,Dustin Johnson,169.816,2717.060
2,0,36689,Brooks Koepka,154.773,2012.053
3,0,22405,Justin Rose,142.232,1991.251
4,0,33448,Justin Thomas,138.652,2634.393
5,0,28089,Jason Day,110.684,1770.948
6,0,25198,Francesco Molinari,98.929,1681.795
7,0,25804,Bubba Watson,93.926,1878.510
8,0,46970,Jon Rahm,89.388,1430.201
9,0,08793,Tiger Woods,82.982,1161.749
10,0,25364,Paul Casey,82.423,1318.761
11,0,29221,Webb Simpson,77.734,1710.149
12,0,01810,Phil Mickelson,77.320,1546.404
13,0,28237,Rory McIlroy,76.945,1154.177
14,0,30911,Tommy Fleetwood,75.329,1129.938
15,0,47959,Bryson DeChambeau,73.497,1616.944
16,0,35450,Patrick Cantlay,73.031,1387.595
17,0,32102,Rickie Fowler,72.346,1302.236
18,0,34360,Patrick Reed,70.697,1555.327
19,0,27349,Alex Noren,65.947,989.211
20,0,29725,Tony Finau,62.859,1508.623
21,0,21528,Henrik Stenson,62.023,868.319
22,0,24138,Ian Poulter,60.607,1030.311
23,0,24361,Pat Perez,55.802,1116.047
24,0,32757,Patton Kizzire,55.422,1385.542
25,0,26851,Marc Leishman,54.683,1148.344
26,0,30110,Kyle Stanley,54.443,1197.754
27,0,25396,Kevin Na,53.762,1182.771
28,0,29518,Brendan Steele,52.511,997.709
29,0,27644,Brian Harman,48.013,1056.277
30,0,34046,Jordan Spieth,47.242,944.844
31,0,48081,Xander Schauffele,46.986,1080.685
32,0,27649,Brandt Snedeker,46.825,1076.976
33,0,33410,Andrew Landry,46.483,1115.594
34,0,26499,Rafa Cabrera Bello,46.144,784.443
35,0,31323,Gary Woodland,45.406,1044.333
36,0,26329,Louis Oosthuizen,44.278,619.892
37,0,29478,Kevin Kisner,44.125,970.755
38,0,33948,Byeong Hun An,43.494,913.374
39,0,49964,Aaron Wise,43.430,1085.748
40,0,34363,Tyrrell Hatton,42.278,549.617
41,0,29420,Billy Horschel,41.721,959.583
42,0,34563,Chesson Hadley,41.561,1122.141
43,0,27129,Luke List,41.537,1079.959
44,0,34256,Andrew Putnam,41.060,1026.493
45,0,35891,Cameron Smith,41.057,821.145
46,0,31646,Emiliano Grillo,40.936,900.587
47,0,26476,Chez Reavie,40.802,1020.042
48,0,46435,Austin Cook,40.784,1060.375
49,0,26596,Ryan Moore,39.739,794.772
50,0,35461,Beau Hossler,38.273,956.827
51,0,24024,Zach Johnson,38.141,839.097
52,0,33141,Keegan Bradley,37.924,872.257
53,0,32816,Satoshi Kodaira,37.496,599.937
54,0,27436,Graham DeLaet,36.992,110.975
55,0,29974,Branden Grace,36.854,589.656
56,0,32839,Hideki Matsuyama,35.722,607.268
57,0,21961,Charles Howell III,35.399,884.975
58,0,39324,J.J. Spaun,35.395,849.475
59,0,25818,Scott Piercy,34.849,801.535
60,0,19803,Ryan Armour,34.676,1005.613
61,0,24502,Adam Scott,34.630,623.331
62,0,25632,Jimmy Walker,34.225,718.724
63,0,20229,Stewart Cink,32.968,758.257
64,0,19846,Brian Gay,32.607,880.389
65,0,37455,Si Woo Kim,31.877,892.559
66,0,23108,Matt Kuchar,30.872,679.178
67,0,27556,Ted Potter Jr.,29.744,743.588
68,0,27141,J.B. Holmes,29.080,639.753
69,0,30926,Chris Kirk,29.070,755.807
70,0,33399,Adam Hadwin,29.003,638.055
71,0,01666,Bernhard Langer,28.475,56.950
72,0,32366,Kevin Chappell,28.424,596.895
73,0,25686,Jason Dufner,27.826,556.522
74,0,26331,Charl Schwartzel,27.782,527.862
75,0,37454,Whee Kim,27.277,763.742
76,0,34098,Russell Henley,27.095,569.003
77,0,39975,Michael Kim,26.992,674.805
78,0,40026,Daniel Berger,26.927,565.459
79,0,30944,Jason Kokrak,26.920,699.912
80,0,27214,Kevin Streelman,26.917,672.921
81,0,23320,Ryan Palmer,26.326,500.190
82,0,34076,Joel Dahmen,25.981,675.515
83,0,29484,Peter Uihlein,25.801,593.434
84,0,29908,C.T. Pan,25.679,693.322
85,0,39546,Keith Mitchell,25.358,659.316
86,0,31420,Anirban Lahiri,25.206,554.524
87,0,32448,James Hahn,24.836,596.055
88,0,32640,Troy Merritt,24.649,616.218
89,0,21209,Sergio Garcia,24.107,361.610
90,0,29461,Jamie Lovemark,23.999,575.982
91,0,34021,Bud Cauley,23.802,404.639
92,0,33293,Thomas Pieters,23.606,259.664
93,0,29535,Brice Garnett,23.486,634.117
94,0,33122,Russell Knox,23.388,584.701
95,0,46601,Trey Mullinax,22.968,528.261
96,0,46501,Ollie Schniederjans,22.935,573.378
97,0,06527,Steve Stricker,22.800,273.596
98,0,12716,Charley Hoffman,22.381,514.752
99,0,20472,Alex Cejka,21.824,501.958
100,0,45526,Abraham Ancer,21.810,588.858
101,0,35879,Kelly Kraft,21.620,626.992
102,0,49771,J.T. Poston,21.327,447.867
103,0,27936,Martin Laird,21.078,442.628
104,0,34213,Grayson Murray,20.865,438.170
105,0,35532,Tom Hoge,20.479,593.901
106,0,27095,Nick Watney,20.467,491.212
107,0,29268,Bronson Burgoon,20.255,445.604
108,0,23621,Rory Sabbatini,20.058,521.496
109,0,32333,Kevin Tway,19.909,577.355
110,0,24140,Sean O'Hair,19.854,416.926
111,0,10809,Jim Furyk,19.369,290.530
112,0,23325,Vaughn Taylor,18.543,445.030
113,0,29289,S.Y. Noh,18.500,18.500
114,0,37189,Harold Varner III,18.218,473.661
115,0,35421,Brandon Harkins,18.217,528.293
116,0,36699,Patrick Rodgers,18.049,541.476
117,0,25900,Lucas Glover,18.017,324.307
118,0,08075,Jerry Kelly,18.000,54.000
119,0,31202,William McGirt,17.949,448.732
120,0,37275,Sam Ryder,17.676,441.901
121,0,01226,Fred Couples,17.567,17.567
122,0,25562,Andres Romero,17.290,103.738
123,0,29926,Danny Lee,17.166,480.638
