RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,36689,Brooks Koepka,6331991
2,0,47959,Bryson DeChambeau,5574502
3,0,30925,Dustin Johnson,5247694
4,0,22405,Justin Rose,5073515
5,0,25198,Francesco Molinari,4446763
6,0,08793,Tiger Woods,4241014
7,0,29221,Webb Simpson,3917650
8,0,33448,Justin Thomas,3396521
9,0,29725,Tony Finau,2939903
10,0,48081,Xander Schauffele,2873005
11,0,30911,Tommy Fleetwood,2823842
12,0,33141,Keegan Bradley,2738607
13,0,29420,Billy Horschel,2680448
14,0,25396,Kevin Na,2658192
15,0,30110,Kyle Stanley,2486181
16,0,49964,Aaron Wise,2308765
17,0,28237,Rory McIlroy,2148533
18,0,25804,Bubba Watson,2103294
19,0,27649,Brandt Snedeker,2032797
20,0,34256,Andrew Putnam,1849942
21,0,24502,Adam Scott,1778749
22,0,32839,Hideki Matsuyama,1694632
23,0,33948,Byeong Hun An,1691782
24,0,35450,Patrick Cantlay,1658554
25,0,26851,Marc Leishman,1559307
26,0,32102,Rickie Fowler,1534177
27,0,35891,Cameron Smith,1463727
28,0,20229,Stewart Cink,1451729
29,0,29908,C.T. Pan,1394412
30,0,28089,Jason Day,1330295
31,0,19803,Ryan Armour,1322581
32,0,25632,Jimmy Walker,1290706
33,0,46970,Jon Rahm,1204980
34,0,34360,Patrick Reed,1187315
35,0,39975,Michael Kim,1175300
36,0,31323,Gary Woodland,1174190
37,0,19846,Brian Gay,1114598
38,0,34076,Joel Dahmen,1110956
39,0,27141,J.B. Holmes,1107956
40,0,29478,Kevin Kisner,1106820
41,0,31646,Emiliano Grillo,1104888
42,0,25364,Paul Casey,1072586
43,0,32333,Kevin Tway,1056267
44,0,34363,Tyrrell Hatton,1054204
45,0,26499,Rafa Cabrera Bello,1019921
46,0,29268,Bronson Burgoon,1004444
47,0,45486,Joaquin Niemann,986757
48,0,45526,Abraham Ancer,967103
49,0,37189,Harold Varner III,961504
50,0,35461,Beau Hossler,952545
51,0,30944,Jason Kokrak,947942
52,0,01810,Phil Mickelson,947586
53,0,26331,Charl Schwartzel,942433
54,0,29926,Danny Lee,922975
55,0,21528,Henrik Stenson,912315
56,0,32640,Troy Merritt,901873
57,0,39324,J.J. Spaun,898649
58,0,34046,Jordan Spieth,894490
