RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,30925,Dustin Johnson,300.3,265451,884
2,0,24358,Robert Garrigus,299.6,255589,853
3,0,01249,John Daly,298.7,194423,651
4,0,27141,J.B. Holmes,298.2,366243,1228
5,0,25804,Bubba Watson,298.1,277809,932
6,0,20848,Ángel Cabrera,295.6,212255,718
7,0,01810,Phil Mickelson,295.0,235438,798
8,0,23322,Brett Wetterich,293.7,217372,740
9,0,28237,Rory McIlroy,293.3,164264,560
10,0,27436,Graham DeLaet,293.1,310652,1060
11,0,23788,D.J. Trahan,292.5,335170,1146
11,0,23349,Charles Warren,292.5,224651,768
13,0,28500,Martin Flores,292.4,260789,892
14,0,12716,Charley Hoffman,291.5,312773,1073
15,0,27095,Nick Watney,291.1,281238,966
16,0,27120,Troy Matteson,290.9,318279,1094
17,0,27936,Martin Laird,290.7,321264,1105
18,0,30946,Alex Prugh,290.4,323512,1114
19,0,25818,Scott Piercy,289.9,327925,1131
20,0,28475,Jeff Overton,289.8,287216,991
20,0,23320,Ryan Palmer,289.8,286312,988
22,0,22371,Aaron Baddeley,289.1,354197,1225
23,0,33419,Cameron Tringale,288.9,181450,628
24,0,28089,Jason Day,288.7,285844,990
24,0,25562,Andres Romero,288.7,290170,1005
26,0,27302,Garth Mulroy,288.6,168824,585
27,0,20850,Daniel Chopra,288.3,267842,929
27,0,22913,John Rollins,288.3,303037,1051
29,0,26851,Marc Leishman,287.4,289695,1008
30,0,27330,Josh Teater,287.2,367642,1280
31,0,06567,Vijay Singh,287.0,228987,798
32,0,23623,Bo Van Pelt,286.9,348903,1216
33,0,24781,Hunter Mahan,286.8,267882,934
34,0,20070,Matt Bettencourt,286.6,278586,972
34,0,22056,Cameron Percy,286.6,235900,823
36,0,26881,Jarrod Lyle,286.4,183876,642
37,0,28307,Matt Every,286.3,202427,707
37,0,26289,Boo Weekley,286.3,295698,1033
39,0,25900,Lucas Glover,286.2,236361,826
40,0,20157,Retief Goosen,286.1,211146,738
40,0,21961,Charles Howell III,286.1,357687,1250
