RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
1,0,39546,Keith Mitchell,50,62
2,0,45609,Tyler Duncan,45,56
3,0,32366,Kevin Chappell,44,48
4,0,24358,Robert Garrigus,43,52
5,0,39997,Corey Conners,42,51
6,0,30944,Jason Kokrak,41,50
7,0,27644,Brian Harman,40,46
7,0,25818,Scott Piercy,40,50
9,0,47959,Bryson DeChambeau,39,47
9,0,35532,Tom Hoge,39,57
9,0,27129,Luke List,39,48
9,0,25493,Nick Taylor,39,51
9,0,32254,Xinjun Zhang,39,48
14,0,35421,Brandon Harkins,38,46
15,0,19803,Ryan Armour,37,50
15,0,34076,Joel Dahmen,37,45
15,0,28500,Martin Flores,37,44
15,0,34213,Grayson Murray,37,45
15,0,29484,Peter Uihlein,37,44
15,0,27064,Jhonattan Vegas,37,40
21,0,23621,Rory Sabbatini,36,44
21,0,24502,Adam Scott,36,42
21,0,49964,Aaron Wise,36,52
24,0,46435,Austin Cook,35,44
24,0,33122,Russell Knox,35,44
24,0,34264,Hudson Swafford,35,41
27,0,27958,Ryan Blaum,34,46
27,0,12510,Chad Campbell,34,43
27,0,29535,Brice Garnett,34,42
27,0,19846,Brian Gay,34,37
27,0,35461,Beau Hossler,34,38
27,0,23320,Ryan Palmer,34,36
27,0,37275,Sam Ryder,34,48
27,0,47128,Richy Werenski,34,39
35,0,45526,Abraham Ancer,33,39
35,0,34256,Andrew Putnam,33,38
35,0,23325,Vaughn Taylor,33,48
35,0,31323,Gary Woodland,33,42
39,0,31416,Derek Fathauer,32,32
39,0,29725,Tony Finau,32,36
39,0,32448,James Hahn,32,39
39,0,29420,Billy Horschel,32,35
39,0,30926,Chris Kirk,32,39
39,0,32757,Patton Kizzire,32,41
39,0,26851,Marc Leishman,32,39
39,0,50526,Tom Lovelady,32,43
39,0,27214,Kevin Streelman,32,34
39,0,47287,Ethan Tracy,32,38
39,0,28132,Tyrone Van Aswegen,32,37
50,0,35450,Patrick Cantlay,31,39
50,0,34174,John Huh,31,37
50,0,29518,Brendan Steele,31,35
53,0,40026,Daniel Berger,30,33
53,0,32640,Troy Merritt,30,33
53,0,30692,Scott Stallings,30,36
53,0,37189,Harold Varner III,30,37
57,0,33948,Byeong Hun An,29,38
57,0,22371,Aaron Baddeley,29,33
57,0,33141,Keegan Bradley,29,39
57,0,25686,Jason Dufner,29,42
57,0,33399,Adam Hadwin,29,35
57,0,23353,J.J. Henry,29,34
57,0,33204,Shane Lowry,29,33
57,0,32876,Martin Piller,29,38
57,0,46970,Jon Rahm,29,35
57,0,36699,Patrick Rodgers,29,32
57,0,48081,Xander Schauffele,29,34
57,0,47347,Adam Schenk,29,37
57,0,39324,J.J. Spaun,29,37
57,0,32333,Kevin Tway,29,36
71,0,35506,Mackenzie Hughes,28,30
71,0,32816,Satoshi Kodaira,28,39
71,0,27936,Martin Laird,28,37
71,0,37278,Nicholas Lindheim,28,32
