RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,46046,Scottie Scheffler,-30
2,0,50525,Collin Morikawa,-26
3,0,51634,Sahith Theegala,-24
4,0,34098,Russell Henley,-19
4,0,48081,Xander Schauffele,-19
4,0,24502,Adam Scott,-19
7,0,39971,Sungjae Im,-18
8,0,51766,Wyndham Clark,-17
9,0,33204,Shane Lowry,-16
9,0,32839,Hideki Matsuyama,-16
9,0,28237,Rory McIlroy,-16
12,0,47504,Sam Burns,-15
12,0,46717,Viktor Hovland,-15
14,0,40250,Taylor Pendrith,-14
14,0,33448,Justin Thomas,-14
16,0,52955,Ludvig Ãberg,-12
17,0,35450,Patrick Cantlay,-11
17,0,52215,Robert MacIntyre,-11
17,0,48153,Matthieu Pavon,-11
20,0,30911,Tommy Fleetwood,-10
21,0,33948,Byeong Hun An,-8
21,0,33141,Keegan Bradley,-8
23,0,29725,Tony Finau,-6
23,0,29420,Billy Horschel,-6
23,0,46414,Aaron Rai,-6
26,0,56630,Akshay Bhatia,-5
27,0,30926,Chris Kirk,-3
27,0,49960,Sepp Straka,-3
29,0,45522,Christiaan Bezuidenhout,+3
29,0,35532,Tom Hoge,+3
31,0,27644,Brian Harman,1588
32,0,37455,Si Woo Kim,1580
33,0,28089,Jason Day,1567
34,0,58168,Davis Thompson,1523
35,0,47993,Denny McCarthy,1498
36,0,45157,Cam Davis,1490
37,0,27349,Alex Noren,1483
38,0,47483,Will Zalatoris,1461
39,0,39997,Corey Conners,1433
40,0,40098,Matt Fitzpatrick,1376
41,0,49771,J.T. Poston,1355
42,0,33653,Thomas Detry,1344
43,0,36799,Stephan Jaeger,1327
44,0,57366,Cameron Young,1295
45,0,57362,Austin Eckroat,1294
46,0,39977,Max Homa,1288
47,0,33399,Adam Hadwin,1266
48,0,51977,Max Greyserman,1239
49,0,59866,Nick Dunlap,1224
50,0,47591,Eric Cole,1173
51,0,46442,Maverick McNealy,1721
52,0,35506,Mackenzie Hughes,1346
53,0,36699,Patrick Rodgers,1259
54,0,51349,Nico Echavarria,1239
55,0,34099,Harris English,1209
56,0,28252,Seamus Power,1202
57,0,54591,Ben Griffin,1177
58,0,45242,Kevin Yu,1080
59,0,55182,Tom Kim,1079
60,0,25493,Nick Taylor,1041
61,0,25900,Lucas Glover,1039
62,0,22405,Justin Rose,1021
63,0,36801,Mark Hubbard,1008
64,0,47420,Jake Knapp,987
65,0,37378,Min Woo Lee,974
66,0,35461,Beau Hossler,959
67,0,49947,Taylor Moore,942
68,0,51997,Andrew Novak,920
69,0,40162,Justin Lower,919
70,0,40006,Erik van Rooyen,918
71,0,52375,Doug Ghim,902
72,0,30927,Brendon Todd,879
73,0,27064,Jhonattan Vegas,877
74,0,54628,Lee Hodges,832
75,0,39546,Keith Mitchell,827
76,0,31646,Emiliano Grillo,826
77,0,32757,Patton Kizzire,818
78,0,34466,Peter Malnati,814
79,0,48117,Kurt Kitayama,811
80,0,34046,Jordan Spieth,795
81,0,54576,Patrick Fishburn,762
82,0,32070,Rafael Campos,735
83,0,47679,Victor Perez,730
84,0,57975,Harry Hall,716
85,0,34256,Andrew Putnam,712
86,0,51696,Rico Hoey,707
87,0,40115,Adam Svensson,707
88,0,52513,Carson Young,694
89,0,27129,Luke List,681
90,0,47995,Davis Riley,663
91,0,55893,Sam Stevens,640
92,0,12716,Charley Hoffman,634
93,0,51287,Ryo Hisatsune,628
94,0,57900,Chandler Phillips,622
95,0,48867,Matti Schmid,613
96,0,39324,J.J. Spaun,606
97,0,36326,David Lipsky,604
98,0,47347,Adam Schenk,601
99,0,36884,Ben Kohles,601
100,0,40026,Daniel Berger,601
101,0,32102,Rickie Fowler,591
102,0,29908,C.T. Pan,576
103,0,51894,Vince Whaley,569
104,0,39975,Michael Kim,568
105,0,32791,K.H. Lee,560
106,0,59143,Mac Meissner,549
107,0,51890,Greyson Sigg,534
108,0,52453,Nicolai HÃ¸jgaard,532
109,0,23108,Matt Kuchar,526
110,0,60067,Joe Highsmith,525
111,0,29535,Brice Garnett,520
112,0,34587,Chan Kim,519
113,0,60004,Jacob Bridgeman,514
114,0,59141,Matt McCarty,504
115,0,39327,Ben Silverman,502
116,0,47983,Chad Ramey,485
117,0,28775,Nate Lashley,484
118,0,29936,Ryan Fox,471
119,0,59095,Chris Gotterup,465
120,0,30163,Henrik Norlander,440
121,0,46340,Alex Smalley,435
122,0,27139,David Skinns,428
123,0,52666,Sami Valimaki,426
124,0,34076,Joel Dahmen,425
125,0,37275,Sam Ryder,420
126,0,40058,Zac Blair,417
127,0,50484,Hayden Springer,414
128,0,48084,Wesley Bryan,405
129,0,57364,Michael Thorbjornsen,398
130,0,50188,S.H. Kim,390
131,0,59836,Pierceson Coody,388
132,0,54783,Dylan Wu,376
133,0,32333,Kevin Tway,368
134,0,48887,Matt Wallace,360
135,0,54421,Garrick Higgo,357
136,0,55454,Carl Yuan,352
137,0,38991,Alejandro Tosti,349
138,0,55789,Taylor Montgomery,341
139,0,50497,Adrien Dumont de Chassart,330
140,0,31323,Gary Woodland,312
141,0,46441,Robby Shelton,302
142,0,27214,Kevin Streelman,301
143,0,36871,Matt NeSmith,301
144,0,52374,Brandon Wu,300
145,0,27936,Martin Laird,288
146,0,34255,Joseph Bramlett,286
147,0,47988,Nick Hardy,285
148,0,52514,Trace Crowe,274
149,0,32640,Troy Merritt,271
150,0,34563,Chesson Hadley,259
151,0,26596,Ryan Moore,255
152,0,34021,Bud Cauley,255
153,0,34374,Erik Barnes,253
154,0,32367,Jorge Campillo,235
155,0,32366,Kevin Chappell,233
156,0,55708,Hayden Buckley,228
157,0,35617,Martin Trainer,228
158,0,35310,Lanto Griffin,220
