RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,46046,Scottie Scheffler,64.79%,5993,9250,6,14
2,0,48081,Xander Schauffele,38.83%,4057,10450,2,12
3,0,28237,Rory McIlroy,26.11%,2545,9750,2,6
4,0,50525,Collin Morikawa,23.50%,2456,10450,0,7
5,0,52955,Ludvig Ãberg,22.62%,2092,9250,0,7
6,0,51766,Wyndham Clark,21.65%,2154,9950,1,6
7,0,32839,Hideki Matsuyama,20.98%,1899,9050,1,5
8,0,35450,Patrick Cantlay,18.83%,1780,9450,0,4
9,0,33204,Shane Lowry,18.58%,1867,10050,1,6
10,0,34098,Russell Henley,17.68%,1671,9450,0,6
11,0,51634,Sahith Theegala,17.05%,2037,11950,0,7
12,0,48153,Matthieu Pavon,16.09%,1569,9750,1,4
13,0,33948,Byeong Hun An,16.03%,1755,10950,0,5
14,0,39971,Sungjae Im,15.23%,1896,12450,0,7
15,0,33448,Justin Thomas,14.53%,1445,9950,0,5
16,0,29725,Tony Finau,14.28%,1635,11450,0,5
17,0,49960,Sepp Straka,13.09%,1498,11450,0,4
18,0,52215,Robert MacIntyre,13.00%,1535,11800,2,5
19,0,30911,Tommy Fleetwood,12.94%,1223,9450,0,3
20,0,28089,Jason Day,12.87%,1345,10450,0,4
21,0,30926,Chris Kirk,12.61%,1318,10450,1,2
22,0,27644,Brian Harman,12.39%,1419,11450,0,3
23,0,56630,Akshay Bhatia,12.34%,1610,13050,1,3
24,0,29420,Billy Horschel,12.21%,1392,11400,1,6
25,0,47504,Sam Burns,12.10%,1265,10450,0,6
26,0,45522,Christiaan Bezuidenhout,12.02%,1406,11700,0,3
27,0,46414,Aaron Rai,11.90%,1381,11600,1,6
28,0,34363,Tyrrell Hatton,11.80%,413,3500,0,1
29,0,40250,Taylor Pendrith,11.57%,1324,11450,1,6
30,0,58168,Davis Thompson,11.50%,1385,12050,1,4
31,0,39977,Max Homa,11.42%,1194,10450,0,3
32,0,57366,Cameron Young,11.20%,1227,10950,0,6
33,0,35532,Tom Hoge,11.11%,1411,12700,0,3
34,0,46717,Viktor Hovland,11.02%,854,7750,0,1
35,0,39997,Corey Conners,10.91%,1249,11450,0,3
36,0,24502,Adam Scott,10.90%,1041,9550,0,3
37,0,33653,Thomas Detry,10.88%,1202,11050,0,4
38,0,34213,Grayson Murray,10.62%,802,7550,1,2
39,0,36799,Stephan Jaeger,10.27%,1207,11750,1,3
40,0,27349,Alex Noren,10.26%,1067,10400,0,3
41,0,49771,J.T. Poston,9.98%,1193,11950,0,4
42,0,51977,Max Greyserman,9.96%,1041,10450,0,4
43,0,33141,Keegan Bradley,9.82%,1075,10950,0,2
44,0,40098,Matt Fitzpatrick,9.81%,1074,10950,0,3
45,0,37455,Si Woo Kim,9.77%,1168,11950,0,1
46,0,33399,Adam Hadwin,9.48%,1181,12450,0,5
47,0,45157,Cam Davis,9.38%,1051,11200,1,1
48,0,47483,Will Zalatoris,9.06%,1019,11250,0,3
49,0,37378,Min Woo Lee,8.95%,783,8750,0,2
50,0,34099,Harris English,8.85%,969,10950,0,2
51,0,27064,Jhonattan Vegas,8.78%,685,7800,1,1
52,0,35506,Mackenzie Hughes,8.77%,1026,11700,0,3
53,0,47993,Denny McCarthy,8.74%,1045,11950,0,3
54,0,22405,Justin Rose,8.60%,881,10250,0,2
55,0,57362,Austin Eckroat,8.52%,1069,12550,1,2
56,0,55182,Tom Kim,8.45%,1051,12450,0,2
57,0,47420,Jake Knapp,8.36%,970,11600,1,4
58,0,36699,Patrick Rodgers,8.28%,952,11500,0,4
59,0,25493,Nick Taylor,8.11%,969,11950,1,3
60,0,40006,Erik van Rooyen,7.97%,813,10200,0,4
61,0,29535,Brice Garnett,7.38%,516,7000,1,1
61,0,46442,Maverick McNealy,7.38%,808,10950,0,4
63,0,57364,Michael Thorbjornsen,7.02%,232,3300,0,1
64,0,34046,Jordan Spieth,6.54%,782,11950,0,3
65,0,36801,Mark Hubbard,6.38%,737,11550,0,2
66,0,47591,Eric Cole,6.34%,948,14950,0,4
67,0,28252,Seamus Power,6.28%,703,11200,0,0
68,0,49947,Taylor Moore,6.20%,803,12950,0,2
68,0,47679,Victor Perez,6.20%,654,10550,0,3
70,0,59866,Nick Dunlap,6.09%,701,11500,2,3
71,0,54591,Ben Griffin,6.00%,867,14450,0,4
72,0,34466,Peter Malnati,5.97%,794,13300,1,2
73,0,30927,Brendon Todd,5.90%,720,12200,0,2
74,0,47995,Davis Riley,5.81%,647,11150,1,1
75,0,31646,Emiliano Grillo,5.73%,684,11950,0,2
76,0,12716,Charley Hoffman,5.61%,550,9800,0,3
77,0,27129,Luke List,5.49%,601,10950,0,1
78,0,34256,Andrew Putnam,5.43%,625,11500,0,2
79,0,52453,Nicolai HÃ¸jgaard,5.34%,532,9950,0,1
80,0,29908,C.T. Pan,5.32%,455,8550,0,2
81,0,48117,Kurt Kitayama,5.26%,603,11450,0,2
82,0,39546,Keith Mitchell,5.21%,599,11500,0,3
83,0,51997,Andrew Novak,5.16%,518,10050,0,4
84,0,57975,Harry Hall,5.10%,517,10150,1,1
85,0,25900,Lucas Glover,4.99%,596,11950,0,0
86,0,59143,Mac Meissner,4.87%,475,9750,0,3
87,0,52666,Sami Valimaki,4.62%,418,9050,0,1
88,0,54628,Lee Hodges,4.60%,596,12950,0,0
89,0,36884,Ben Kohles,4.59%,531,11550,0,2
90,0,40115,Adam Svensson,4.53%,601,13250,0,2
91,0,54576,Patrick Fishburn,4.51%,384,8500,0,3
92,0,51287,Ryo Hisatsune,4.50%,522,11600,0,1
93,0,32333,Kevin Tway,4.45%,285,6400,0,2
94,0,35461,Beau Hossler,4.44%,521,11750,0,2
95,0,34587,Chan Kim,4.41%,452,10250,0,3
96,0,57900,Chandler Phillips,4.36%,427,9800,0,2
97,0,52375,Doug Ghim,4.26%,460,10800,0,1
97,0,30163,Henrik Norlander,4.26%,256,6000,0,0
99,0,45242,Kevin Yu,4.24%,469,11050,0,4
100,0,47347,Adam Schenk,4.18%,583,13950,0,1
101,0,40162,Justin Lower,4.15%,461,11100,0,2
102,0,59095,Chris Gotterup,4.09%,452,11050,1,1
103,0,28775,Nate Lashley,4.07%,393,9650,0,1
104,0,51696,Rico Hoey,4.03%,393,9750,0,3
105,0,55789,Taylor Montgomery,3.99%,325,8150,0,0
106,0,55893,Sam Stevens,3.98%,436,10950,0,3
107,0,39324,J.J. Spaun,3.97%,419,10550,0,3
108,0,27139,David Skinns,3.90%,376,9650,0,2
109,0,29289,S.Y. Noh,3.89%,105,2700,0,1
110,0,32791,K.H. Lee,3.70%,411,11100,0,3
111,0,39327,Ben Silverman,3.64%,373,10250,0,0
112,0,51349,Nico Echavarria,3.53%,367,10400,0,1
112,0,48887,Matt Wallace,3.53%,354,10050,0,1
114,0,47983,Chad Ramey,3.51%,367,10450,0,1
115,0,51894,Vince Whaley,3.48%,285,8200,0,1
116,0,48084,Wesley Bryan,3.43%,172,5000,0,1
117,0,60004,Jacob Bridgeman,3.42%,308,9000,0,0
118,0,29936,Ryan Fox,3.41%,377,11050,0,3
119,0,23108,Matt Kuchar,3.38%,382,11300,0,1
120,0,59836,Pierceson Coody,3.35%,308,9200,0,2
121,0,50484,Hayden Springer,3.33%,283,8500,0,3
122,0,52513,Carson Young,3.31%,346,10450,0,2
123,0,32102,Rickie Fowler,3.26%,374,11450,0,0
124,0,40058,Zac Blair,3.17%,344,10850,0,2
125,0,35617,Martin Trainer,3.15%,220,7000,0,1
126,0,34076,Joel Dahmen,3.12%,320,10250,0,1
127,0,54783,Dylan Wu,3.08%,313,10150,0,1
128,0,39975,Michael Kim,3.02%,325,10750,0,1
128,0,32757,Patton Kizzire,3.02%,241,8000,0,2
130,0,51600,Jimmy Stanger,2.98%,213,7150,0,1
131,0,34374,Erik Barnes,2.95%,248,8400,0,1
132,0,52514,Trace Crowe,2.94%,235,8000,0,1
133,0,32367,Jorge Campillo,2.88%,235,8150,0,1
134,0,36871,Matt NeSmith,2.81%,293,10450,0,2
135,0,35879,Kelly Kraft,2.77%,116,4200,0,0
