RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PLAYOFF POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,46046,Scottie Scheffler,99.99%,24000622,24004000,1,2
2,0,50525,Collin Morikawa,47.91%,11500258,24004000,0,1
3,0,51634,Sahith Theegala,27.08%,6500077,24004000,0,1
4,0,34098,Russell Henley,16.39%,3933595,24004000,0,1
4,0,48081,Xander Schauffele,16.39%,3934698,24004000,0,3
4,0,24502,Adam Scott,16.39%,3934351,24004000,0,2
7,0,28252,Seamus Power,14.50%,290,2000,0,1
8,0,59866,Nick Dunlap,13.08%,523,4000,0,1
9,0,46442,Maverick McNealy,11.85%,237,2000,0,0
10,0,47993,Denny McCarthy,11.33%,453,4000,0,1
11,0,47483,Will Zalatoris,11.04%,441,4000,0,0
12,0,45157,Cam Davis,10.98%,439,4000,0,1
13,0,27349,Alex Noren,10.40%,416,4000,0,1
14,0,37455,Si Woo Kim,10.31%,412,4000,0,1
15,0,39971,Sungjae Im,8.54%,2050324,24004000,0,1
16,0,40098,Matt Fitzpatrick,7.55%,302,4000,0,0
17,0,37378,Min Woo Lee,6.99%,140,2000,0,0
17,0,22405,Justin Rose,6.99%,140,2000,0,0
17,0,30927,Brendon Todd,6.99%,140,2000,0,0
20,0,51766,Wyndham Clark,6.88%,1650554,24004000,0,2
21,0,47591,Eric Cole,5.63%,225,4000,0,0
21,0,57362,Austin Eckroat,5.63%,225,4000,0,0
23,0,28089,Jason Day,5.55%,222,4000,0,0
24,0,51977,Max Greyserman,4.96%,198,4000,0,0
25,0,39997,Corey Conners,4.59%,183,4000,0,0
25,0,32839,Hideki Matsuyama,4.59%,1102000,24004000,1,2
27,0,33204,Shane Lowry,4.58%,1100232,24004000,0,1
27,0,28237,Rory McIlroy,4.58%,1100283,24004000,0,1
29,0,27644,Brian Harman,4.24%,169,4000,0,0
30,0,49771,J.T. Poston,4.07%,163,4000,0,0
31,0,31646,Emiliano Grillo,4.01%,80,2000,0,0
31,0,36699,Patrick Rodgers,4.01%,80,2000,0,0
31,0,40006,Erik van Rooyen,4.01%,80,2000,0,0
34,0,33653,Thomas Detry,3.55%,142,4000,0,0
35,0,58168,Davis Thompson,3.46%,138,4000,0,0
36,0,36799,Stephan Jaeger,3.00%,120,4000,0,0
37,0,47679,Victor Perez,2.70%,54,2000,0,0
37,0,27064,Jhonattan Vegas,2.70%,54,2000,0,0
39,0,39977,Max Homa,2.36%,94,4000,0,0
40,0,47504,Sam Burns,2.35%,563753,24004000,0,2
40,0,46717,Viktor Hovland,2.35%,563613,24004000,0,1
42,0,40250,Taylor Pendrith,2.15%,515344,24004000,0,0
42,0,33448,Justin Thomas,2.15%,515172,24004000,0,0
44,0,33399,Adam Hadwin,2.14%,85,4000,0,0
45,0,52955,Ludvig Ãberg,1.82%,435887,24004000,0,1
46,0,35450,Patrick Cantlay,1.73%,415441,24004000,0,0
46,0,52215,Robert MacIntyre,1.73%,415350,24004000,0,1
46,0,48153,Matthieu Pavon,1.73%,415121,24004000,0,0
49,0,57366,Cameron Young,1.70%,68,4000,0,0
50,0,30911,Tommy Fleetwood,1.65%,395525,24004000,0,1
51,0,33141,Keegan Bradley,1.49%,357020,24004000,1,1
52,0,33948,Byeong Hun An,1.48%,355285,24004000,0,0
53,0,29725,Tony Finau,1.38%,330412,24004000,0,0
53,0,29420,Billy Horschel,1.38%,330446,24004000,0,1
53,0,46414,Aaron Rai,1.38%,330258,24004000,0,0
56,0,54591,Ben Griffin,1.37%,27,2000,0,0
56,0,55182,Tom Kim,1.37%,27,2000,0,0
58,0,56630,Akshay Bhatia,1.31%,315281,24004000,0,0
59,0,30926,Chris Kirk,1.28%,307837,24004000,0,1
59,0,49960,Sepp Straka,1.28%,307722,24004000,0,0
61,0,45522,Christiaan Bezuidenhout,1.24%,297722,24004000,0,0
61,0,35532,Tom Hoge,1.24%,297743,24004000,0,0
63,0,35506,Mackenzie Hughes,1.08%,22,2000,0,0
64,0,34466,Peter Malnati,1.02%,20,2000,0,0
65,0,34099,Harris English,.90%,18,2000,0,0
65,0,36801,Mark Hubbard,.90%,18,2000,0,0
67,0,25493,Nick Taylor,.80%,16,2000,0,0
68,0,49947,Taylor Moore,.76%,15,2000,0,0
69,0,47420,Jake Knapp,.72%,14,2000,0,0
70,0,34046,Jordan Spieth,.66%,13,2000,0,0
