RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,46046,Scottie Scheffler,5993,6,14,0
2,0,48081,Xander Schauffele,4057,2,12,1936
3,0,28237,Rory McIlroy,2545,2,6,3448
4,0,50525,Collin Morikawa,2456,0,7,3537
5,0,51766,Wyndham Clark,2154,1,6,3839
6,0,52955,Ludvig Ãberg,2092,0,7,3901
7,0,51634,Sahith Theegala,2037,0,7,3956
8,0,32839,Hideki Matsuyama,1899,1,5,4094
9,0,39971,Sungjae Im,1896,0,7,4097
10,0,33204,Shane Lowry,1867,1,6,4126
11,0,35450,Patrick Cantlay,1780,0,4,4213
12,0,33948,Byeong Hun An,1755,0,5,4238
13,0,34098,Russell Henley,1671,0,6,4322
14,0,29725,Tony Finau,1635,0,5,4358
15,0,56630,Akshay Bhatia,1610,1,3,4383
16,0,48153,Matthieu Pavon,1569,1,4,4424
17,0,52215,Robert MacIntyre,1535,2,5,4458
18,0,49960,Sepp Straka,1498,0,4,4495
19,0,33448,Justin Thomas,1445,0,5,4548
20,0,27644,Brian Harman,1419,0,3,4574
21,0,35532,Tom Hoge,1411,0,3,4582
22,0,45522,Christiaan Bezuidenhout,1406,0,3,4587
23,0,29420,Billy Horschel,1392,1,6,4601
24,0,58168,Davis Thompson,1385,1,4,4608
25,0,46414,Aaron Rai,1381,1,6,4612
26,0,28089,Jason Day,1345,0,4,4648
27,0,40250,Taylor Pendrith,1324,1,6,4669
28,0,30926,Chris Kirk,1318,1,2,4675
29,0,47504,Sam Burns,1265,0,6,4728
30,0,39997,Corey Conners,1249,0,3,4744
31,0,57366,Cameron Young,1227,0,6,4766
32,0,30911,Tommy Fleetwood,1223,0,3,4770
33,0,36799,Stephan Jaeger,1207,1,3,4786
34,0,33653,Thomas Detry,1202,0,4,4791
35,0,39977,Max Homa,1194,0,3,4799
36,0,49771,J.T. Poston,1193,0,4,4800
37,0,33399,Adam Hadwin,1181,0,5,4812
38,0,37455,Si Woo Kim,1168,0,1,4825
39,0,33141,Keegan Bradley,1075,0,2,4918
40,0,40098,Matt Fitzpatrick,1074,0,3,4919
41,0,57362,Austin Eckroat,1069,1,2,4924
42,0,27349,Alex Noren,1067,0,3,4926
43,0,55182,Tom Kim,1051,0,2,4942
44,0,45157,Cam Davis,1051,1,1,4942
45,0,47993,Denny McCarthy,1045,0,3,4948
46,0,24502,Adam Scott,1041,0,3,4952
47,0,51977,Max Greyserman,1041,0,4,4952
48,0,35506,Mackenzie Hughes,1026,0,3,4967
49,0,47483,Will Zalatoris,1019,0,3,4974
50,0,47420,Jake Knapp,970,1,4,5023
51,0,34099,Harris English,969,0,2,5024
52,0,25493,Nick Taylor,969,1,3,5024
53,0,36699,Patrick Rodgers,952,0,4,5041
54,0,47591,Eric Cole,948,0,4,5045
55,0,22405,Justin Rose,881,0,2,5112
56,0,54591,Ben Griffin,867,0,4,5126
57,0,46717,Viktor Hovland,854,0,1,5139
58,0,40006,Erik van Rooyen,813,0,4,5180
59,0,46442,Maverick McNealy,808,0,4,5185
60,0,49947,Taylor Moore,803,0,2,5190
61,0,34213,Grayson Murray,802,1,2,5191
62,0,34466,Peter Malnati,794,1,2,5199
63,0,37378,Min Woo Lee,783,0,2,5210
64,0,34046,Jordan Spieth,782,0,3,5211
65,0,36801,Mark Hubbard,737,0,2,5256
66,0,30927,Brendon Todd,720,0,2,5273
67,0,28252,Seamus Power,703,0,0,5290
68,0,59866,Nick Dunlap,701,2,3,5292
69,0,27064,Jhonattan Vegas,685,1,1,5308
70,0,31646,Emiliano Grillo,684,0,2,5309
71,0,47679,Victor Perez,654,0,3,5339
