RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
98,0,39324,J.J. Spaun,419,0,4,24006196
99,0,52666,Sami Valimaki,418,0,1,24006197
100,0,34363,Tyrrell Hatton,413,0,1,24006202
101,0,32791,K.H. Lee,411,0,4,24006204
102,0,51696,Rico Hoey,393,0,4,24006222
103,0,28775,Nate Lashley,393,0,1,24006222
104,0,54576,Patrick Fishburn,384,0,5,24006231
105,0,23108,Matt Kuchar,382,0,1,24006233
106,0,29936,Ryan Fox,377,0,3,24006238
107,0,27139,David Skinns,376,0,2,24006239
108,0,32102,Rickie Fowler,374,0,1,24006241
109,0,39327,Ben Silverman,373,0,1,24006242
110,0,51349,Nico Echavarria,367,1,4,24006248
111,0,47983,Chad Ramey,367,0,1,24006248
112,0,48887,Matt Wallace,354,0,1,24006261
113,0,50188,S.H. Kim,346,0,1,24006269
114,0,52513,Carson Young,346,0,3,24006269
115,0,40058,Zac Blair,344,0,2,24006271
116,0,55789,Taylor Montgomery,325,0,0,24006290
117,0,39975,Michael Kim,325,0,2,24006290
118,0,34076,Joel Dahmen,320,0,1,24006295
119,0,54783,Dylan Wu,313,0,1,24006302
120,0,59836,Pierceson Coody,308,0,2,24006307
121,0,60004,Jacob Bridgeman,308,0,0,24006307
122,0,36871,Matt NeSmith,293,0,2,24006322
123,0,51894,Vince Whaley,285,0,3,24006330
124,0,32333,Kevin Tway,285,0,2,24006330
125,0,48867,Matti Schmid,283,0,3,24006332
126,0,50484,Hayden Springer,283,0,4,24006332
127,0,37275,Sam Ryder,282,0,1,24006333
128,0,55454,Carl Yuan,273,0,2,24006342
129,0,38991,Alejandro Tosti,267,0,2,24006348
130,0,46340,Alex Smalley,257,0,2,24006358
131,0,30163,Henrik Norlander,256,0,1,24006359
132,0,51890,Greyson Sigg,254,0,4,24006361
133,0,34374,Erik Barnes,248,0,1,24006367
134,0,32757,Patton Kizzire,241,1,3,24006374
135,0,52514,Trace Crowe,235,0,1,24006380
136,0,32367,Jorge Campillo,235,0,1,24006380
137,0,57364,Michael Thorbjornsen,232,0,3,24006383
138,0,34563,Chesson Hadley,227,0,2,24006388
139,0,55708,Hayden Buckley,224,0,2,24006391
140,0,40026,Daniel Berger,221,0,2,24006394
141,0,35617,Martin Trainer,220,0,1,24006395
142,0,51600,Jimmy Stanger,213,0,1,24006402
143,0,32640,Troy Merritt,213,0,1,24006402
144,0,46441,Robby Shelton,207,0,1,24006408
145,0,24024,Zach Johnson,202,0,0,24006413
146,0,26596,Ryan Moore,201,0,1,24006414
147,0,27936,Martin Laird,196,0,2,24006419
148,0,32070,Rafael Campos,188,1,2,24006427
149,0,34255,Joseph Bramlett,187,0,0,24006428
150,0,54421,Garrick Higgo,186,0,2,24006429
151,0,29221,Webb Simpson,183,0,0,24006432
152,0,33413,Ben Martin,183,0,1,24006432
153,0,52374,Brandon Wu,181,0,1,24006434
154,0,22371,Aaron Baddeley,175,0,0,24006440
155,0,31323,Gary Woodland,174,0,1,24006441
156,0,48084,Wesley Bryan,172,0,2,24006443
157,0,33968,Thorbjørn Olesen,170,0,0,24006445
158,0,28420,Ryan Brehm,162,0,1,24006453
159,0,26476,Chez Reavie,161,0,1,24006454
160,0,60067,Joe Highsmith,157,0,3,24006458
161,0,59442,Parker Coody,151,0,1,24006464
162,0,50493,Justin Suh,149,0,0,24006466
163,0,47988,Nick Hardy,148,0,1,24006467
164,0,52372,Cameron Champ,140,0,0,24006475
165,0,36326,David Lipsky,132,0,4,24006483
166,0,50497,Adrien Dumont de Chassart,130,0,2,24006485
167,0,34310,Alexander Björk,126,0,0,24006489
168,0,32366,Kevin Chappell,126,0,0,24006489
169,0,46113,Ryan McCormick,124,0,1,24006491
170,0,33408,Tyson Alexander,121,0,0,24006494
171,0,35310,Lanto Griffin,117,0,1,24006498
172,0,35879,Kelly Kraft,116,0,0,24006499
173,0,20229,Stewart Cink,113,0,0,24006502
174,0,45609,Tyler Duncan,111,0,0,24006504
175,0,33486,Roger Sloan,109,0,0,24006506
176,0,29289,S.Y. Noh,105,0,1,24006510
177,0,30692,Scott Stallings,99,0,0,24006516
178,0,27214,Kevin Streelman,94,0,1,24006521
179,0,37212,Paul Barjon,92,0,1,24006523
180,0,20766,Padraig Harrington,91,0,0,24006524
181,0,48699,Callum Tarren,89,0,0,24006526
182,0,46435,Austin Cook,84,0,1,24006531
183,0,48319,Tom Whitney,82,0,0,24006533
184,0,48119,Ben Taylor,79,0,1,24006536
185,0,24140,Sean O'Hair,78,0,0,24006537
186,0,34021,Bud Cauley,76,0,1,24006539
187,0,47663,Kevin Dougherty,72,0,0,24006543
188,0,29268,Bronson Burgoon,69,0,0,24006546
189,0,50095,Austin Smotherman,62,0,1,24006553
