RANK,MOVEMENT,PLAYER_ID,PLAYER,CAREER BEST STREAK,BEST YTD STREAK
1,0,01948,Tim Petrovic,26,7
2,0,02104,Jeff Sluman,23,0
3,0,23135,Tim Clark,22,9
3,0,01226,Fred Couples,22,6
3,0,10585,Scott McCarron,22,9
6,0,20098,Stuart Appleby,21,4
6,0,01320,Bob Estes,21,6
6,0,02239,Scott Verplank,21,5
9,0,01098,Jay Don Blake,20,0
9,0,02101,Joey Sindelar,20,0
11,0,23541,Ben Crane,19,6
11,0,06621,Joe Durant,19,8
11,0,12660,Jesper Parnevik,19,2
11,0,01958,Dan Pohl,19,0
15,0,08931,Glen Day,18,5
15,0,06251,Chris DiMarco,18,4
15,0,20157,Retief Goosen,18,6
15,0,21961,Charles Howell III,18,12
15,0,26596,Ryan Moore,18,10
15,0,01920,Craig Parry,18,0
21,0,01093,Ronnie Black,17,1
21,0,24925,Jonathan Byrd,17,7
21,0,23638,Brendon de Jonge,17,17
21,0,01346,Ed Fiori,17,0
21,0,01475,Donnie Hammond,17,0
21,0,01736,Roger Maltbie,17,0
21,0,12680,Shigeki Maruyama,17,2
21,0,01887,Mark O'Meara,17,2
21,0,06567,Vijay Singh,17,6
21,0,02214,Kirk Triplett,17,5
21,0,08793,Tiger Woods,17,4
32,0,01444,Ken Green,16,0
32,0,01577,Lee Janzen,16,5
32,0,08075,Jerry Kelly,16,8
32,0,27120,Troy Matteson,16,8
32,0,01771,Blaine McCallister,16,0
32,0,01926,Steve Pate,16,0
32,0,01928,Corey Pavin,16,8
32,0,01945,Kenny Perry,16,6
32,0,20127,Chris Riley,16,15
32,0,10423,Mike Weir,16,6
42,0,06004,Stephen Ames,15,6
42,0,21753,Brian Davis,15,7
42,0,12823,Carlos Franco,15,3
42,0,01527,Scott Hoch,15,0
42,0,01633,Tom Kite,15,0
42,0,01706,Davis Love III,15,8
42,0,01723,Andrew Magee,15,0
42,0,02099,Scott Simpson,15,0
42,0,02106,Chris Smith,15,2
42,0,02133,Craig Stadler,15,1
42,0,02223,Bob Tway,15,0
53,0,10885,Robert Allenby,14,7
53,0,07867,Woody Austin,14,10
53,0,07223,Brian Bateman,14,1
53,0,01203,Russ Cochran,14,0
53,0,06034,Marco Dawson,14,6
53,0,07457,Steve Flesch,14,10
53,0,12645,Brent Geiberger,14,0
53,0,20574,Mathew Goggin,14,6
53,0,01553,John Huston,14,3
53,0,21731,Freddie Jacobson,14,14
53,0,10733,Kent Jones,14,3
