RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,47287,Ethan Tracy,40' 10",122.583,3,70,21
2,0,30110,Kyle Stanley,39' 4",157.333,4,62,10
3,0,33419,Cameron Tringale,34' 10",69.583,2,44,26
4,0,29223,Sam Saunders,34' 4",103.083,3,39,27
5,0,27936,Martin Laird,33' 11",101.750,3,83,2
6,0,12510,Chad Campbell,29' 11",179.250,6,42,16
6,0,28500,Martin Flores,29' 11",59.833,2,56,4
8,0,37189,Harold Varner III,29' 4",176.167,6,59,10
9,0,30926,Chris Kirk,28' 11",144.417,5,63,13
10,0,31560,Brian Stuard,28' 5",56.750,2,33,24
11,0,35544,Andrew Yun,28' 4",28.333,1,28,28
12,0,10809,Jim Furyk,28' 3",28.250,1,28,28
13,0,25198,Francesco Molinari,27' 0",135.083,5,49,6
14,0,22056,Cameron Percy,26' 7",133.000,5,39,13
15,0,36799,Stephan Jaeger,25' 11",103.500,4,75,4
16,0,26758,David Hearn,25' 10",103.167,4,41,10
17,0,34099,Harris English,25' 8",128.500,5,63,7"
18,0,29479,Scott Brown,25' 6",76.583,3,63,6
19,0,34358,Jonathan Randolph,25' 5",50.833,2,32,19
20,0,22371,Aaron Baddeley,25' 3",100.917,4,55,4
21,0,32102,Rickie Fowler,24' 10",124.250,5,76,2
21,0,24502,Adam Scott,24' 10",124.333,5,77,3
23,0,36689,Brooks Koepka,24' 9",123.750,5,29,20
24,0,27095,Nick Watney,24' 8",98.583,4,38,16
25,0,32816,Satoshi Kodaira,24' 7",73.833,3,38,5
26,0,24024,Zach Johnson,24' 5",97.667,4,45,12
27,0,29478,Kevin Kisner,24' 0",120.167,5,61,6
28,0,32366,Kevin Chappell,23' 7",94.250,4,43,5
29,0,19803,Ryan Armour,23' 5",117.250,5,76,3
30,0,29222,Billy Hurley III,22' 10",91.333,4,33,6
30,0,47128,Richy Werenski,22' 10",182.667,8,76,3
32,0,31202,William McGirt,21' 10",43.583,2,37,7
33,0,27649,Brandt Snedeker,21' 7",129.583,6,31,10
34,0,23320,Ryan Palmer,21' 6",107.583,5,45,5
35,0,35421,Brandon Harkins,21' 2",211.500,10,72,3
36,0,25686,Jason Dufner,20' 8",20.667,1,21,21
37,0,33410,Andrew Landry,20' 7",61.833,3,40,9
38,0,20229,Stewart Cink,20' 1",140.500,7,66,2
38,0,23541,Ben Crane,20' 1",60.250,3,32,13
38,0,31323,Gary Woodland,20' 1",220.750,11,45,3
41,0,35461,Beau Hossler,20' 0",100.167,5,41,3
42,0,25900,Lucas Glover,19' 9",78.917,4,31,8
42,0,32757,Patton Kizzire,19' 9",59.167,3,24,15
44,0,35310,Lanto Griffin,19' 5",77.750,4,37,5
45,0,34466,Peter Malnati,19' 3",57.833,3,43,4
45,0,32254,Xinjun Zhang,19' 3",57.667,3,27,11
47,0,34256,Andrew Putnam,19' 1",57.333,3,47,3
47,0,25632,Jimmy Walker,19' 1",76.250,4,39,5
49,0,29461,Jamie Lovemark,18' 11",94.417,5,37,6
49,0,24140,Sean O'Hair,18' 11",75.583,4,34,6
51,0,25892,Steve Wheatcroft,18' 10",18.833,1,19,19
52,0,46435,Austin Cook,18' 9",18.750,1,19,19
53,0,34213,Grayson Murray,18' 5",36.750,2,29,8
54,0,35376,Roberto Díaz,18' 3",36.500,2,26,11
54,0,30911,Tommy Fleetwood,18' 3",145.917,8,41,4
56,0,24846,Ricky Barnes,18' 2",36.250,2,22,14
57,0,24924,Bill Haas,18' 0",89.917,5,32,3
57,0,32640,Troy Merritt,18' 0",71.917,4,50,6
59,0,26300,Matt Jones,17' 9",106.417,6,27,10
60,0,24781,Hunter Mahan,17' 8",35.333,2,21,15
60,0,33448,Justin Thomas,17' 8",159.333,9,48,4
62,0,29420,Billy Horschel,17' 6",104.750,6,37,5
63,0,39327,Ben Silverman,17' 5",52.167,3,40,5
64,0,27129,Luke List,17' 4",69.167,4,42,4
65,0,30944,Jason Kokrak,17' 3",172.083,10,32,11
65,0,35879,Kelly Kraft,17' 3",69.083,4,36,7
67,0,29926,Danny Lee,17' 2",51.417,3,27,12
68,0,28679,Fabián Gómez,17' 1",85.333,5,44,8"
69,0,48084,Wesley Bryan,17' 0",17.000,1,17,17
70,0,34360,Patrick Reed,16' 5",98.667,6,42,5
71,0,49964,Aaron Wise,16' 2",64.667,4,29,10"
72,0,45526,Abraham Ancer,15' 11",79.750,5,43,6
72,0,37454,Whee Kim,15' 11",79.500,5,31,10
74,0,46970,Jon Rahm,15' 10",31.583,2,24,8
75,0,29221,Webb Simpson,15' 8",109.500,7,34,4
76,0,39546,Keith Mitchell,15' 7",62.417,4,25,6
76,0,27349,Alex Noren,15' 7",46.833,3,38,4
76,0,08793,Tiger Woods,15' 7",46.833,3,28,5
79,0,25364,Paul Casey,15' 5",30.833,2,23,8
79,0,25834,Daniel Summerhays,15' 5",15.417,1,15,15
81,0,35450,Patrick Cantlay,15' 2",75.667,5,27,4
81,0,27064,Jhonattan Vegas,15' 2",45.500,3,18,13
83,0,29485,Brett Stegmaier,15' 1",60.167,4,31,3
84,0,20472,Alex Cejka,14' 9",88.667,6,45,2
85,0,27942,Rob Oppenheim,14' 8",43.917,3,20,7
86,0,27644,Brian Harman,14' 7",73.000,5,34,2
86,0,23108,Matt Kuchar,14' 7",43.750,3,21,7
88,0,27963,Chris Stroud,14' 6",14.500,1,15,15
89,0,25493,Nick Taylor,14' 5",28.750,2,16,12
90,0,32839,Hideki Matsuyama,14' 4",100.083,7,29,3
91,0,26499,Rafa Cabrera Bello,14' 3",71.250,5,27,6
91,0,39324,J.J. Spaun,14' 3",42.833,3,16,12
93,0,40009,Dominic Bozzelli,14' 2",42.583,3,22,9
93,0,21528,Henrik Stenson,14' 2",56.500,4,19,10
95,0,28237,Rory McIlroy,14' 1",70.500,5,28,3
96,0,25818,Scott Piercy,14' 0",41.917,3,24,10"
97,0,24925,Jonathan Byrd,13' 10",55.250,4,22,3
97,0,23353,J.J. Henry,13' 10",27.583,2,18,10
99,0,30925,Dustin Johnson,13' 7",108.583,8,32,6"
100,0,45609,Tyler Duncan,13' 6",94.250,7,24,7
100,0,39328,Conrad Shindler,13' 6",94.500,7,23,3
102,0,26596,Ryan Moore,13' 5",67.167,5,18,9
103,0,33141,Keegan Bradley,12' 11",90.583,7,42,3
104,0,25572,Graeme McDowell,12' 10",25.583,2,18,7
105,0,28089,Jason Day,12' 9",25.500,2,14,11
106,0,34563,Chesson Hadley,12' 6",100.000,8,25,2
106,0,46501,Ollie Schniederjans,12' 6",12.500,1,13,13
108,0,32448,James Hahn,12' 3",73.500,6,26,5
108,0,34098,Russell Henley,12' 3",48.833,4,26,5
108,0,01810,Phil Mickelson,12' 3",97.750,8,30,2
111,0,25804,Bubba Watson,12' 2",121.417,10,31,1
112,0,39975,Michael Kim,12' 0",24.000,2,16,8
112,0,34431,Robert Streb,12' 0",12.000,1,12,12
114,0,27958,Ryan Blaum,11' 11",35.750,3,18,3
114,0,36699,Patrick Rodgers,11' 11",71.250,6,38,3
116,0,26331,Charl Schwartzel,11' 9",23.417,2,20,4
117,0,34363,Tyrrell Hatton,11' 7",23.083,2,12,11
117,0,28775,Nate Lashley,11' 7",23.083,2,18,5
119,0,35891,Cameron Smith,11' 4",56.667,5,25,1
120,0,28132,Tyrone Van Aswegen,11' 3",45.083,4,23,9"
121,0,29974,Branden Grace,11' 1",44.417,4,19,5
122,0,47993,Denny McCarthy,11' 0",21.917,2,16,6
123,0,34264,Hudson Swafford,10' 11",43.750,4,14,8
124,0,46402,Talor Gooch,10' 9",32.250,3,18,1
124,0,26851,Marc Leishman,10' 9",43.083,4,14,3
124,0,48081,Xander Schauffele,10' 9",21.500,2,20,1
127,0,50526,Tom Lovelady,10' 7",84.500,8,14,6
127,0,29484,Peter Uihlein,10' 7",42.333,4,17,4
129,0,29725,Tony Finau,10' 6",84.000,8,29,2
129,0,12716,Charley Hoffman,10' 6",42.083,4,18,7
129,0,29908,C.T. Pan,10' 6",21.000,2,18,3
129,0,37275,Sam Ryder,10' 6",52.500,5,18,2
133,0,33948,Byeong Hun An,10' 3",51.250,5,15,6
134,0,23621,Rory Sabbatini,10' 2",70.917,7,20,2
135,0,27141,J.B. Holmes,10' 1",60.667,6,16,3
135,0,26476,Chez Reavie,10' 1",60.500,6,20,3
135,0,32333,Kevin Tway,10' 1",50.417,5,14,5
138,0,27895,Jonas Blixt,9' 10",39.250,4,18,3
139,0,25396,Kevin Na,9' 8",57.833,6,28,2
140,0,33122,Russell Knox,9' 5",28.250,3,16,3
141,0,46601,Trey Mullinax,9' 4",28.000,3,16,3
142,0,47959,Bryson DeChambeau,9' 3",73.750,8,16,2
143,0,33399,Adam Hadwin,9' 2",18.250,2,12,7
144,0,35506,Mackenzie Hughes,9' 1",18.167,2,10,8
144,0,27974,Sung Kang,9' 1",36.333,4,11,6
146,0,29268,Bronson Burgoon,9' 0",63.000,7,29,4
147,0,28307,Matt Every,8' 3",33.000,4,10,5
147,0,21961,Charles Howell III,8' 3",16.417,2,9,8
149,0,34174,John Huh,8' 0",55.833,7,13,3
149,0,26329,Louis Oosthuizen,8' 0",16.000,2,11,5
151,0,31646,Emiliano Grillo,7' 10",7.833,1,8,8
151,0,49771,J.T. Poston,7' 10",7.833,1,8,8
151,0,47347,Adam Schenk,7' 10",31.167,4,13,3
151,0,27214,Kevin Streelman,7' 10",23.417,3,10,4
155,0,23325,Vaughn Taylor,7' 7",15.167,2,9,7
156,0,40026,Daniel Berger,7' 4",29.167,4,12,2
157,0,29518,Brendan Steele,7' 3",28.833,4,15,2
158,0,31416,Derek Fathauer,6' 11",13.833,2,9,5
159,0,35532,Tom Hoge,6' 9",26.917,4,11,4
159,0,27556,Ted Potter Jr.,6' 9",6.750,1,7,7
161,0,35545,Blayne Barber,6' 7",13.167,2,11,2
161,0,20157,Retief Goosen,6' 7",6.583,1,7,7
161,0,30692,Scott Stallings,6' 7",39.417,6,11,4
164,0,30978,Kiradech Aphibarnrat,6' 4",25.167,4,8,3
164,0,39997,Corey Conners,6' 4",12.583,2,9,4
166,0,34046,Jordan Spieth,6' 2",18.500,3,10,2
167,0,33418,Shawn Stefani,5' 10",17.417,3,12,2
168,0,47125,Matt Atkins,5' 9",11.500,2,9,3
169,0,29535,Brice Garnett,5' 7",16.750,3,9,4
170,0,26951,Johnson Wagner,5' 6",10.917,2,7,4
171,0,24358,Robert Garrigus,5' 4",21.333,4,12,4"
172,0,31420,Anirban Lahiri,5' 3",10.417,2,10,8"
173,0,19846,Brian Gay,4' 10",14.583,3,10,2
174,0,32876,Martin Piller,4' 9",4.750,1,5,5
174,0,25240,D.A. Points,4' 9",18.917,4,8,11"
176,0,34409,David Lingmerth,4' 7",4.583,1,5,5
177,0,34076,Joel Dahmen,4' 6",17.917,4,9,2
178,0,33204,Shane Lowry,3' 9",11.250,3,5,3
179,0,24361,Pat Perez,2' 3",2.250,1,2,2
