RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,25198,Francesco Molinari,76.88,572,744
2,0,02206,David Toms,74.50,602,808
3,0,26476,Chez Reavie,71.89,560,779
4,0,10860,Justin Leonard,71.70,613,855
5,0,24507,Jason Bohn,71.58,947,1323
6,0,20771,Steven Alker,71.41,597,836
7,0,30711,Colt Knost,71.24,852,1196
8,0,24024,Zach Johnson,71.21,873,1226
9,0,08075,Jerry Kelly,70.45,775,1100
10,0,30927,Brendon Todd,70.24,918,1307
11,0,26596,Ryan Moore,70.05,767,1095
12,0,21528,Henrik Stenson,69.91,590,844
13,0,22293,Heath Slocum,69.51,513,738
14,0,34174,John Huh,69.44,975,1404
15,0,31560,Brian Stuard,69.31,899,1297
16,0,27466,Spencer Levin,69.09,932,1349
17,0,10809,Jim Furyk,69.08,621,899
18,0,34265,Will Wilcox,68.98,516,748
19,0,28780,Nicholas Thompson,68.70,821,1195
20,0,27214,Kevin Streelman,68.63,875,1275
21,0,33419,Cameron Tringale,68.50,922,1346
22,0,27933,John Merrick,68.32,703,1029
23,0,40058,Zac Blair,67.91,984,1449
23,0,20104,Ken Duke,67.91,840,1237
25,0,31202,William McGirt,67.87,976,1438
26,0,29221,Webb Simpson,67.85,745,1098
27,0,25686,Jason Dufner,67.81,693,1022
28,0,33122,Russell Knox,67.76,910,1343
29,0,21753,Brian Davis,67.66,772,1141
30,0,35541,John Peterson,67.52,790,1170
31,0,23541,Ben Crane,67.49,548,812
32,0,34262,Jon Curran,67.46,740,1097
33,0,31557,Jim Herman,67.10,824,1228
34,0,29478,Kevin Kisner,66.85,972,1454
35,0,23800,Bryce Molder,66.80,809,1211
36,0,22892,Jason Gore,66.67,670,1005
37,0,20645,John Senden,66.60,704,1057
38,0,36801,Mark Hubbard,66.32,711,1072
39,0,29222,Billy Hurley III,65.91,723,1097
40,0,32200,Roberto Castro,65.76,457,695
41,0,12510,Chad Campbell,65.75,889,1352
42,0,34130,Sung Joon Park,65.73,702,1068
43,0,24361,Pat Perez,65.70,881,1341
44,0,23638,Brendon de Jonge,65.69,969,1475
45,0,24925,Jonathan Byrd,65.60,593,904
46,0,34409,David Lingmerth,65.51,828,1264
47,0,27436,Graham DeLaet,65.46,597,912
48,0,33399,Adam Hadwin,65.43,846,1293
49,0,32839,Hideki Matsuyama,65.25,830,1272
50,0,33413,Ben Martin,65.09,828,1272
51,0,01706,Davis Love III,64.94,463,713
