RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,02206,David Toms,31.6,62,196,+2.42
2,0,25818,Scott Piercy,33.6,152,453,+1.38
3,0,32640,Troy Merritt,35.5,147,414,+1.50
4,0,23548,Bill Lunde,35.6,64,180,+4.38
4,0,35451,Scott Pinckney,35.6,139,390,+1.58
6,0,21961,Charles Howell III,35.9,222,618,+0.77
7,0,23800,Bryce Molder,36.8,127,345,+1.34
8,0,20104,Ken Duke,36.9,125,339,+0.96
9,0,33486,Roger Sloan,38.1,83,218,+3.98
10,0,12716,Charley Hoffman,38.2,166,434,+1.81
10,0,21878,Mark Wilson,38.2,150,393,+2.53
12,0,29535,Brice Garnett,39.4,136,345,+2.57
13,0,31323,Gary Woodland,39.6,125,316,+1.68
14,0,22371,Aaron Baddeley,39.7,169,426,+1.42
15,0,34261,Scott Langley,40.6,167,411,+1.38
16,0,40058,Zac Blair,40.9,157,384,+1.15
17,0,25191,Gonzalo Fernandez-Castaño,41.2,127,308,+1.97
17,0,20691,Greg Owen,41.2,91,221,+0.55
19,0,24490,George McNeill,41.4,176,425,+0.85
19,0,33419,Cameron Tringale,41.4,146,353,+1.44
21,0,37454,Whee Kim,41.7,128,307,+1.33
21,0,28023,Byron Smith,41.7,101,242,+2.18
23,0,30711,Colt Knost,41.9,125,298,+2.96
24,0,25369,Jamie Donaldson,42.1,80,190,+1.13
25,0,30736,Oscar Fraustro,42.2,89,211,+1.24
25,0,20396,Lee Westwood,42.2,76,180,+2.24
27,0,28780,Nicholas Thompson,42.3,129,305,+1.94
27,0,34265,Will Wilcox,42.3,74,175,+0.27
29,0,26476,Chez Reavie,42.5,79,186,+2.03
30,0,25720,Chad Collins,42.6,130,305,+2.15
31,0,20771,Steven Alker,42.7,88,206,+3.30
31,0,20593,Greg Chalmers,42.7,85,199,+2.24
31,0,22293,Heath Slocum,42.7,76,178,+2.37
34,0,26758,David Hearn,42.8,176,411,+0.68
35,0,27936,Martin Laird,42.9,172,401,+1.05
35,0,36699,Patrick Rodgers,42.9,111,259,+1.80
37,0,26851,Marc Leishman,43.1,146,339,+1.30
38,0,40026,Daniel Berger,43.3,185,427,+0.97
39,0,25198,Francesco Molinari,43.4,62,143,+1.77
40,0,29725,Tony Finau,43.9,243,553,+1.19
41,0,34174,John Huh,44.0,165,375,+2.42
42,0,28259,Sangmoon Bae,44.1,216,490,+1.57
42,0,28486,Michael Putnam,44.1,156,354,+1.47
44,0,39977,Max Homa,44.2,161,364,+1.55
45,0,24507,Jason Bohn,44.3,149,336,+1.68
45,0,27770,Camilo Villegas,44.3,198,447,+0.61
47,0,27895,Jonas Blixt,44.4,127,286,+1.81
47,0,36801,Mark Hubbard,44.4,127,286,+2.83
47,0,34431,Robert Streb,44.4,239,538,+1.97
50,0,35532,Tom Hoge,44.5,162,364,+0.86
50,0,29476,Kyle Reifers,44.5,185,416,+0.65
52,0,24357,K.J. Choi,44.6,131,294,+1.83
53,0,32448,James Hahn,45.0,193,429,+1.19
53,0,24138,Ian Poulter,45.0,109,242,+1.01
55,0,32334,Charlie Beljan,45.1,137,304,+2.26
56,0,21209,Sergio Garcia,45.4,93,205,+1.51
57,0,24846,Ricky Barnes,45.6,176,386,+1.42
58,0,34099,Harris English,45.9,222,484,+0.54
58,0,24361,Pat Perez,45.9,175,381,+1.14
58,0,35541,John Peterson,45.9,155,338,+1.29
58,0,30946,Alex Prugh,45.9,167,364,+1.26
62,0,29518,Brendan Steele,46.1,178,386,+1.80
63,0,26300,Matt Jones,46.2,169,366,+0.65
63,0,33122,Russell Knox,46.2,177,383,+1.53
63,0,29223,Sam Saunders,46.2,140,303,+1.57
66,0,29479,Scott Brown,46.3,189,408,+2.28
67,0,32839,Hideki Matsuyama,46.4,154,332,+1.10
68,0,28679,Fabián Gómez,46.5,172,370,+2.44
69,0,31557,Jim Herman,46.6,160,343,+1.88
70,0,24925,Jonathan Byrd,47.3,115,243,+1.30
70,0,27095,Nick Watney,47.3,201,425,+2.14
72,0,32102,Rickie Fowler,47.4,144,304,+1.32
73,0,31416,Derek Fathauer,47.5,206,434,+1.36
