RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,1,25364,Paul Casey,75,23,52
2,-1,46970,Jon Rahm,78,22,56
3,0,27064,Jhonattan Vegas,90,15,75
4,0,25900,Lucas Glover,92,55,37
5,2,27936,Martin Laird,94,45,49
6,-1,30911,Tommy Fleetwood,96,14,82
7,-2,46046,Scottie Scheffler,100,16,84
8,0,39997,Corey Conners,102,82,20
9,2,53165,Doc Redman,108,95,13
10,2,39971,Sungjae Im,111,69,42
11,2,47347,Adam Schenk,117,47,70
12,-3,40026,Daniel Berger,119,71,48
13,1,21209,Sergio Garcia,120,27,93
14,2,29221,Webb Simpson,125,107,18
15,-5,30925,Dustin Johnson,128,10,118
15,8,50525,Collin Morikawa,128,97,31
15,-1,48081,Xander Schauffele,128,30,98
15,6,23788,D.J. Trahan,128,92,36
15,3,37189,Harold Varner III,128,49,79
20,-2,56278,Matthew Wolff,129,9,120
21,-1,34563,Chesson Hadley,130,108,22
22,2,46717,Viktor Hovland,131,77,54
23,1,31323,Gary Woodland,132,30,102
24,9,34363,Tyrrell Hatton,133,55,78
25,-1,35658,Kris Ventura,134,28,106
26,1,33597,Harry Higgs,135,63,72
27,-10,29420,Billy Horschel,136,77,59
28,-6,45526,Abraham Ancer,137,94,43
29,-2,31646,Emiliano Grillo,138,113,25
29,6,48822,Sebastián Muñoz,138,43,95
31,-1,32791,K.H. Lee,139,105,34
32,7,47959,Bryson DeChambeau,141,1,140
32,1,49960,Sepp Straka,141,41,100
34,-3,45157,Cam Davis,142,20,122
34,-5,34099,Harris English,142,65,77
34,1,29518,Brendan Steele,142,38,104
34,-3,27330,Josh Teater,142,127,15
38,-1,30944,Jason Kokrak,145,7,138
38,-1,25804,Bubba Watson,145,10,135
40,1,25493,Nick Taylor,147,101,46
41,-1,30163,Henrik Norlander,149,141,8
42,0,27554,Scott Harrington,150,24,126
43,-1,46435,Austin Cook,151,130,21
44,0,34076,Joel Dahmen,153,115,38
45,2,35450,Patrick Cantlay,154,40,114
45,-1,32102,Rickie Fowler,154,119,35
47,-1,27214,Kevin Streelman,155,129,26
48,5,52372,Cameron Champ,156,2,154
49,1,56762,Will Gordon,157,17,140
49,1,28252,Seamus Power,157,33,124
51,-2,49298,Kramer Hickok,158,139,19
52,0,40098,Matt Fitzpatrick,159,121,38
52,1,52375,Doug Ghim,159,108,51
52,-5,28237,Rory McIlroy,159,4,155
55,1,27129,Luke List,160,21,139
56,0,49964,Aaron Wise,162,59,103
57,1,33204,Shane Lowry,163,76,87
57,-4,25818,Scott Piercy,163,100,63
59,0,36871,Matthew NeSmith,164,117,47
59,0,26329,Louis Oosthuizen,164,72,92
61,3,33399,Adam Hadwin,167,127,40
62,-1,33404,Chris Baker,168,159,9
62,3,33141,Keegan Bradley,168,63,105
62,-1,26596,Ryan Moore,168,157,11
65,1,22405,Justin Rose,171,75,96
66,2,47504,Sam Burns,173,8,165
67,1,33490,Bo Hoag,176,121,55
67,8,34213,Grayson Murray,176,5,171
67,1,37275,Sam Ryder,176,91,85
70,1,33122,Russell Knox,177,106,71
70,2,39546,Keith Mitchell,177,49,128
72,-11,23320,Ryan Palmer,178,77,101
73,3,29479,Scott Brown,179,162,17
73,3,45609,Tyler Duncan,179,173,6
73,-6,33448,Justin Thomas,179,35,144
76,2,24502,Adam Scott,180,19,161
77,4,40042,Tyler McCumber,182,12,170
77,2,30110,Kyle Stanley,182,177,5
79,-6,32839,Hideki Matsuyama,183,34,149
80,5,19803,Ryan Armour,184,182,2
80,-1,32640,Troy Merritt,184,143,41
82,-1,34098,Russell Henley,185,155,30
83,6,31557,Jim Herman,186,176,10
84,5,35310,Lanto Griffin,187,42,145
84,2,33410,Andrew Landry,187,158,29
84,8,26476,Chez Reavie,187,180,7
84,-3,46441,Robby Shelton,187,101,86
88,-2,28679,Fabián Gómez,188,160,28
88,-2,39977,Max Homa,188,67,121
90,3,51894,Vince Whaley,190,65,125
91,4,27644,Brian Harman,191,138,53
91,6,30927,Brendon Todd,191,187,4
93,5,25349,Tim Wilkinson,192,179,13
94,9,28420,Ryan Brehm,193,3,190
94,5,10809,Jim Furyk,193,192,1
94,2,29535,Brice Garnett,193,148,45
94,9,46550,Brandon Hagy,193,6,187
94,-13,29478,Kevin Kisner,193,160,33
94,5,29926,Danny Lee,193,47,146
94,5,31560,Brian Stuard,193,190,3
101,2,21407,Arjun Atwal,195,172,23
102,-3,32662,Michael Gligic,196,84,112
103,8,33948,Byeong Hun An,197,28,169
103,0,29725,Tony Finau,197,13,184
103,7,36699,Patrick Rodgers,197,18,179
103,5,32150,Michael Thompson,197,165,32
107,1,25686,Jason Dufner,198,174,24
108,-1,26499,Rafa Cabrera Bello,199,133,66
108,5,27974,Sung Kang,199,39,160
110,3,26758,David Hearn,200,188,12
111,5,35461,Beau Hossler,201,26,175
111,5,36689,Brooks Koepka,201,25,176
113,2,49771,J.T. Poston,202,153,49
114,-3,48045,Michael Gellerman,203,136,67
115,8,45486,Joaquin Niemann,205,53,152
115,3,23325,Vaughn Taylor,205,189,16
115,3,27095,Nick Watney,205,43,162
118,2,24924,Bill Haas,209,126,83
119,1,47993,Denny McCarthy,210,130,80
120,2,35449,Adam Long,211,142,69
121,13,51766,Wyndham Clark,212,32,180
121,3,46402,Talor Gooch,212,85,127
123,4,36801,Mark Hubbard,213,155,58
123,9,23108,Matt Kuchar,213,186,27
123,1,24361,Pat Perez,213,152,61
123,1,39953,Chase Seiffert,213,146,67
127,0,32448,James Hahn,214,133,81
127,3,26300,Matt Jones,214,97,117
127,0,35732,Wes Roach,214,149,65
130,0,31420,Anirban Lahiri,215,125,90
131,2,49766,Hank Lebioda,217,121,96
132,5,32366,Kevin Chappell,218,67,151
133,2,34255,Joseph Bramlett,219,77,142
134,4,33419,Cameron Tringale,221,49,172
134,2,47128,Richy Werenski,221,87,134
136,4,34314,Sebastian Cappelen,223,37,186
137,1,32139,Danny Willett,224,61,163
138,3,32333,Kevin Tway,225,36,189
139,4,21961,Charles Howell III,228,62,166
140,3,33413,Ben Martin,229,185,44
141,6,28089,Jason Day,231,74,157
