RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,08793,Tiger Woods,2.311,.335,1.398,.579,48
2,0,06527,Steve Stricker,1.621,.275,1.018,.327,62
3,0,10885,Robert Allenby,1.619,.493,1.015,.110,56
4,0,06522,Ernie Els,1.315,.397,.722,.196,54
5,0,24140,Sean O'Hair,1.297,.539,.796,-.038,58
6,0,24024,Zach Johnson,1.165,.253,.844,.068,79
7,0,24138,Ian Poulter,1.112,.222,.240,.650,42
8,0,24925,Jonathan Byrd,1.067,.581,.368,.118,79
9,0,02206,David Toms,1.057,.497,.566,-.006,80
10,0,23621,Rory Sabbatini,1.035,.299,.452,.284,67
11,0,26289,Boo Weekley,1.033,.721,.301,.011,65
12,0,27770,Camilo Villegas,1.028,.427,.474,.128,56
13,0,20645,John Senden,1.021,.443,.606,-.028,92
14,0,23135,Tim Clark,.985,.125,.773,.087,59
15,0,10809,Jim Furyk,.975,-.021,.557,.439,65
16,0,01810,Phil Mickelson,.963,.312,.268,.383,48
17,0,01945,Kenny Perry,.938,.566,.414,-.042,73
18,0,28158,Steve Marino,.910,.668,.323,-.081,84
19,0,01677,Tom Lehman,.889,.141,.834,-.087,35
20,0,27095,Nick Watney,.876,.732,.345,-.201,68
21,0,10860,Justin Leonard,.865,.008,.547,.310,75
22,0,02239,Scott Verplank,.856,.229,.621,.006,79
23,0,24781,Hunter Mahan,.845,.628,.561,-.345,75
24,0,21209,Sergio Garcia,.828,.460,.650,-.282,44
25,0,30925,Dustin Johnson,.822,.509,.175,.137,64
26,0,01226,Fred Couples,.810,.304,.348,.157,42
27,0,06567,Vijay Singh,.777,.377,.319,.080,51
28,0,01706,Davis Love III,.758,.384,.378,-.004,77
29,0,20766,Padraig Harrington,.733,-.315,.471,.577,48
30,0,01797,Rocco Mediate,.690,.029,.324,.337,66
31,0,24507,Jason Bohn,.679,.160,.754,-.236,82
32,0,20691,Greg Owen,.676,.452,.295,-.071,82
33,0,20498,Briny Baird,.666,-.012,.515,.163,72
34,0,25686,Jason Dufner,.652,.323,.313,.016,78
35,0,23788,D.J. Trahan,.643,.506,.369,-.232,80
36,0,21961,Charles Howell III,.631,.130,.141,.360,83
37,0,25900,Lucas Glover,.619,.638,.138,-.157,79
38,0,12510,Chad Campbell,.572,-.057,.635,-.006,71
39,0,22046,Geoff Ogilvy,.568,.258,-.020,.329,58
40,0,20572,Rod Pampling,.557,.183,.023,.350,64
41,0,20472,Alex Cejka,.555,-.006,.372,.188,71
42,0,20157,Retief Goosen,.541,.253,.178,.110,56
43,0,07867,Woody Austin,.533,-.036,.467,.102,76
44,0,22293,Heath Slocum,.523,.415,.306,-.199,85
45,0,06197,Michael Allen,.515,.329,.292,-.106,58
46,0,12716,Charley Hoffman,.513,.405,.235,-.128,87
47,0,06621,Joe Durant,.475,.465,.413,-.404,47
48,0,25804,Bubba Watson,.469,.387,.037,.044,57
49,0,25396,Kevin Na,.462,-.141,.273,.330,78
50,0,23108,Matt Kuchar,.461,.120,.052,.289,71
50,0,23497,Tag Ridings,.461,.429,-.190,.222,41
52,0,08075,Jerry Kelly,.453,.062,.165,.226,77
52,0,23349,Charles Warren,.453,.628,.183,-.358,53
54,0,24663,Y.E. Yang,.448,.170,.386,-.108,70
55,0,23623,Bo Van Pelt,.426,.387,.082,-.042,82
56,0,06595,Kevin Sutherland,.422,.233,.013,.175,73
57,0,24924,Bill Haas,.420,.535,-.126,.011,82
58,0,06643,Paul Goydos,.414,.107,.395,-.089,65
59,0,24912,Will MacKenzie,.397,.257,.088,.052,61
60,0,22405,Justin Rose,.395,.189,.093,.113,57
61,0,26679,Kevin Stadler,.377,.018,.213,.146,54
62,0,24358,Robert Garrigus,.375,.418,.311,-.354,72
63,0,20848,Ángel Cabrera,.372,.372,.295,-.296,38
64,0,28089,Jason Day,.370,.323,.031,.016,50
65,0,28780,Nicholas Thompson,.366,.473,.096,-.203,87
66,0,23541,Ben Crane,.344,.282,-.038,.100,80
67,0,01948,Tim Petrovic,.343,.120,.044,.179,86
68,0,06004,Stephen Ames,.318,.214,.236,-.132,57
69,0,22348,Nick O'Hern,.316,-.205,.451,.070,85
70,0,10423,Mike Weir,.311,-.276,.229,.358,67
71,0,07749,Brett Quigley,.306,-.297,.508,.095,75
72,0,21753,Brian Davis,.295,.181,.038,.076,91
72,0,25240,D.A. Points,.295,.068,.211,.016,86
74,0,24490,George McNeill,.294,-.020,.203,.112,76
75,0,26695,Michael Letzig,.287,.240,-.169,.215,86
76,0,01035,Tommy Armour III,.279,.353,.264,-.338,52
77,0,27060,John Mallinger,.278,.097,-.034,.216,71
78,0,27141,J.B. Holmes,.276,.123,.291,-.138,61
79,0,02214,Kirk Triplett,.268,.370,-.027,-.075,55
80,0,20574,Mathew Goggin,.260,.403,-.036,-.107,60
81,0,06251,Chris DiMarco,.254,-.264,.207,.311,87
82,0,24846,Ricky Barnes,.248,-.042,.327,-.037,51
83,0,01313,Steve Elkington,.240,.097,.096,.047,62
84,0,23353,J.J. Henry,.238,.030,.125,.084,84
85,0,26498,Matt Weibring,.236,-.193,.373,.056,55
86,0,29718,Anthony Kim,.235,.115,.100,.019,60
87,0,22548,Patrick Sheehan,.230,-.050,.266,.014,39
88,0,24502,Adam Scott,.220,-.005,-.045,.270,42
89,0,27120,Troy Matteson,.219,.486,-.087,-.181,88
90,0,08845,Scott Sterling,.216,-.140,.162,.194,40
91,0,01320,Bob Estes,.215,-.128,.131,.212,69
92,0,24357,K.J. Choi,.214,-.006,-.002,.222,50
93,0,26851,Marc Leishman,.212,.163,.239,-.190,84
94,0,22295,Darron Stiles,.187,.094,-.049,.143,42
95,0,07457,Steve Flesch,.180,-.301,.318,.162,63
96,0,20098,Stuart Appleby,.173,-.222,.179,.216,65
97,0,21878,Mark Wilson,.167,.147,-.174,.194,88
98,0,27214,Kevin Streelman,.163,.437,-.012,-.261,87
99,0,10425,Jay Williamson,.158,-.084,.195,.047,57
100,0,23548,Bill Lunde,.157,.143,-.029,.043,75
101,0,20127,Chris Riley,.140,-.342,-.246,.728,67
102,0,23983,Luke Donald,.135,-.540,.426,.249,61
103,0,25818,Scott Piercy,.127,.119,.111,-.103,76
104,0,27963,Chris Stroud,.098,-.133,.360,-.128,76
105,0,26596,Ryan Moore,.097,.260,.017,-.180,75
106,0,27649,Brandt Snedeker,.063,-.037,.030,.069,65
107,0,28087,Kris Blanks,.062,.154,.284,-.375,47
108,0,20104,Ken Duke,.060,-.077,-.040,.177,71
109,0,01724,Jeff Maggert,.053,.447,-.192,-.201,73
