RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,08793,Tiger Woods,3.189,153.060,110.950,42.109,48
2,0,06527,Steve Stricker,1.828,113.323,100.479,12.843,62
3,0,10809,Jim Furyk,1.690,109.870,63.392,46.476,65
4,0,24024,Zach Johnson,1.545,122.045,92.037,30.009,79
5,0,23135,Tim Clark,1.261,74.387,58.098,16.287,59
6,0,24781,Hunter Mahan,1.255,94.113,63.341,30.772,75
7,0,20766,Padraig Harrington,1.210,58.075,35.192,22.883,48
8,0,01945,Kenny Perry,1.206,88.009,68.442,19.566,73
8,0,24138,Ian Poulter,1.206,50.648,46.692,3.956,42
10,0,24140,Sean O'Hair,1.170,67.833,75.223,-7.388,58
11,0,23108,Matt Kuchar,1.158,82.248,32.708,49.542,71
12,0,02206,David Toms,1.150,92.030,84.587,7.445,80
13,0,27095,Nick Watney,1.113,75.667,59.541,16.125,68
14,0,23983,Luke Donald,1.069,65.225,8.238,56.986,61
15,0,22046,Geoff Ogilvy,1.060,61.504,32.934,28.570,58
15,0,20645,John Senden,1.060,97.493,93.957,3.538,92
17,0,28158,Steve Marino,1.020,85.657,76.457,9.202,84
18,0,20157,Retief Goosen,1.011,56.619,30.317,26.301,56
19,0,10885,Robert Allenby,.987,55.293,90.648,-35.353,56
20,0,10860,Justin Leonard,.951,71.353,64.859,6.493,75
21,0,25396,Kevin Na,.938,73.198,36.023,37.176,78
22,0,06522,Ernie Els,.921,49.738,70.989,-21.251,54
23,0,02239,Scott Verplank,.887,70.105,67.633,2.472,79
24,0,28089,Jason Day,.871,43.532,18.519,25.009,50
25,0,30925,Dustin Johnson,.853,54.560,52.582,1.977,64
26,0,27770,Camilo Villegas,.825,46.225,57.584,-11.358,56
27,0,27649,Brandt Snedeker,.823,53.504,4.070,49.434,65
28,0,01810,Phil Mickelson,.816,39.184,46.207,-7.022,48
29,0,08075,Jerry Kelly,.780,60.047,34.874,25.173,77
29,0,10423,Mike Weir,.780,52.233,20.813,31.421,67
31,0,23541,Ben Crane,.775,61.969,27.503,34.466,80
32,0,25900,Lucas Glover,.768,60.701,48.914,11.789,79
33,0,21209,Sergio Garcia,.763,33.566,36.427,-2.860,44
34,0,06004,Stephen Ames,.754,42.960,18.125,24.834,57
35,0,23621,Rory Sabbatini,.713,47.790,69.350,-21.560,67
36,0,24490,George McNeill,.702,53.316,22.330,30.987,76
37,0,23623,Bo Van Pelt,.701,57.473,34.941,22.533,82
38,0,06595,Kevin Sutherland,.692,50.490,30.791,19.697,73
39,0,20572,Rod Pampling,.684,43.779,35.631,8.149,64
40,0,01948,Tim Petrovic,.649,55.825,29.540,26.287,86
41,0,24925,Jonathan Byrd,.633,49.988,84.257,-34.268,79
42,0,19846,Brian Gay,.632,51.795,-7.755,59.549,82
43,0,25686,Jason Dufner,.624,48.699,50.865,-2.162,78
44,0,12716,Charley Hoffman,.609,52.957,44.623,8.333,87
45,0,12510,Chad Campbell,.602,42.752,40.591,2.160,71
46,0,21961,Charles Howell III,.601,49.863,52.363,-2.497,83
47,0,07867,Woody Austin,.552,41.971,40.518,1.453,76
47,0,21878,Mark Wilson,.552,48.604,14.673,33.932,88
49,0,06643,Paul Goydos,.550,35.730,26.924,8.803,65
50,0,25804,Bubba Watson,.548,31.256,26.706,4.550,57
51,0,20848,Ángel Cabrera,.544,20.674,14.133,6.542,38
52,0,23800,Bryce Molder,.533,28.790,-11.564,40.353,54
53,0,01320,Bob Estes,.528,36.412,14.818,21.594,69
54,0,22405,Justin Rose,.506,28.834,22.511,6.325,57
55,0,26289,Boo Weekley,.505,32.849,67.149,-34.297,65
56,0,20127,Chris Riley,.486,32.530,9.380,23.151,67
57,0,01706,Davis Love III,.485,37.317,58.386,-21.067,77
58,0,29718,Anthony Kim,.479,28.760,14.083,14.676,60
59,0,01226,Fred Couples,.468,19.640,33.999,-14.358,42
60,0,06197,Michael Allen,.467,27.076,29.873,-2.793,58
61,0,24924,Bill Haas,.455,37.349,34.400,2.950,82
62,0,24361,Pat Perez,.445,27.568,-5.551,33.121,62
63,0,26596,Ryan Moore,.444,33.301,7.291,26.009,75
64,0,20593,Greg Chalmers,.409,29.033,-20.491,49.524,71
65,0,21731,Freddie Jacobson,.395,28.821,-8.881,37.703,73
66,0,26695,Michael Letzig,.383,32.919,24.680,8.241,86
66,0,24663,Y.E. Yang,.383,26.800,31.346,-4.547,70
68,0,26300,Matt Jones,.381,17.131,-9.100,26.230,45
69,0,01677,Tom Lehman,.358,12.532,31.102,-18.570,35
69,0,27060,John Mallinger,.358,25.417,19.765,5.652,71
71,0,26851,Marc Leishman,.353,29.683,17.827,11.857,84
72,0,23353,J.J. Henry,.352,29.572,20.018,9.554,84
73,0,20498,Briny Baird,.329,23.710,47.962,-24.251,72
73,0,20160,Charlie Wi,.329,25.975,-12.610,38.583,79
75,0,22348,Nick O'Hern,.322,27.374,26.867,.507,85
76,0,21805,Harrison Frazar,.311,26.098,-.974,27.073,84
77,0,24503,Jeff Klauk,.300,26.389,-13.505,39.896,88
78,0,24507,Jason Bohn,.298,24.437,55.673,-31.234,82
78,0,10585,Scott McCarron,.298,24.106,-14.238,38.344,81
78,0,25240,D.A. Points,.298,25.648,25.372,.276,86
81,0,21753,Brian Davis,.297,27.006,26.877,.133,91
82,0,08845,Scott Sterling,.291,11.647,8.629,3.018,40
83,0,20229,Stewart Cink,.287,16.916,-3.158,20.074,59
84,0,01577,Lee Janzen,.285,17.379,1.413,15.965,61
85,0,27214,Kevin Streelman,.284,24.735,14.211,10.526,87
86,0,22621,Ben Curtis,.251,11.777,-24.225,36.002,47
86,0,22548,Patrick Sheehan,.251,9.800,8.989,.810,39
88,0,27120,Troy Matteson,.243,21.397,19.232,2.164,88
89,0,20691,Greg Owen,.237,19.465,55.447,-35.982,82
90,0,23497,Tag Ridings,.236,9.678,18.893,-9.215,41
91,0,20472,Alex Cejka,.233,16.513,39.378,-22.864,71
92,0,23788,D.J. Trahan,.224,17.928,51.421,-33.492,80
93,0,25818,Scott Piercy,.196,14.863,9.630,5.237,76
94,0,29221,Webb Simpson,.175,15.231,-33.065,48.298,87
95,0,01313,Steve Elkington,.171,10.618,14.884,-4.264,62
96,0,01797,Rocco Mediate,.170,11.207,45.563,-34.355,66
97,0,23349,Charles Warren,.167,8.836,24.013,-15.175,53
98,0,24357,K.J. Choi,.163,8.164,10.701,-2.537,50
99,0,23548,Bill Lunde,.158,11.822,11.803,.019,75
100,0,27466,Spencer Levin,.156,10.453,-16.357,26.811,67
101,0,06251,Chris DiMarco,.138,12.003,22.056,-10.050,87
101,0,26679,Kevin Stadler,.138,7.429,20.342,-12.911,54
103,0,26498,Matt Weibring,.130,7.177,12.958,-5.779,55
104,0,06567,Vijay Singh,.120,6.106,39.608,-33.500,51
105,0,07749,Brett Quigley,.113,8.475,22.928,-14.453,75
106,0,22293,Heath Slocum,.097,8.250,44.440,-36.189,85
107,0,21949,Joe Ogilvie,.091,7.011,-35.038,42.051,77
108,0,26301,James Nitties,.082,6.235,-11.822,18.057,76
109,0,01035,Tommy Armour III,.079,4.083,14.489,-10.403,52
110,0,28475,Jeff Overton,.078,5.893,-3.581,9.473,76
111,0,21959,Ted Purdy,.048,4.290,-2.569,6.861,89
112,0,10117,Bob Heintz,.020,1.045,-29.626,30.670,51
112,0,12602,Dean Wilson,.020,1.400,-23.152,24.555,70
114,0,22913,John Rollins,.011,.887,.962,-.074,79
115,0,24358,Robert Garrigus,.010,.691,27.006,-26.312,72
116,0,12652,Cameron Beckman,.009,.679,1.340,-.659,75
117,0,27963,Chris Stroud,.007,.507,7.473,-6.964,76
118,0,12705,Cliff Kresge,-.007,-.473,-2.691,2.221,67
119,0,20574,Mathew Goggin,-.013,-.778,15.615,-16.394,60
120,0,21350,Ryuji Imada,-.015,-1.043,-31.563,30.518,69
121,0,20850,Daniel Chopra,-.017,-1.428,-26.511,25.084,83
122,0,12782,Tim Herron,-.033,-2.682,3.223,-5.907,81
123,0,23325,Vaughn Taylor,-.037,-2.922,-29.705,26.781,79
124,0,01928,Corey Pavin,-.049,-2.661,-25.809,23.148,54
125,0,27936,Martin Laird,-.055,-3.427,-6.742,3.318,62
126,0,01941,Tom Pernice Jr.,-.064,-4.816,-3.563,-1.254,75
127,0,23718,Nathan Green,-.097,-8.892,-43.385,34.494,92
128,0,28780,Nicholas Thompson,-.102,-8.905,31.825,-40.727,87
129,0,07457,Steve Flesch,-.112,-7.062,11.331,-18.392,63
130,0,26951,Johnson Wagner,-.139,-10.283,-13.251,2.966,74
