RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,20127,Chris Riley,.728,48.751,67
2,0,24138,Ian Poulter,.650,27.299,42
3,0,08793,Tiger Woods,.579,27.791,48
4,0,20766,Padraig Harrington,.577,27.716,48
5,0,10809,Jim Furyk,.439,28.522,65
6,0,01810,Phil Mickelson,.383,18.366,48
7,0,21350,Ryuji Imada,.378,26.074,69
8,0,21961,Charles Howell III,.360,29.903,83
9,0,10423,Mike Weir,.358,23.959,67
10,0,20572,Rod Pampling,.350,22.404,64
11,0,01797,Rocco Mediate,.337,22.220,66
12,0,25396,Kevin Na,.330,25.725,78
13,0,22046,Geoff Ogilvy,.329,19.086,58
14,0,06527,Steve Stricker,.327,20.301,62
15,0,01928,Corey Pavin,.326,17.630,54
16,0,06251,Chris DiMarco,.311,27.041,87
17,0,10860,Justin Leonard,.310,23.272,75
18,0,23108,Matt Kuchar,.289,20.537,71
19,0,23621,Rory Sabbatini,.284,19.013,67
20,0,21731,Freddie Jacobson,.282,20.554,73
21,0,26881,Jarrod Lyle,.274,13.698,50
22,0,24502,Adam Scott,.270,11.351,42
23,0,26476,Chez Reavie,.265,18.532,70
24,0,19846,Brian Gay,.259,21.246,82
25,0,12602,Dean Wilson,.257,18.009,70
26,0,24449,Parker McLachlin,.252,16.870,67
27,0,23983,Luke Donald,.249,15.182,61
28,0,25632,Jimmy Walker,.244,15.614,64
29,0,08075,Jerry Kelly,.226,17.434,77
30,0,24357,K.J. Choi,.222,11.111,50
30,0,23497,Tag Ridings,.222,9.094,41
32,0,20098,Stuart Appleby,.216,14.041,65
32,0,12782,Tim Herron,.216,17.527,81
32,0,27060,John Mallinger,.216,15.348,71
35,0,26695,Michael Letzig,.215,18.510,86
36,0,22371,Aaron Baddeley,.212,12.268,58
36,0,01320,Bob Estes,.212,14.603,69
38,0,06522,Ernie Els,.196,10.600,54
39,0,08845,Scott Sterling,.194,7.743,40
39,0,21878,Mark Wilson,.194,17.097,88
41,0,01941,Tom Pernice Jr.,.192,14.396,75
42,0,20472,Alex Cejka,.188,13.329,71
43,0,23778,Brad Adamonis,.181,11.043,61
44,0,01948,Tim Petrovic,.179,15.433,86
45,0,20104,Ken Duke,.177,12.543,71
