RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,27556,Ted Potter Jr.,18' 4",4371.583,238
2,0,23135,Tim Clark,19' 2",3411.583,178
3,0,08075,Jerry Kelly,19' 3",4723.500,245
4,0,26476,Chez Reavie,20' 5",5497.583,269
5,0,24357,K.J. Choi,20' 6",5345.333,261
6,0,34261,Scott Langley,20' 9",6589.750,318
6,0,21878,Mark Wilson,20' 9",3991.500,192
8,0,01724,Jeff Maggert,20' 11",5176.250,247
9,0,24781,Hunter Mahan,21' 0",6162.167,293
10,0,25444,Justin Hicks,21' 2",5885.833,278
11,0,10809,Jim Furyk,21' 5",5429.500,254
12,0,26289,Boo Weekley,21' 6",7838.000,364
13,0,20104,Ken Duke,21' 10",6615.417,303
13,0,24024,Zach Johnson,21' 10",5891.500,270
15,0,25686,Jason Dufner,21' 11",6323.083,288
15,0,30711,Colt Knost,21' 11",5659.500,258
17,0,34046,Jordan Spieth,22' 0",6149.833,280
18,0,23800,Bryce Molder,22' 4",7276.750,326
18,0,10213,Dicky Pride,22' 4",6311.583,283
20,0,24138,Ian Poulter,22' 6",4070.667,181
20,0,27649,Brandt Snedeker,22' 6",6582.750,293
22,0,35139,Richard Lee,22' 8",7229.083,319
23,0,08725,Tom Gillis,22' 9",6465.500,284
23,0,27933,John Merrick,22' 9",8248.000,363
25,0,21753,Brian Davis,22' 10",7890.500,346
25,0,25572,Graeme McDowell,22' 10",3399.167,149
25,0,20572,Rod Pampling,22' 10",4024.667,176
25,0,22405,Justin Rose,22' 10",5004.417,219
29,0,27214,Kevin Streelman,22' 11",6888.417,301
30,0,28455,Will Claxton,23' 0",6456.250,281
30,0,28780,Nicholas Thompson,23' 0",9108.833,396
32,0,20443,Jin Park,23' 1",4293.167,186
33,0,24502,Adam Scott,23' 2",5066.500,219
34,0,29221,Webb Simpson,23' 3",7614.250,327
34,0,22295,Darron Stiles,23' 3",4133.833,178
36,0,26596,Ryan Moore,23' 4",5522.500,237
37,0,34174,John Huh,23' 7",7502.000,318
38,0,23353,J.J. Henry,23' 8",8040.667,340
38,0,27770,Camilo Villegas,23' 8",8129.500,343
40,0,06527,Steve Stricker,23' 9",3135.250,132
41,0,36884,Ben Kohles,23' 10",6432.917,270
41,0,23108,Matt Kuchar,23' 10",9172.583,385
41,0,31560,Brian Stuard,23' 10",7023.250,295
44,0,24507,Jason Bohn,23' 11",7322.000,306
44,0,10860,Justin Leonard,23' 11",8593.917,359
46,0,34409,David Lingmerth,24' 0",6255.167,261
47,0,23638,Brendon de Jonge,24' 1",10491.750,435
47,0,26679,Kevin Stadler,24' 1",7933.833,329
47,0,24663,Y.E. Yang,24' 1",4624.250,192
50,0,27644,Brian Harman,24' 2",9605.833,397
51,0,28092,D.H. Lee,24' 3",6184.250,255
52,0,32200,Roberto Castro,24' 4",8830.000,363
53,0,19846,Brian Gay,24' 5",8216.083,336
53,0,28679,Fabián Gómez,24' 5",7137.667,292
53,0,22378,Trevor Immelman,24' 5",7948.750,325
53,0,20645,John Senden,24' 5",7959.167,326
57,0,01320,Bob Estes,24' 6",7482.167,305
58,0,22806,Doug LaBelle II,24' 7",6299.833,256
58,0,29425,Andrew Svoboda,24' 7",4333.833,176
60,0,23541,Ben Crane,24' 8",7028.333,285
60,0,37273,Derek Ernst,24' 8",6462.417,262
62,0,28307,Matt Every,24' 9",10659.000,431
62,0,21099,David Lynn,24' 9",7586.750,307
64,0,06567,Vijay Singh,24' 10",6397.083,258
65,0,33141,Keegan Bradley,25' 0",8370.583,335
65,0,29420,Billy Horschel,25' 0",9861.583,395
67,0,20396,Lee Westwood,25' 1",6068.917,242
68,0,12510,Chad Campbell,25' 4",9486.250,374
68,0,25900,Lucas Glover,25' 4",6738.833,266
68,0,21731,Freddie Jacobson,25' 4",6536.583,258
71,0,27895,Jonas Blixt,25' 5",9276.750,365
71,0,29518,Brendan Steele,25' 5",10081.667,397
73,0,29479,Scott Brown,25' 6",7166.667,281
73,0,23983,Luke Donald,25' 6",5995.917,235
75,0,28259,Sangmoon Bae,25' 7",10359.500,405
76,0,23621,Rory Sabbatini,25' 8",9974.167,389
76,0,21528,Henrik Stenson,25' 8",4188.000,163
78,0,06004,Stephen Ames,25' 9",6254.667,243
79,0,30750,Tommy Gainey,25' 10",11296.833,438
79,0,33419,Cameron Tringale,25' 10",9555.500,370
81,0,23623,Bo Van Pelt,25' 11",6628.833,256
82,0,28310,Lee Williams,26' 0",7186.167,276
83,0,20098,Stuart Appleby,26' 1",10276.500,394
84,0,22961,David Mathis,26' 2",8006.333,306
84,0,31202,William McGirt,26' 2",9105.417,348
86,0,02206,David Toms,26' 3",3932.250,150
87,0,35539,Luke Guthrie,26' 4",8941.083,340
87,0,34098,Russell Henley,26' 4",7947.250,302
89,0,25834,Daniel Summerhays,26' 5",10714.417,405
90,0,34021,Bud Cauley,26' 6",7885.500,298
90,0,32366,Kevin Chappell,26' 6",8803.250,332
90,0,27330,Josh Teater,26' 6",8152.917,308
93,0,24924,Bill Haas,26' 8",9201.333,345
93,0,27936,Martin Laird,26' 8",7301.750,274
95,0,22621,Ben Curtis,26' 9",6423.833,240
96,0,28475,Jeff Overton,26' 10",11353.583,423
97,0,32102,Rickie Fowler,27' 0",8021.083,297
97,0,20691,Greg Owen,27' 0",9509.000,352
97,0,28135,Aaron Watkins,27' 0",4672.917,173
100,0,31557,Jim Herman,27' 1",6101.917,225
100,0,32150,Michael Thompson,27' 1",7176.833,265
100,0,20160,Charlie Wi,27' 1",8920.417,329
103,0,26758,David Hearn,27' 2",10438.500,384
104,0,27095,Nick Watney,27' 3",9934.000,364
105,0,27963,Chris Stroud,27' 4",10372.333,379
106,0,27408,Martin Kaymer,27' 5",5844.417,213
106,0,25804,Bubba Watson,27' 5",8614.417,314
