RANK,MOVEMENT,PLAYER_ID,PLAYER,%,NUMBER OF TIMES,ATTEMPTS,AVG RTP SCORE
1,0,23800,Bryce Molder,34.7,116,334,+1.72
2,0,28092,D.H. Lee,35.9,93,259,+2.04
3,0,20104,Ken Duke,36.9,113,306,+1.68
4,0,20572,Rod Pampling,38.0,68,179,+3.82
4,0,21878,Mark Wilson,38.0,73,192,+0.14
6,0,21961,Charles Howell III,38.9,190,489,+0.42
7,0,22961,David Mathis,39.0,121,310,+2.48
8,0,22295,Darron Stiles,39.1,70,179,+2.57
9,0,34261,Scott Langley,39.4,130,330,+2.08
9,0,27503,Steve LeBrun,39.4,113,287,+1.86
9,0,25818,Scott Piercy,39.4,141,358,+1.70
12,0,27330,Josh Teater,39.5,121,306,+1.98
12,0,28135,Aaron Watkins,39.5,70,177,+2.14
14,0,24490,George McNeill,39.6,118,298,+1.53
14,0,20160,Charlie Wi,39.6,133,336,+1.73
16,0,10423,Mike Weir,40.8,120,294,+2.33
17,0,24781,Hunter Mahan,41.0,125,305,+1.68
18,0,22913,John Rollins,41.1,152,370,+1.12
19,0,08793,Tiger Woods,41.2,87,211,+1.26
20,0,37273,Derek Ernst,41.4,110,266,+2.27
21,0,24399,Scott Gardiner,41.8,122,292,+3.69
22,0,29479,Scott Brown,41.9,119,284,+2.18
22,0,26758,David Hearn,41.9,160,382,+2.25
24,0,26851,Marc Leishman,42.0,146,348,+1.51
25,0,20593,Greg Chalmers,42.1,144,342,+1.74
26,0,32698,Bobby Gates,42.2,105,249,+0.86
27,0,34174,John Huh,42.3,137,324,+1.75
27,0,30926,Chris Kirk,42.3,185,437,+0.32
29,0,24846,Ricky Barnes,42.4,150,354,+1.20
30,0,24227,Justin Bolli,42.7,105,246,+1.81
31,0,28679,Fabián Gómez,42.9,127,296,+2.05
32,0,06527,Steve Stricker,43.1,56,130,+1.07
33,0,06004,Stephen Ames,43.3,106,245,+2.45
34,0,32448,James Hahn,43.5,163,375,+2.15
35,0,21731,Freddie Jacobson,43.6,112,257,+0.27
36,0,26596,Ryan Moore,43.7,104,238,+1.15
37,0,23638,Brendon de Jonge,43.8,190,434,+1.37
38,0,25444,Justin Hicks,43.9,123,280,+2.44
38,0,34046,Jordan Spieth,43.9,125,285,+0.72
38,0,27095,Nick Watney,43.9,159,362,+2.26
41,0,20645,John Senden,44.0,143,325,+0.84
42,0,26300,Matt Jones,44.2,145,328,+1.59
43,0,22378,Trevor Immelman,44.4,146,329,+1.58
43,0,10213,Dicky Pride,44.4,127,286,+2.20
45,0,34099,Harris English,44.5,195,438,+1.74
45,0,01320,Bob Estes,44.5,137,308,+2.12
45,0,27936,Martin Laird,44.5,121,272,+1.16
48,0,30711,Colt Knost,44.9,120,267,+3.17
49,0,28259,Sangmoon Bae,45.0,183,407,+1.31
49,0,23452,Nicolas Colsaerts,45.0,100,222,+1.50
51,0,12782,Tim Herron,45.1,125,277,+1.60
51,0,33461,Morgan Hoffmann,45.1,138,306,+1.23
53,0,30110,Kyle Stanley,45.3,139,307,+1.94
53,0,32150,Michael Thompson,45.3,120,265,+2.08
53,0,28310,Lee Williams,45.3,126,278,+2.14
56,0,28237,Rory McIlroy,45.9,102,222,+0.10
57,0,21099,David Lynn,46.1,142,308,+1.83
58,0,32334,Charlie Beljan,46.2,128,277,+2.19
58,0,36884,Ben Kohles,46.2,128,277,+2.50
60,0,20848,Ángel Cabrera,46.3,149,322,+0.87
60,0,32200,Roberto Castro,46.3,169,365,+1.01
60,0,25632,Jimmy Walker,46.3,216,467,+0.56
63,0,29425,Andrew Svoboda,46.4,84,181,+2.38
64,0,28475,Jeff Overton,46.6,198,425,+1.97
64,0,20443,Jin Park,46.6,88,189,+1.48
66,0,24140,Sean O'Hair,46.7,141,302,+2.62
66,0,31560,Brian Stuard,46.7,141,302,+1.56
66,0,25834,Daniel Summerhays,46.7,188,403,+2.23
69,0,25572,Graeme McDowell,47.0,71,151,+1.13
70,0,19846,Brian Gay,47.1,160,340,+1.31
71,0,23497,Tag Ridings,47.2,169,358,+1.78
72,0,23135,Tim Clark,47.5,85,179,+1.53
72,0,24138,Ian Poulter,47.5,87,183,+0.57
74,0,26331,Charl Schwartzel,47.8,132,276,+0.91
75,0,10809,Jim Furyk,48.0,122,254,+1.97
76,0,22621,Ben Curtis,48.1,117,243,+2.65
77,0,27556,Ted Potter Jr.,48.3,117,242,+0.68
77,0,25804,Bubba Watson,48.3,152,315,+0.59
79,0,24357,K.J. Choi,48.5,128,264,+1.25
79,0,29740,Brad Fritsch,48.5,189,390,+2.59
79,0,33419,Cameron Tringale,48.5,184,379,+1.03
82,0,28455,Will Claxton,48.6,138,284,+1.96
82,0,27644,Brian Harman,48.6,198,407,+2.32
82,0,08075,Jerry Kelly,48.6,119,245,+0.92
82,0,31202,William McGirt,48.6,174,358,+1.38
82,0,27933,John Merrick,48.6,178,366,+1.46
82,0,22056,Cameron Percy,48.6,152,313,+1.18
88,0,20229,Stewart Cink,48.7,148,304,+1.28
88,0,06522,Ernie Els,48.7,128,263,+0.70
90,0,30925,Dustin Johnson,48.9,154,315,+1.23
91,0,23541,Ben Crane,49.0,142,290,+0.42
91,0,24663,Y.E. Yang,49.0,96,196,+2.40
93,0,20098,Stuart Appleby,49.1,196,399,+1.28
93,0,23108,Matt Kuchar,49.1,192,391,+0.57
95,0,34021,Bud Cauley,49.3,149,302,+1.61
96,0,33141,Keegan Bradley,49.4,166,336,+1.33
96,0,35539,Luke Guthrie,49.4,174,352,+1.61
96,0,29221,Webb Simpson,49.4,167,338,+1.38
96,0,29518,Brendan Steele,49.4,198,401,+2.27
100,0,23621,Rory Sabbatini,49.5,197,398,+1.37
101,0,31557,Jim Herman,49.6,112,226,+1.61
101,0,27120,Troy Matteson,49.6,166,335,+1.81
101,0,23320,Ryan Palmer,49.6,191,385,+1.15
104,0,27436,Graham DeLaet,49.7,176,354,+0.23
105,0,06573,Brandt Jobe,49.8,124,249,+0.89
105,0,34409,David Lingmerth,49.8,132,265,+1.21
105,0,33869,Eric Meierdierks,49.8,109,219,+2.11
105,0,27649,Brandt Snedeker,49.8,148,297,+0.14
105,0,23623,Bo Van Pelt,49.8,129,259,+1.71
110,0,27408,Martin Kaymer,50.0,103,206,+1.36
110,0,24361,Pat Perez,50.0,165,330,+1.82
110,0,25336,Alistair Presnell,50.0,131,262,+2.82
113,0,30750,Tommy Gainey,50.2,222,442,+2.12
113,0,22046,Geoff Ogilvy,50.2,114,227,+2.63
113,0,27214,Kevin Streelman,50.2,152,303,+0.79
116,0,20766,Padraig Harrington,50.3,92,183,+2.50
116,0,31323,Gary Woodland,50.3,231,459,+1.60
118,0,06567,Vijay Singh,50.4,129,256,+1.47
119,0,29420,Billy Horschel,50.5,200,396,+1.30
119,0,24502,Adam Scott,50.5,110,218,+1.18
119,0,26289,Boo Weekley,50.5,190,376,+2.11
122,0,28307,Matt Every,50.6,222,439,+0.95
123,0,19970,Robert Karlsson,50.7,103,203,+1.17
123,0,27770,Camilo Villegas,50.7,181,357,+1.88
125,0,25686,Jason Dufner,50.9,148,291,+0.47
126,0,22405,Justin Rose,51.1,115,225,+0.26
127,0,22792,Peter Hanson,51.2,105,205,+1.71
128,0,28089,Jason Day,51.3,173,337,+0.69
128,0,24024,Zach Johnson,51.3,139,271,+1.87
130,0,24494,Erik Compton,51.4,189,368,+1.38
130,0,34360,Patrick Reed,51.4,224,436,+0.54
130,0,30692,Scott Stallings,51.4,178,346,+2.36
133,0,10860,Justin Leonard,51.5,187,363,+2.19
134,0,24358,Robert Garrigus,51.6,145,281,+1.45
134,0,23325,Vaughn Taylor,51.6,99,192,+2.83
136,0,32102,Rickie Fowler,51.9,154,297,+1.49
137,0,32366,Kevin Chappell,52.0,178,342,+1.24
137,0,29289,S.Y. Noh,52.0,199,383,+1.91
139,0,24507,Jason Bohn,52.1,160,307,+2.13
139,0,22806,Doug LaBelle II,52.1,134,257,+2.46
141,0,23788,D.J. Trahan,52.2,97,186,+0.62
142,0,02206,David Toms,52.3,80,153,+1.75
143,0,22371,Aaron Baddeley,52.5,201,383,+1.39
144,0,35139,Richard Lee,52.8,172,326,+1.98
145,0,12510,Chad Campbell,53.0,202,381,+1.93
145,0,20396,Lee Westwood,53.0,131,247,+1.22
147,0,24924,Bill Haas,53.1,182,343,+0.22
148,0,25274,Steven Bowditch,53.3,185,347,+1.24
148,0,12716,Charley Hoffman,53.3,204,383,+1.23
150,0,27895,Jonas Blixt,53.4,198,371,+1.87
150,0,30944,Jason Kokrak,53.4,226,423,+0.71
152,0,08725,Tom Gillis,53.5,154,288,+2.08
152,0,30163,Henrik Norlander,53.5,169,316,+2.01
152,0,25562,Andres Romero,53.5,153,286,+1.57
155,0,27963,Chris Stroud,53.6,210,392,+1.33
156,0,23409,James Driscoll,53.7,209,389,+1.53
157,0,20691,Greg Owen,53.9,194,360,+2.53
158,0,26476,Chez Reavie,54.0,148,274,+2.16
159,0,25900,Lucas Glover,54.1,144,266,+2.08
160,0,25345,Carl Pettersson,54.3,182,335,+2.91
161,0,28500,Martin Flores,54.6,260,476,+1.81
161,0,28780,Nicholas Thompson,54.6,220,403,+1.45
163,0,25240,D.A. Points,54.7,181,331,+1.66
164,0,26497,Casey Wittenberg,55.0,208,378,+1.92
165,0,21753,Brian Davis,55.9,194,347,+1.49
166,0,21528,Henrik Stenson,56.2,91,162,+1.54
167,0,23983,Luke Donald,56.5,134,237,+1.42
168,0,30852,Ryo Ishikawa,56.6,185,327,+1.84
169,0,01724,Jeff Maggert,56.9,144,253,+2.71
170,0,34431,Robert Streb,57.1,185,324,+1.62
170,0,26951,Johnson Wagner,57.1,168,294,+2.32
172,0,01810,Phil Mickelson,57.4,183,319,+0.98
173,0,33418,Shawn Stefani,57.6,179,311,+2.07
174,0,27129,Luke List,58.6,212,362,+1.60
174,0,26679,Kevin Stadler,58.6,197,336,+0.96
176,0,10885,Robert Allenby,58.7,175,298,+2.29
177,0,21209,Sergio Garcia,58.8,143,243,+0.56
178,0,23353,J.J. Henry,59.4,205,345,+1.90
179,0,01116,Michael Bradley,60.8,158,260,+2.28
180,0,34098,Russell Henley,62.9,193,307,+1.40
